fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,დაგინახავ,დავინახავ,,დაგინახავთ,დავინახავ,
დამინახავ,,დაინახავ,დაგვინახავ,,დაინახავ,
დამინახავს,დაგინახავს,დაინახავს,დაგვინახავს,დაგინახავთ,დაინახავს,
,დაგინახავთ,დავინახავთ,,დაგინახავთ,დავინახავთ,
დამინახავთ,,დაინახავთ,დაგვინახავთ,,დაინახავთ,
დამინახავენ,დაგინახავენ,დაინახავენ,დაგვინახავენ,დაგინახავენ,დაინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,დაგინახავდი,დავინახავდი,,დაგინახავდით,დავინახავდი,
დამინახავდი,,დაინახავდი,დაგვინახავდი,,დაინახავდი,
დამინახავდა,დაგინახავდა,დაინახავდა,დაგვინახავდა,დაგინახავდათ,დაინახავდა,
,დაგინახავდით,დავინახავდით,,დაგინახავდით,დავინახავდით,
დამინახავდით,,დაინახავდით,დაგვინახავდით,,დაინახავდით,
დამინახავდნენ,დაგინახავდნენ,დაინახავდნენ,დაგვინახავდნენ,დაგინახავდნენ,დაინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,დაგინახავდე,დავინახავდე,,დაგინახავდეთ,დავინახავდე,
დამინახავდე,,დაინახავდე,დაგვინახავდე,,დაინახავდე,
დამინახავდეს,დაგინახავდეს,დაინახავდეს,დაგვინახავდეს,დაგინახავდეთ,დაინახავდეს,
,დაგინახავდეთ,დავინახავდეთ,,დაგინახავდეთ,დავინახავდეთ,
დამინახავდეთ,,დაინახავდეთ,დაგვინახავდეთ,,დაინახავდეთ,
დამინახავდნენ,დაგინახავდნენ,დაინახავდნენ,დაგვინახავდნენ,დაგინახავდნენ,დაინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,დაგინახე,დავინახე,,დაგინახეთ,დავინახე,
დამინახე,,დაინახე,დაგვინახე,,დაინახე,
დამინახა,დაგინახა,დაინახა,დაგვინახა,დაგინახათ,დაინახა,
,დაგინახეთ,დავინახეთ,,დაგინახეთ,დავინახეთ,
დამინახეთ,,დაინახეთ,დაგვინახეთ,,დაინახეთ,
დამინახეს,დაგინახეს,დაინახეს,დაგვინახეს,დაგინახეს,დაინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,დაგინახო,დავინახო,,დაგინახოთ,დავინახო,
დამინახო,,დაინახო,დაგვინახო,,დაინახო,
დამინახოს,დაგინახოს,დაინახოს,დაგვინახოს,დაგინახოთ,დაინახოს,
,დაგინახოთ,დავინახოთ,,დაგინახოთ,დავინახოთ,
დამინახოთ,,დაინახოთ,დაგვინახოთ,,დაინახოთ,
დამინახონ,დაგინახონ,დაინახონ,დაგვინახონ,დაგინახონ,დაინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,დამინახიხარ,დამინახია,,დამინახიხართ,დამინახია,
დაგინახივარ,,დაგინახია,დაგინახივართ,,დაგინახია,
დავუნახივარ,დაუნახიხარ,დაუნახია,დავუნახივართ,დაუნახიხართ,დაუნახია,
,დაგვინახიხარ,დაგვინახია,,დაგვინახიხართ,დაგვინახია,
დაგინახივართ,,დაგინახიათ,დაგინახივართ,,დაგინახიათ,
დავუნახივარ,დაუნახიხარ,დაუნახიათ,დავუნახივართ,დაუნახიხართ,დაუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,დამინახავხარ,დამინახავს,,დამინახავხართ,დამინახავს,
დაგინახავვარ,,დაგინახავს,დაგინახავვართ,,დაგინახავს,
დავუნახავვარ,დაუნახავხარ,დაუნახავს,დავუნახავვართ,დაუნახავხართ,დაუნახავს,
,დაგვინახავხარ,დაგვინახავს,,დაგვინახავხართ,დაგვინახავს,
დაგინახავვართ,,დაგინახავთ,დაგინახავვართ,,დაგინახავთ,
დავუნახავვარ,დაუნახავხარ,დაუნახავთ,დავუნახავვართ,დაუნახავხართ,დაუნახავთ,
IIturm
,მენახე,მენახა,,მენახეთ,მენახა,
გენახე,,გენახა,გენახეთ,,გენახა,
ვენახე,ენახე,ენახა,ვენახეთ,ენახეთ,ენახა,
,გვენახე,გვენახა,,გვენახეთ,გვენახა,
გენახეთ,,გენახათ,გენახეთ,,გენახათ,
ვენახე,ენახე,ენახათ,ვენახეთ,ენახეთ,ენახათ,
IIturm_prfv
,დამენახე,დამენახა,,დამენახეთ,დამენახა,
