pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,დაგკეცავ,დავკეცავ,,დაგკეცავთ,დავკეცავ,
დამკეცავ,,დაკეცავ,დაგვკეცავ,,დაკეცავ,
დამკეცავს,დაგკეცავს,დაკეცავს,დაგვკეცავს,დაგკეცავთ,დაკეცავს,
,დაგკეცავთ,დავკეცავთ,,დაგკეცავთ,დავკეცავთ,
დამკეცავთ,,დაკეცავთ,დაგვკეცავთ,,დაკეცავთ,
დამკეცავენ,დაგკეცავენ,დაკეცავენ,დაგვკეცავენ,დაგკეცავენ,დაკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,დაგკეცავდი,დავკეცავდი,,დაგკეცავდით,დავკეცავდი,
დამკეცავდი,,დაკეცავდი,დაგვკეცავდი,,დაკეცავდი,
დამკეცავდა,დაგკეცავდა,დაკეცავდა,დაგვკეცავდა,დაგკეცავდათ,დაკეცავდა,
,დაგკეცავდით,დავკეცავდით,,დაგკეცავდით,დავკეცავდით,
დამკეცავდით,,დაკეცავდით,დაგვკეცავდით,,დაკეცავდით,
დამკეცავდნენ,დაგკეცავდნენ,დაკეცავდნენ,დაგვკეცავდნენ,დაგკეცავდნენ,დაკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,დაგკეცავდე,დავკეცავდე,,დაგკეცავდეთ,დავკეცავდე,
დამკეცავდე,,დაკეცავდე,დაგვკეცავდე,,დაკეცავდე,
დამკეცავდეს,დაგკეცავდეს,დაკეცავდეს,დაგვკეცავდეს,დაგკეცავდეთ,დაკეცავდეს,
,დაგკეცავდეთ,დავკეცავდეთ,,დაგკეცავდეთ,დავკეცავდეთ,
დამკეცავდეთ,,დაკეცავდეთ,დაგვკეცავდეთ,,დაკეცავდეთ,
დამკეცავდნენ,დაგკეცავდნენ,დაკეცავდნენ,დაგვკეცავდნენ,დაგკეცავდნენ,დაკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,დაგკეცე,დავკეცე,,დაგკეცეთ,დავკეცე,
დამკეცე,,დაკეცე,დაგვკეცე,,დაკეცე,
დამკეცა,დაგკეცა,დაკეცა,დაგვკეცა,დაგკეცათ,დაკეცა,
,დაგკეცეთ,დავკეცეთ,,დაგკეცეთ,დავკეცეთ,
დამკეცეთ,,დაკეცეთ,დაგვკეცეთ,,დაკეცეთ,
დამკეცეს,დაგკეცეს,დაკეცეს,დაგვკეცეს,დაგკეცეს,დაკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
მკეცოთ,,კეცოთ,გვკეცოთ,,კეცოთ,
მკეცონ,გკეცონ,კეცონ,გვკეცონ,გკეცონ,კეცონ,
IIsubj_prfv
,დაგკეცო,დავკეცო,,დაგკეცოთ,დავკეცო,
