pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,დაგინანებ,დავინანებ,,დაგინანებთ,დავინანებ,
დამინანებ,,დაინანებ,დაგვინანებ,,დაინანებ,
დამინანებს,დაგინანებს,დაინანებს,დაგვინანებს,დაგინანებთ,დაინანებს,
,დაგინანებთ,დავინანებთ,,დაგინანებთ,დავინანებთ,
დამინანებთ,,დაინანებთ,დაგვინანებთ,,დაინანებთ,
დამინანებენ,დაგინანებენ,დაინანებენ,დაგვინანებენ,დაგინანებენ,დაინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,დაგინანებდი,დავინანებდი,,დაგინანებდით,დავინანებდი,
დამინანებდი,,დაინანებდი,დაგვინანებდი,,დაინანებდი,
დამინანებდა,დაგინანებდა,დაინანებდა,დაგვინანებდა,დაგინანებდათ,დაინანებდა,
,დაგინანებდით,დავინანებდით,,დაგინანებდით,დავინანებდით,
დამინანებდით,,დაინანებდით,დაგვინანებდით,,დაინანებდით,
დამინანებდნენ,დაგინანებდნენ,დაინანებდნენ,დაგვინანებდნენ,დაგინანებდნენ,დაინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,დაგინანებდე,დავინანებდე,,დაგინანებდეთ,დავინანებდე,
დამინანებდე,,დაინანებდე,დაგვინანებდე,,დაინანებდე,
დამინანებდეს,დაგინანებდეს,დაინანებდეს,დაგვინანებდეს,დაგინანებდეთ,დაინანებდეს,
,დაგინანებდეთ,დავინანებდეთ,,დაგინანებდეთ,დავინანებდეთ,
დამინანებდეთ,,დაინანებდეთ,დაგვინანებდეთ,,დაინანებდეთ,
დამინანებდნენ,დაგინანებდნენ,დაინანებდნენ,დაგვინანებდნენ,დაგინანებდნენ,დაინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,დაგინანე,დავინანე,,დაგინანეთ,დავინანე,
დამინანე,,დაინანე,დაგვინანე,,დაინანე,
დამინანა,დაგინანა,დაინანა,დაგვინანა,დაგინანათ,დაინანა,
