pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,დაგცრი,დავცრი,,დაგცრით,დავცრი,
დამცრი,,დაცრი,დაგვცრი,,დაცრი,
დამცრის,დაგცრის,დაცრის,დაგვცრის,დაგცრით,დაცრის,
,დაგცრით,დავცრით,,დაგცრით,დავცრით,
დამცრით,,დაცრით,დაგვცრით,,დაცრით,
დამცრიან,დაგცრიან,დაცრიან,დაგვცრიან,დაგცრიან,დაცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,დაგცრიდი,დავცრიდი,,დაგცრიდით,დავცრიდი,
დამცრიდი,,დაცრიდი,დაგვცრიდი,,დაცრიდი,
დამცრიდა,დაგცრიდა,დაცრიდა,დაგვცრიდა,დაგცრიდათ,დაცრიდა,
,დაგცრიდით,დავცრიდით,,დაგცრიდით,დავცრიდით,
დამცრიდით,,დაცრიდით,დაგვცრიდით,,დაცრიდით,
დამცრიდნენ,დაგცრიდნენ,დაცრიდნენ,დაგვცრიდნენ,დაგცრიდნენ,დაცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,დაგცრიდე,დავცრიდე,,დაგცრიდეთ,დავცრიდე,
დამცრიდე,,დაცრიდე,დაგვცრიდე,,დაცრიდე,
დამცრიდეს,დაგცრიდეს,დაცრიდეს,დაგვცრიდეს,დაგცრიდეთ,დაცრიდეს,
,დაგცრიდეთ,დავცრიდეთ,,დაგცრიდეთ,დავცრიდეთ,
დამცრიდეთ,,დაცრიდეთ,დაგვცრიდეთ,,დაცრიდეთ,
დამცრიდნენ,დაგცრიდნენ,დაცრიდნენ,დაგვცრიდნენ,დაგცრიდნენ,დაცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,დაგცერი,დავცერი,,დაგცერით,დავცერი,
დამცერი,,დაცერი,დაგვცერი,,დაცერი,
დამცრა,დაგცრა,დაცრა,დაგვცრა,დაგცრათ,დაცრა,
,დაგცერით,დავცერით,,დაგცერით,დავცერით,
დამცერით,,დაცერით,დაგვცერით,,დაცერით,
დამცრეს,დაგცრეს,დაცრეს,დაგვცრეს,დაგცრეს,დაცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,დაგცრა,დავცრა,,დაგცრათ,დავცრა,
დამცრა,,დაცრა,დაგვცრა,,დაცრა,
დამცრას,დაგცრას,დაცრას,დაგვცრას,დაგცრათ,დაცრას,
,დაგცრათ,დავცრათ,,დაგცრათ,დავცრათ,
დამცრათ,,დაცრათ,დაგვცრათ,,დაცრათ,
დამცრან,დაგცრან,დაცრან,დაგვცრან,დაგცრან,დაცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,დამიცრიხარ,დამიცრია,,დამიცრიხართ,დამიცრია,
დაგიცრივარ,,დაგიცრია,დაგიცრივართ,,დაგიცრია,
დავუცრივარ,დაუცრიხარ,დაუცრია,დავუცრივართ,დაუცრიხართ,დაუცრია,
,დაგვიცრიხარ,დაგვიცრია,,დაგვიცრიხართ,დაგვიცრია,
დაგიცრივართ,,დაგიცრიათ,დაგიცრივართ,,დაგიცრიათ,
დავუცრივარ,დაუცრიხარ,დაუცრიათ,დავუცრივართ,დაუცრიხართ,დაუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,დამეცერი,დამეცრა,,დამეცერით,დამეცრა,
დაგეცერი,,დაგეცრა,დაგეცერით,,დაგეცრა,
დავეცერი,დაეცერი,დაეცრა,დავეცერით,დაეცერით,დაეცრა,
,დაგვეცერი,დაგვეცრა,,დაგვეცერით,დაგვეცრა,
დაგეცერით,,დაგეცრათ,დაგეცერით,,დაგეცრათ,
დავეცერი,დაეცერი,დაეცრათ,დავეცერით,დაეცერით,დაეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,დამეცრა,დამეცრას,,დამეცრათ,დამეცრას,
დაგეცრა,,დაგეცრას,დაგეცრათ,,დაგეცრას,
დავეცრა,დაეცრა,დაეცრას,დავეცრათ,დაეცრათ,დაეცრას,
,დაგვეცრა,დაგვეცრას,,დაგვეცრათ,დაგვეცრას,
დაგეცრათ,,დაგეცრათ,დაგეცრათ,,დაგეცრათ,
დავეცრა,დაეცრა,დაეცრათ,დავეცრათ,დაეცრათ,დაეცრათ,
