fut
,დაგკირკიტებ,დავკირკიტებ,,დაგკირკიტებთ,დავკირკიტებ,
დამკირკიტებ,,დაჰკირკიტებ,დაგვკირკიტებ,,დაჰკირკიტებ,
დამკირკიტებს,დაგკირკიტებს,დაჰკირკიტებს,დაგვკირკიტებს,დაგკირკიტებთ,დაჰკირკიტებს,
,დაგკირკიტებთ,დავკირკიტებთ,,დაგკირკიტებთ,დავკირკიტებთ,
დამკირკიტებთ,,დაჰკირკიტებთ,დაგვკირკიტებთ,,დაჰკირკიტებთ,
დამკირკიტებენ,დაგკირკიტებენ,დაჰკირკიტებენ,დაგვკირკიტებენ,დაგკირკიტებენ,დაჰკირკიტებენ,
cond
,დაგკირკიტებდი,დავკირკიტებდი,,დაგკირკიტებდით,დავკირკიტებდი,
დამკირკიტებდი,,დაჰკირკიტებდი,დაგვკირკიტებდი,,დაჰკირკიტებდი,
დამკირკიტებდა,დაგკირკიტებდა,დაჰკირკიტებდა,დაგვკირკიტებდა,დაგკირკიტებდათ,დაჰკირკიტებდა,
,დაგკირკიტებდით,დავკირკიტებდით,,დაგკირკიტებდით,დავკირკიტებდით,
დამკირკიტებდით,,დაჰკირკიტებდით,დაგვკირკიტებდით,,დაჰკირკიტებდით,
დამკირკიტებდნენ,დაგკირკიტებდნენ,დაჰკირკიტებდნენ,დაგვკირკიტებდნენ,დაგკირკიტებდნენ,დაჰკირკიტებდნენ,
fut_subj
,დაგკირკიტებდე,დავკირკიტებდე,,დაგკირკიტებდეთ,დავკირკიტებდე,
დამკირკიტებდე,,დაჰკირკიტებდე,დაგვკირკიტებდე,,დაჰკირკიტებდე,
დამკირკიტებდეს,დაგკირკიტებდეს,დაჰკირკიტებდეს,დაგვკირკიტებდეს,დაგკირკიტებდეთ,დაჰკირკიტებდეს,
,დაგკირკიტებდეთ,დავკირკიტებდეთ,,დაგკირკიტებდეთ,დავკირკიტებდეთ,
დამკირკიტებდეთ,,დაჰკირკიტებდეთ,დაგვკირკიტებდეთ,,დაჰკირკიტებდეთ,
დამკირკიტებდნენ,დაგკირკიტებდნენ,დაჰკირკიტებდნენ,დაგვკირკიტებდნენ,დაგკირკიტებდნენ,დაჰკირკიტებდნენ,
