fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,მიგაგზავნი,მივაგზავნი,,მიგაგზავნით,მივაგზავნი,
მიმაგზავნი,,მიაგზავნი,მიგვაგზავნი,,მიაგზავნი,
მიმაგზავნის,მიგაგზავნის,მიაგზავნის,მიგვაგზავნის,მიგაგზავნით,მიაგზავნის,
,მიგაგზავნით,მივაგზავნით,,მიგაგზავნით,მივაგზავნით,
მიმაგზავნით,,მიაგზავნით,მიგვაგზავნით,,მიაგზავნით,
მიმაგზავნიან,მიგაგზავნიან,მიაგზავნიან,მიგვაგზავნიან,მიგაგზავნიან,მიაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,მიგაგზავნიდი,მივაგზავნიდი,,მიგაგზავნიდით,მივაგზავნიდი,
მიმაგზავნიდი,,მიაგზავნიდი,მიგვაგზავნიდი,,მიაგზავნიდი,
მიმაგზავნიდა,მიგაგზავნიდა,მიაგზავნიდა,მიგვაგზავნიდა,მიგაგზავნიდათ,მიაგზავნიდა,
,მიგაგზავნიდით,მივაგზავნიდით,,მიგაგზავნიდით,მივაგზავნიდით,
მიმაგზავნიდით,,მიაგზავნიდით,მიგვაგზავნიდით,,მიაგზავნიდით,
მიმაგზავნიდნენ,მიგაგზავნიდნენ,მიაგზავნიდნენ,მიგვაგზავნიდნენ,მიგაგზავნიდნენ,მიაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,მიგაგზავნიდე,მივაგზავნიდე,,მიგაგზავნიდეთ,მივაგზავნიდე,
მიმაგზავნიდე,,მიაგზავნიდე,მიგვაგზავნიდე,,მიაგზავნიდე,
მიმაგზავნიდეს,მიგაგზავნიდეს,მიაგზავნიდეს,მიგვაგზავნიდეს,მიგაგზავნიდეთ,მიაგზავნიდეს,
,მიგაგზავნიდეთ,მივაგზავნიდეთ,,მიგაგზავნიდეთ,მივაგზავნიდეთ,
მიმაგზავნიდეთ,,მიაგზავნიდეთ,მიგვაგზავნიდეთ,,მიაგზავნიდეთ,
მიმაგზავნიდნენ,მიგაგზავნიდნენ,მიაგზავნიდნენ,მიგვაგზავნიდნენ,მიგაგზავნიდნენ,მიაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,მიგაგზავნე,მივაგზავნე,,მიგაგზავნეთ,მივაგზავნე,
მიმაგზავნე,,მიაგზავნე,მიგვაგზავნე,,მიაგზავნე,
მიმაგზავნა,მიგაგზავნა,მიაგზავნა,მიგვაგზავნა,მიგაგზავნათ,მიაგზავნა,
,მიგაგზავნეთ,მივაგზავნეთ,,მიგაგზავნეთ,მივაგზავნეთ,
მიმაგზავნეთ,,მიაგზავნეთ,მიგვაგზავნეთ,,მიაგზავნეთ,
მიმაგზავნეს,მიგაგზავნეს,მიაგზავნეს,მიგვაგზავნეს,მიგაგზავნეს,მიაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,მიგაგზავნო,მივაგზავნო,,მიგაგზავნოთ,მივაგზავნო,
მიმაგზავნო,,მიაგზავნო,მიგვაგზავნო,,მიაგზავნო,
მიმაგზავნოს,მიგაგზავნოს,მიაგზავნოს,მიგვაგზავნოს,მიგაგზავნოთ,მიაგზავნოს,
,მიგაგზავნოთ,მივაგზავნოთ,,მიგაგზავნოთ,მივაგზავნოთ,
მიმაგზავნოთ,,მიაგზავნოთ,მიგვაგზავნოთ,,მიაგზავნოთ,
მიმაგზავნონ,მიგაგზავნონ,მიაგზავნონ,მიგვაგზავნონ,მიგაგზავნონ,მიაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,მიმიგზავნიხარ,მიმიგზავნია,,მიმიგზავნიხართ,მიმიგზავნია,
მიგიგზავნივარ,,მიგიგზავნია,მიგიგზავნივართ,,მიგიგზავნია,
მივუგზავნივარ,მიუგზავნიხარ,მიუგზავნია,მივუგზავნივართ,მიუგზავნიხართ,მიუგზავნია,
,მიგვიგზავნიხარ,მიგვიგზავნია,,მიგვიგზავნიხართ,მიგვიგზავნია,
მიგიგზავნივართ,,მიგიგზავნიათ,მიგიგზავნივართ,,მიგიგზავნიათ,
