fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,მიგათბობ,მივათბობ,,მიგათბობთ,მივათბობ,
მიმათბობ,,მიათბობ,მიგვათბობ,,მიათბობ,
მიმათბობს,მიგათბობს,მიათბობს,მიგვათბობს,მიგათბობთ,მიათბობს,
,მიგათბობთ,მივათბობთ,,მიგათბობთ,მივათბობთ,
მიმათბობთ,,მიათბობთ,მიგვათბობთ,,მიათბობთ,
მიმათბობენ,მიგათბობენ,მიათბობენ,მიგვათბობენ,მიგათბობენ,მიათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,მიგათბობდი,მივათბობდი,,მიგათბობდით,მივათბობდი,
მიმათბობდი,,მიათბობდი,მიგვათბობდი,,მიათბობდი,
მიმათბობდა,მიგათბობდა,მიათბობდა,მიგვათბობდა,მიგათბობდათ,მიათბობდა,
,მიგათბობდით,მივათბობდით,,მიგათბობდით,მივათბობდით,
მიმათბობდით,,მიათბობდით,მიგვათბობდით,,მიათბობდით,
მიმათბობდნენ,მიგათბობდნენ,მიათბობდნენ,მიგვათბობდნენ,მიგათბობდნენ,მიათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,მიგათბობდე,მივათბობდე,,მიგათბობდეთ,მივათბობდე,
მიმათბობდე,,მიათბობდე,მიგვათბობდე,,მიათბობდე,
მიმათბობდეს,მიგათბობდეს,მიათბობდეს,მიგვათბობდეს,მიგათბობდეთ,მიათბობდეს,
,მიგათბობდეთ,მივათბობდეთ,,მიგათბობდეთ,მივათბობდეთ,
მიმათბობდეთ,,მიათბობდეთ,მიგვათბობდეთ,,მიათბობდეთ,
მიმათბობდნენ,მიგათბობდნენ,მიათბობდნენ,მიგვათბობდნენ,მიგათბობდნენ,მიათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,მიგათბე,მივათბე,,მიგათბეთ,მივათბე,
მიმათბე,,მიათბე,მიგვათბე,,მიათბე,
მიმათბო,მიგათბო,მიათბო,მიგვათბო,მიგათბოთ,მიათბო,
,მიგათბეთ,მივათბეთ,,მიგათბეთ,მივათბეთ,
მიმათბეთ,,მიათბეთ,მიგვათბეთ,,მიათბეთ,
მიმათბეს,მიგათბეს,მიათბეს,მიგვათბეს,მიგათბეს,მიათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,მიგათბო,მივათბო,,მიგათბოთ,მივათბო,
მიმათბო,,მიათბო,მიგვათბო,,მიათბო,
მიმათბოს,მიგათბოს,მიათბოს,მიგვათბოს,მიგათბოთ,მიათბოს,
,მიგათბოთ,მივათბოთ,,მიგათბოთ,მივათბოთ,
მიმათბოთ,,მიათბოთ,მიგვათბოთ,,მიათბოთ,
მიმათბონ,მიგათბონ,მიათბონ,მიგვათბონ,მიგათბონ,მიათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,მიმითბიხარ,მიმითბია,,მიმითბიხართ,მიმითბია,
მიგითბივარ,,მიგითბია,მიგითბივართ,,მიგითბია,
მივუთბივარ,მიუთბიხარ,მიუთბია,მივუთბივართ,მიუთბიხართ,მიუთბია,
,მიგვითბიხარ,მიგვითბია,,მიგვითბიხართ,მიგვითბია,
მიგითბივართ,,მიგითბიათ,მიგითბივართ,,მიგითბიათ,
მივუთბივარ,მიუთბიხარ,მიუთბიათ,მივუთბივართ,მიუთბიხართ,მიუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,მიმეთბე,მიმეთბო,,მიმეთბეთ,მიმეთბოთ,
მიგეთბე,,მიგეთბო,მიგეთბეთ,,მიგეთბოთ,
მივეთბე,მიეთბე,მიეთბო,მივეთბეთ,მიეთბეთ,მიეთბოთ,
,მიგვეთბე,მიგვეთბო,,მიგვეთბეთ,მიგვეთბოთ,
მიგეთბეთ,,მიგეთბოთ,მიგეთბეთ,,მიგეთბოთ,
მივეთბე,მიეთბე,მიეთბოთ,მივეთბეთ,მიეთბეთ,მიეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,მიმეთბო,მიმეთბოს,,მიმეთბოთ,მიმეთბოს,
მიგეთბო,,მიგეთბოს,მიგეთბოთ,,მიგეთბოს,
მივეთბო,მიეთბო,მიეთბოს,მივეთბოთ,მიეთბოთ,მიეთბოს,
,მიგვეთბო,მიგვეთბოს,,მიგვეთბოთ,მიგვეთბოს,
მიგეთბოთ,,მიგეთბოთ,მიგეთბოთ,,მიგეთბოთ,
მივეთბო,მიეთბო,მიეთბოთ,მივეთბოთ,მიეთბოთ,მიეთბოთ,
