fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,მიგაკლებ,მივაკლებ,,მიგაკლებთ,მივაკლებ,
მიმაკლებ,,მიაკლებ,მიგვაკლებ,,მიაკლებ,
მიმაკლებს,მიგაკლებს,მიაკლებს,მიგვაკლებს,მიგაკლებთ,მიაკლებს,
,მიგაკლებთ,მივაკლებთ,,მიგაკლებთ,მივაკლებთ,
მიმაკლებთ,,მიაკლებთ,მიგვაკლებთ,,მიაკლებთ,
მიმაკლებენ,მიგაკლებენ,მიაკლებენ,მიგვაკლებენ,მიგაკლებენ,მიაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,მიგაკლებდი,მივაკლებდი,,მიგაკლებდით,მივაკლებდი,
მიმაკლებდი,,მიაკლებდი,მიგვაკლებდი,,მიაკლებდი,
მიმაკლებდა,მიგაკლებდა,მიაკლებდა,მიგვაკლებდა,მიგაკლებდათ,მიაკლებდა,
,მიგაკლებდით,მივაკლებდით,,მიგაკლებდით,მივაკლებდით,
მიმაკლებდით,,მიაკლებდით,მიგვაკლებდით,,მიაკლებდით,
მიმაკლებდნენ,მიგაკლებდნენ,მიაკლებდნენ,მიგვაკლებდნენ,მიგაკლებდნენ,მიაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,მიგაკლებდე,მივაკლებდე,,მიგაკლებდეთ,მივაკლებდე,
მიმაკლებდე,,მიაკლებდე,მიგვაკლებდე,,მიაკლებდე,
მიმაკლებდეს,მიგაკლებდეს,მიაკლებდეს,მიგვაკლებდეს,მიგაკლებდეთ,მიაკლებდეს,
,მიგაკლებდეთ,მივაკლებდეთ,,მიგაკლებდეთ,მივაკლებდეთ,
მიმაკლებდეთ,,მიაკლებდეთ,მიგვაკლებდეთ,,მიაკლებდეთ,
მიმაკლებდნენ,მიგაკლებდნენ,მიაკლებდნენ,მიგვაკლებდნენ,მიგაკლებდნენ,მიაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,მიგაკელი,მივაკელი,,მიგაკელით,მივაკელი,
მიმაკელი,,მიაკელი,მიგვაკელი,,მიაკელი,
მიმაკლო,მიგაკლო,მიაკლო,მიგვაკლო,მიგაკლოთ,მიაკლო,
