fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,მიგარტყამ,მივარტყამ,,მიგარტყამთ,მივარტყამ,
მიმარტყამ,,მიარტყამ,მიგვარტყამ,,მიარტყამ,
მიმარტყამს,მიგარტყამს,მიარტყამს,მიგვარტყამს,მიგარტყამთ,მიარტყამს,
,მიგარტყამთ,მივარტყამთ,,მიგარტყამთ,მივარტყამთ,
მიმარტყამთ,,მიარტყამთ,მიგვარტყამთ,,მიარტყამთ,
მიმარტყამენ,მიგარტყამენ,მიარტყამენ,მიგვარტყამენ,მიგარტყამენ,მიარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,მიგარტყამდი,მივარტყამდი,,მიგარტყამდით,მივარტყამდი,
მიმარტყამდი,,მიარტყამდი,მიგვარტყამდი,,მიარტყამდი,
მიმარტყამდა,მიგარტყამდა,მიარტყამდა,მიგვარტყამდა,მიგარტყამდათ,მიარტყამდა,
,მიგარტყამდით,მივარტყამდით,,მიგარტყამდით,მივარტყამდით,
მიმარტყამდით,,მიარტყამდით,მიგვარტყამდით,,მიარტყამდით,
მიმარტყამდნენ,მიგარტყამდნენ,მიარტყამდნენ,მიგვარტყამდნენ,მიგარტყამდნენ,მიარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,მიგარტყამდე,მივარტყამდე,,მიგარტყამდეთ,მივარტყამდე,
მიმარტყამდე,,მიარტყამდე,მიგვარტყამდე,,მიარტყამდე,
მიმარტყამდეს,მიგარტყამდეს,მიარტყამდეს,მიგვარტყამდეს,მიგარტყამდეთ,მიარტყამდეს,
,მიგარტყამდეთ,მივარტყამდეთ,,მიგარტყამდეთ,მივარტყამდეთ,
მიმარტყამდეთ,,მიარტყამდეთ,მიგვარტყამდეთ,,მიარტყამდეთ,
მიმარტყამდნენ,მიგარტყამდნენ,მიარტყამდნენ,მიგვარტყამდნენ,მიგარტყამდნენ,მიარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,მიგარტყი,მივარტყი,,მიგარტყით,მივარტყი,
მიმარტყი,,მიარტყი,მიგვარტყი,,მიარტყი,
მიმარტყა,მიგარტყა,მიარტყა,მიგვარტყა,მიგარტყათ,მიარტყა,
,მიგარტყით,მივარტყით,,მიგარტყით,მივარტყით,
მიმარტყით,,მიარტყით,მიგვარტყით,,მიარტყით,
მიმარტყეს,მიგარტყეს,მიარტყეს,მიგვარტყეს,მიგარტყეს,მიარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,მიგარტყა,მივარტყა,,მიგარტყათ,მივარტყა,
მიმარტყა,,მიარტყა,მიგვარტყა,,მიარტყა,
მიმარტყას,მიგარტყას,მიარტყას,მიგვარტყას,მიგარტყათ,მიარტყას,
,მიგარტყათ,მივარტყათ,,მიგარტყათ,მივარტყათ,
მიმარტყათ,,მიარტყათ,მიგვარტყათ,,მიარტყათ,
მიმარტყან,მიგარტყან,მიარტყან,მიგვარტყან,მიგარტყან,მიარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,მიმირტყიხარ,მიმირტყია,,მიმირტყიხართ,მიმირტყია,
მიგირტყივარ,,მიგირტყია,მიგირტყივართ,,მიგირტყია,
მივურტყივარ,მიურტყიხარ,მიურტყია,მივურტყივართ,მიურტყიხართ,მიურტყია,
,მიგვირტყიხარ,მიგვირტყია,,მიგვირტყიხართ,მიგვირტყია,
მიგირტყივართ,,მიგირტყიათ,მიგირტყივართ,,მიგირტყიათ,
მივურტყივარ,მიურტყიხარ,მიურტყიათ,მივურტყივართ,მიურტყიხართ,მიურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,მიმირტყამხარ,მიმირტყამს,,მიმირტყამხართ,მიმირტყამს,
მიგირტყამვარ,,მიგირტყამს,მიგირტყამვართ,,მიგირტყამს,
მივურტყამვარ,მიურტყამხარ,მიურტყამს,მივურტყამვართ,მიურტყამხართ,მიურტყამს,
,მიგვირტყამხარ,მიგვირტყამს,,მიგვირტყამხართ,მიგვირტყამს,
მიგირტყამვართ,,მიგირტყამთ,მიგირტყამვართ,,მიგირტყამთ,
მივურტყამვარ,მიურტყამხარ,მიურტყამთ,მივურტყამვართ,მიურტყამხართ,მიურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
ვერტყი,ერტყი,ერტყათ,ვერტყით,ერტყით,ერტყათ,
IIturm_prfv
,მიმერტყი,მიმერტყა,,მიმერტყით,მიმერტყა,
მიგერტყი,,მიგერტყა,მიგერტყით,,მიგერტყა,
მივერტყი,მიერტყი,მიერტყა,მივერტყით,მიერტყით,მიერტყა,
,მიგვერტყი,მიგვერტყა,,მიგვერტყით,მიგვერტყა,
