fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,მიგაქებ,მივაქებ,,მიგაქებთ,მივაქებ,
მიმაქებ,,მიაქებ,მიგვაქებ,,მიაქებ,
მიმაქებს,მიგაქებს,მიაქებს,მიგვაქებს,მიგაქებთ,მიაქებს,
,მიგაქებთ,მივაქებთ,,მიგაქებთ,მივაქებთ,
მიმაქებთ,,მიაქებთ,მიგვაქებთ,,მიაქებთ,
მიმაქებენ,მიგაქებენ,მიაქებენ,მიგვაქებენ,მიგაქებენ,მიაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,მიგაქებდი,მივაქებდი,,მიგაქებდით,მივაქებდი,
მიმაქებდი,,მიაქებდი,მიგვაქებდი,,მიაქებდი,
მიმაქებდა,მიგაქებდა,მიაქებდა,მიგვაქებდა,მიგაქებდათ,მიაქებდა,
,მიგაქებდით,მივაქებდით,,მიგაქებდით,მივაქებდით,
მიმაქებდით,,მიაქებდით,მიგვაქებდით,,მიაქებდით,
მიმაქებდნენ,მიგაქებდნენ,მიაქებდნენ,მიგვაქებდნენ,მიგაქებდნენ,მიაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,მიგაქებდე,მივაქებდე,,მიგაქებდეთ,მივაქებდე,
მიმაქებდე,,მიაქებდე,მიგვაქებდე,,მიაქებდე,
მიმაქებდეს,მიგაქებდეს,მიაქებდეს,მიგვაქებდეს,მიგაქებდეთ,მიაქებდეს,
,მიგაქებდეთ,მივაქებდეთ,,მიგაქებდეთ,მივაქებდეთ,
მიმაქებდეთ,,მიაქებდეთ,მიგვაქებდეთ,,მიაქებდეთ,
მიმაქებდნენ,მიგაქებდნენ,მიაქებდნენ,მიგვაქებდნენ,მიგაქებდნენ,მიაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,მიგაქე,მივაქე,,მიგაქეთ,მივაქე,
მიმაქე,,მიაქე,მიგვაქე,,მიაქე,
მიმაქო,მიგაქო,მიაქო,მიგვაქო,მიგაქოთ,მიაქო,
,მიგაქეთ,მივაქეთ,,მიგაქეთ,მივაქეთ,
მიმაქეთ,,მიაქეთ,მიგვაქეთ,,მიაქეთ,
მიმაქეს,მიგაქეს,მიაქეს,მიგვაქეს,მიგაქეს,მიაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,მიგაქო,მივაქო,,მიგაქოთ,მივაქო,
მიმაქო,,მიაქო,მიგვაქო,,მიაქო,
მიმაქოს,მიგაქოს,მიაქოს,მიგვაქოს,მიგაქოთ,მიაქოს,
,მიგაქოთ,მივაქოთ,,მიგაქოთ,მივაქოთ,
მიმაქოთ,,მიაქოთ,მიგვაქოთ,,მიაქოთ,
მიმაქონ,მიგაქონ,მიაქონ,მიგვაქონ,მიგაქონ,მიაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,მიმიქიხარ,მიმიქია,,მიმიქიხართ,მიმიქია,
მიგიქივარ,,მიგიქია,მიგიქივართ,,მიგიქია,
მივუქივარ,მიუქიხარ,მიუქია,მივუქივართ,მიუქიხართ,მიუქია,
,მიგვიქიხარ,მიგვიქია,,მიგვიქიხართ,მიგვიქია,
მიგიქივართ,,მიგიქიათ,მიგიქივართ,,მიგიქიათ,
მივუქივარ,მიუქიხარ,მიუქიათ,მივუქივართ,მიუქიხართ,მიუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,მიმექე,მიმექო,,მიმექეთ,მიმექოთ,
მიგექე,,მიგექო,მიგექეთ,,მიგექოთ,
მივექე,მიექე,მიექო,მივექეთ,მიექეთ,მიექოთ,
,მიგვექე,მიგვექო,,მიგვექეთ,მიგვექოთ,
მიგექეთ,,მიგექოთ,მიგექეთ,,მიგექოთ,
მივექე,მიექე,მიექოთ,მივექეთ,მიექეთ,მიექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,მიმექო,მიმექოს,,მიმექოთ,მიმექოს,
მიგექო,,მიგექოს,მიგექოთ,,მიგექოს,
მივექო,მიექო,მიექოს,მივექოთ,მიექოთ,მიექოს,
,მიგვექო,მიგვექოს,,მიგვექოთ,მიგვექოს,
მიგექოთ,,მიგექოთ,მიგექოთ,,მიგექოთ,
მივექო,მიექო,მიექოთ,მივექოთ,მიექოთ,მიექოთ,
