fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,მიგაშენებ,მივაშენებ,,მიგაშენებთ,მივაშენებ,
მიმაშენებ,,მიაშენებ,მიგვაშენებ,,მიაშენებ,
მიმაშენებს,მიგაშენებს,მიაშენებს,მიგვაშენებს,მიგაშენებთ,მიაშენებს,
,მიგაშენებთ,მივაშენებთ,,მიგაშენებთ,მივაშენებთ,
მიმაშენებთ,,მიაშენებთ,მიგვაშენებთ,,მიაშენებთ,
მიმაშენებენ,მიგაშენებენ,მიაშენებენ,მიგვაშენებენ,მიგაშენებენ,მიაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,მიგაშენებდი,მივაშენებდი,,მიგაშენებდით,მივაშენებდი,
მიმაშენებდი,,მიაშენებდი,მიგვაშენებდი,,მიაშენებდი,
მიმაშენებდა,მიგაშენებდა,მიაშენებდა,მიგვაშენებდა,მიგაშენებდათ,მიაშენებდა,
,მიგაშენებდით,მივაშენებდით,,მიგაშენებდით,მივაშენებდით,
მიმაშენებდით,,მიაშენებდით,მიგვაშენებდით,,მიაშენებდით,
მიმაშენებდნენ,მიგაშენებდნენ,მიაშენებდნენ,მიგვაშენებდნენ,მიგაშენებდნენ,მიაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,მიგაშენებდე,მივაშენებდე,,მიგაშენებდეთ,მივაშენებდე,
მიმაშენებდე,,მიაშენებდე,მიგვაშენებდე,,მიაშენებდე,
მიმაშენებდეს,მიგაშენებდეს,მიაშენებდეს,მიგვაშენებდეს,მიგაშენებდეთ,მიაშენებდეს,
,მიგაშენებდეთ,მივაშენებდეთ,,მიგაშენებდეთ,მივაშენებდეთ,
მიმაშენებდეთ,,მიაშენებდეთ,მიგვაშენებდეთ,,მიაშენებდეთ,
მიმაშენებდნენ,მიგაშენებდნენ,მიაშენებდნენ,მიგვაშენებდნენ,მიგაშენებდნენ,მიაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,მიგაშენე,მივაშენე,,მიგაშენეთ,მივაშენე,
მიმაშენე,,მიაშენე,მიგვაშენე,,მიაშენე,
მიმაშენა,მიგაშენა,მიაშენა,მიგვაშენა,მიგაშენათ,მიაშენა,
,მიგაშენეთ,მივაშენეთ,,მიგაშენეთ,მივაშენეთ,
მიმაშენეთ,,მიაშენეთ,მიგვაშენეთ,,მიაშენეთ,
მიმაშენეს,მიგაშენეს,მიაშენეს,მიგვაშენეს,მიგაშენეს,მიაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,მიგაშენო,მივაშენო,,მიგაშენოთ,მივაშენო,
მიმაშენო,,მიაშენო,მიგვაშენო,,მიაშენო,
მიმაშენოს,მიგაშენოს,მიაშენოს,მიგვაშენოს,მიგაშენოთ,მიაშენოს,
,მიგაშენოთ,მივაშენოთ,,მიგაშენოთ,მივაშენოთ,
მიმაშენოთ,,მიაშენოთ,მიგვაშენოთ,,მიაშენოთ,
მიმაშენონ,მიგაშენონ,მიაშენონ,მიგვაშენონ,მიგაშენონ,მიაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,მიმიშენებიხარ,მიმიშენებია,,მიმიშენებიხართ,მიმიშენებია,
მიგიშენებივარ,,მიგიშენებია,მიგიშენებივართ,,მიგიშენებია,
მივუშენებივარ,მიუშენებიხარ,მიუშენებია,მივუშენებივართ,მიუშენებიხართ,მიუშენებია,
,მიგვიშენებიხარ,მიგვიშენებია,,მიგვიშენებიხართ,მიგვიშენებია,
მიგიშენებივართ,,მიგიშენებიათ,მიგიშენებივართ,,მიგიშენებიათ,
მივუშენებივარ,მიუშენებიხარ,მიუშენებიათ,მივუშენებივართ,მიუშენებიხართ,მიუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,მიმეშენებინე,მიმეშენებინა,,მიმეშენებინეთ,მიმეშენებინა,
მიგეშენებინე,,მიგეშენებინა,მიგეშენებინეთ,,მიგეშენებინა,
მივეშენებინე,მიეშენებინე,მიეშენებინა,მივეშენებინეთ,მიეშენებინეთ,მიეშენებინა,
,მიგვეშენებინე,მიგვეშენებინა,,მიგვეშენებინეთ,მიგვეშენებინა,
მიგეშენებინეთ,,მიგეშენებინათ,მიგეშენებინეთ,,მიგეშენებინათ,
მივეშენებინე,მიეშენებინე,მიეშენებინათ,მივეშენებინეთ,მიეშენებინეთ,მიეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,მიმეშენებინო,მიმეშენებინოს,,მიმეშენებინოთ,მიმეშენებინოს,
მიგეშენებინო,,მიგეშენებინოს,მიგეშენებინოთ,,მიგეშენებინოს,
მივეშენებინო,მიეშენებინო,მიეშენებინოს,მივეშენებინოთ,მიეშენებინოთ,მიეშენებინოს,
,მიგვეშენებინო,მიგვეშენებინოს,,მიგვეშენებინოთ,მიგვეშენებინოს,
მიგეშენებინოთ,,მიგეშენებინოთ,მიგეშენებინოთ,,მიგეშენებინოთ,
მივეშენებინო,მიეშენებინო,მიეშენებინოთ,მივეშენებინოთ,მიეშენებინოთ,მიეშენებინოთ,
