fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,მიგაწვენ,მივაწვენ,,მიგაწვენთ,მივაწვენ,
მიმაწვენ,,მიაწვენ,მიგვაწვენ,,მიაწვენ,
მიმაწვენს,მიგაწვენს,მიაწვენს,მიგვაწვენს,მიგაწვენთ,მიაწვენს,
,მიგაწვენთ,მივაწვენთ,,მიგაწვენთ,მივაწვენთ,
მიმაწვენთ,,მიაწვენთ,მიგვაწვენთ,,მიაწვენთ,
მიმაწვენენ,მიგაწვენენ,მიაწვენენ,მიგვაწვენენ,მიგაწვენენ,მიაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,მიგაწვენდი,მივაწვენდი,,მიგაწვენდით,მივაწვენდი,
მიმაწვენდი,,მიაწვენდი,მიგვაწვენდი,,მიაწვენდი,
მიმაწვენდა,მიგაწვენდა,მიაწვენდა,მიგვაწვენდა,მიგაწვენდათ,მიაწვენდა,
,მიგაწვენდით,მივაწვენდით,,მიგაწვენდით,მივაწვენდით,
მიმაწვენდით,,მიაწვენდით,მიგვაწვენდით,,მიაწვენდით,
მიმაწვენდნენ,მიგაწვენდნენ,მიაწვენდნენ,მიგვაწვენდნენ,მიგაწვენდნენ,მიაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,მიგაწვენდე,მივაწვენდე,,მიგაწვენდეთ,მივაწვენდე,
მიმაწვენდე,,მიაწვენდე,მიგვაწვენდე,,მიაწვენდე,
მიმაწვენდეს,მიგაწვენდეს,მიაწვენდეს,მიგვაწვენდეს,მიგაწვენდეთ,მიაწვენდეს,
,მიგაწვენდეთ,მივაწვენდეთ,,მიგაწვენდეთ,მივაწვენდეთ,
მიმაწვენდეთ,,მიაწვენდეთ,მიგვაწვენდეთ,,მიაწვენდეთ,
მიმაწვენდნენ,მიგაწვენდნენ,მიაწვენდნენ,მიგვაწვენდნენ,მიგაწვენდნენ,მიაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,მიგაწვინე,მივაწვინე,,მიგაწვინეთ,მივაწვინე,
მიმაწვინე,,მიაწვინე,მიგვაწვინე,,მიაწვინე,
მიმაწვინა,მიგაწვინა,მიაწვინა,მიგვაწვინა,მიგაწვინათ,მიაწვინა,
,მიგაწვინეთ,მივაწვინეთ,,მიგაწვინეთ,მივაწვინეთ,
მიმაწვინეთ,,მიაწვინეთ,მიგვაწვინეთ,,მიაწვინეთ,
