fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,მიგეწერები,მივეწერები,,მიგეწერებით,მივეწერები,
მიმეწერები,,მიეწერები,მიგვეწერები,,მიეწერები,
მიმეწერება,მიგეწერება,მიეწერება,მიგვეწერება,მიგეწერებათ,მიეწერება,
,მიგეწერებით,მივეწერებით,,მიგეწერებით,მივეწერებით,
მიმეწერებით,,მიეწერებით,მიგვეწერებით,,მიეწერებით,
მიმეწერებიან,მიგეწერებიან,მიეწერებიან,მიგვეწერებიან,მიგეწერებიან,მიეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,მიგეწერებოდი,მივეწერებოდი,,მიგეწერებოდით,მივეწერებოდი,
მიმეწერებოდი,,მიეწერებოდი,მიგვეწერებოდი,,მიეწერებოდი,
მიმეწერებოდა,მიგეწერებოდა,მიეწერებოდა,მიგვეწერებოდა,მიგეწერებოდათ,მიეწერებოდა,
,მიგეწერებოდით,მივეწერებოდით,,მიგეწერებოდით,მივეწერებოდით,
მიმეწერებოდით,,მიეწერებოდით,მიგვეწერებოდით,,მიეწერებოდით,
მიმეწერებოდნენ,მიგეწერებოდნენ,მიეწერებოდნენ,მიგვეწერებოდნენ,მიგეწერებოდნენ,მიეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,მიგეწერებოდე,მივეწერებოდე,,მიგეწერებოდეთ,მივეწერებოდე,
მიმეწერებოდე,,მიეწერებოდე,მიგვეწერებოდე,,მიეწერებოდე,
მიმეწერებოდეს,მიგეწერებოდეს,მიეწერებოდეს,მიგვეწერებოდეს,მიგეწერებოდეთ,მიეწერებოდეს,
,მიგეწერებოდეთ,მივეწერებოდეთ,,მიგეწერებოდეთ,მივეწერებოდეთ,
მიმეწერებოდეთ,,მიეწერებოდეთ,მიგვეწერებოდეთ,,მიეწერებოდეთ,
მიმეწერებოდნენ,მიგეწერებოდნენ,მიეწერებოდნენ,მიგვეწერებოდნენ,მიგეწერებოდნენ,მიეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
