pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,მიგზრდი,მივზრდი,,მიგზრდით,მივზრდი,
მიმზრდი,,მიზრდი,მიგვზრდი,,მიზრდი,
მიმზრდის,მიგზრდის,მიზრდის,მიგვზრდის,მიგზრდით,მიზრდის,
,მიგზრდით,მივზრდით,,მიგზრდით,მივზრდით,
მიმზრდით,,მიზრდით,მიგვზრდით,,მიზრდით,
მიმზრდიან,მიგზრდიან,მიზრდიან,მიგვზრდიან,მიგზრდიან,მიზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,მიგზრდიდი,მივზრდიდი,,მიგზრდიდით,მივზრდიდი,
მიმზრდიდი,,მიზრდიდი,მიგვზრდიდი,,მიზრდიდი,
მიმზრდიდა,მიგზრდიდა,მიზრდიდა,მიგვზრდიდა,მიგზრდიდათ,მიზრდიდა,
,მიგზრდიდით,მივზრდიდით,,მიგზრდიდით,მივზრდიდით,
მიმზრდიდით,,მიზრდიდით,მიგვზრდიდით,,მიზრდიდით,
მიმზრდიდნენ,მიგზრდიდნენ,მიზრდიდნენ,მიგვზრდიდნენ,მიგზრდიდნენ,მიზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,მიგზრდიდე,მივზრდიდე,,მიგზრდიდეთ,მივზრდიდე,
მიმზრდიდე,,მიზრდიდე,მიგვზრდიდე,,მიზრდიდე,
მიმზრდიდეს,მიგზრდიდეს,მიზრდიდეს,მიგვზრდიდეს,მიგზრდიდეთ,მიზრდიდეს,
,მიგზრდიდეთ,მივზრდიდეთ,,მიგზრდიდეთ,მივზრდიდეთ,
მიმზრდიდეთ,,მიზრდიდეთ,მიგვზრდიდეთ,,მიზრდიდეთ,
მიმზრდიდნენ,მიგზრდიდნენ,მიზრდიდნენ,მიგვზრდიდნენ,მიგზრდიდნენ,მიზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,მიგზარდე,მივზარდე,,მიგზარდეთ,მივზარდე,
მიმზარდე,,მიზარდე,მიგვზარდე,,მიზარდე,
მიმზარდა,მიგზარდა,მიზარდა,მიგვზარდა,მიგზარდათ,მიზარდა,
,მიგზარდეთ,მივზარდეთ,,მიგზარდეთ,მივზარდეთ,
მიმზარდეთ,,მიზარდეთ,მიგვზარდეთ,,მიზარდეთ,
მიმზარდეს,მიგზარდეს,მიზარდეს,მიგვზარდეს,მიგზარდეს,მიზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,მიგზარდო,მივზარდო,,მიგზარდოთ,მივზარდო,
მიმზარდო,,მიზარდო,მიგვზარდო,,მიზარდო,
მიმზარდოს,მიგზარდოს,მიზარდოს,მიგვზარდოს,მიგზარდოთ,მიზარდოს,
,მიგზარდოთ,მივზარდოთ,,მიგზარდოთ,მივზარდოთ,
მიმზარდოთ,,მიზარდოთ,მიგვზარდოთ,,მიზარდოთ,
მიმზარდონ,მიგზარდონ,მიზარდონ,მიგვზარდონ,მიგზარდონ,მიზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,მიმიზრდიხარ,მიმიზრდია,,მიმიზრდიხართ,მიმიზრდია,
მიგიზრდივარ,,მიგიზრდია,მიგიზრდივართ,,მიგიზრდია,
მივუზრდივარ,მიუზრდიხარ,მიუზრდია,მივუზრდივართ,მიუზრდიხართ,მიუზრდია,
,მიგვიზრდიხარ,მიგვიზრდია,,მიგვიზრდიხართ,მიგვიზრდია,
მიგიზრდივართ,,მიგიზრდიათ,მიგიზრდივართ,,მიგიზრდიათ,
მივუზრდივარ,მიუზრდიხარ,მიუზრდიათ,მივუზრდივართ,მიუზრდიხართ,მიუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,მიმეზარდე,მიმეზარდა,,მიმეზარდეთ,მიმეზარდა,
მიგეზარდე,,მიგეზარდა,მიგეზარდეთ,,მიგეზარდა,
მივეზარდე,მიეზარდე,მიეზარდა,მივეზარდეთ,მიეზარდეთ,მიეზარდა,
,მიგვეზარდე,მიგვეზარდა,,მიგვეზარდეთ,მიგვეზარდა,
მიგეზარდეთ,,მიგეზარდათ,მიგეზარდეთ,,მიგეზარდათ,
მივეზარდე,მიეზარდე,მიეზარდათ,მივეზარდეთ,მიეზარდეთ,მიეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,მიმეზარდო,მიმეზარდოს,,მიმეზარდოთ,მიმეზარდოს,
მიგეზარდო,,მიგეზარდოს,მიგეზარდოთ,,მიგეზარდოს,
მივეზარდო,მიეზარდო,მიეზარდოს,მივეზარდოთ,მიეზარდოთ,მიეზარდოს,
,მიგვეზარდო,მიგვეზარდოს,,მიგვეზარდოთ,მიგვეზარდოს,
მიგეზარდოთ,,მიგეზარდოთ,მიგეზარდოთ,,მიგეზარდოთ,
მივეზარდო,მიეზარდო,მიეზარდოთ,მივეზარდოთ,მიეზარდოთ,მიეზარდოთ,
