pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,მიგკრავ,მივკრავ,,მიგკრავთ,მივკრავ,
მიმკრავ,,მიკრავ,მიგვკრავ,,მიკრავ,
მიმკრავს,მიგკრავს,მიკრავს,მიგვკრავს,მიგკრავთ,მიკრავს,
,მიგკრავთ,მივკრავთ,,მიგკრავთ,მივკრავთ,
მიმკრავთ,,მიკრავთ,მიგვკრავთ,,მიკრავთ,
მიმკრავენ,მიგკრავენ,მიკრავენ,მიგვკრავენ,მიგკრავენ,მიკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,მიგკრავდი,მივკრავდი,,მიგკრავდით,მივკრავდი,
მიმკრავდი,,მიკრავდი,მიგვკრავდი,,მიკრავდი,
მიმკრავდა,მიგკრავდა,მიკრავდა,მიგვკრავდა,მიგკრავდათ,მიკრავდა,
,მიგკრავდით,მივკრავდით,,მიგკრავდით,მივკრავდით,
მიმკრავდით,,მიკრავდით,მიგვკრავდით,,მიკრავდით,
მიმკრავდნენ,მიგკრავდნენ,მიკრავდნენ,მიგვკრავდნენ,მიგკრავდნენ,მიკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,მიგკრავდე,მივკრავდე,,მიგკრავდეთ,მივკრავდე,
მიმკრავდე,,მიკრავდე,მიგვკრავდე,,მიკრავდე,
მიმკრავდეს,მიგკრავდეს,მიკრავდეს,მიგვკრავდეს,მიგკრავდეთ,მიკრავდეს,
,მიგკრავდეთ,მივკრავდეთ,,მიგკრავდეთ,მივკრავდეთ,
მიმკრავდეთ,,მიკრავდეთ,მიგვკრავდეთ,,მიკრავდეთ,
მიმკრავდნენ,მიგკრავდნენ,მიკრავდნენ,მიგვკრავდნენ,მიგკრავდნენ,მიკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
,გკარით,ვკარით,,გკარით,ვკარით,
მკარით,,კარით,გვკარით,,კარით,
