pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,მიგხატავ,მივხატავ,,მიგხატავთ,მივხატავ,
მიმხატავ,,მიხატავ,მიგვხატავ,,მიხატავ,
მიმხატავს,მიგხატავს,მიხატავს,მიგვხატავს,მიგხატავთ,მიხატავს,
,მიგხატავთ,მივხატავთ,,მიგხატავთ,მივხატავთ,
მიმხატავთ,,მიხატავთ,მიგვხატავთ,,მიხატავთ,
მიმხატავენ,მიგხატავენ,მიხატავენ,მიგვხატავენ,მიგხატავენ,მიხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,მიგხატავდი,მივხატავდი,,მიგხატავდით,მივხატავდი,
მიმხატავდი,,მიხატავდი,მიგვხატავდი,,მიხატავდი,
მიმხატავდა,მიგხატავდა,მიხატავდა,მიგვხატავდა,მიგხატავდათ,მიხატავდა,
,მიგხატავდით,მივხატავდით,,მიგხატავდით,მივხატავდით,
მიმხატავდით,,მიხატავდით,მიგვხატავდით,,მიხატავდით,
მიმხატავდნენ,მიგხატავდნენ,მიხატავდნენ,მიგვხატავდნენ,მიგხატავდნენ,მიხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,მიგხატავდე,მივხატავდე,,მიგხატავდეთ,მივხატავდე,
მიმხატავდე,,მიხატავდე,მიგვხატავდე,,მიხატავდე,
მიმხატავდეს,მიგხატავდეს,მიხატავდეს,მიგვხატავდეს,მიგხატავდეთ,მიხატავდეს,
,მიგხატავდეთ,მივხატავდეთ,,მიგხატავდეთ,მივხატავდეთ,
მიმხატავდეთ,,მიხატავდეთ,მიგვხატავდეთ,,მიხატავდეთ,
მიმხატავდნენ,მიგხატავდნენ,მიხატავდნენ,მიგვხატავდნენ,მიგხატავდნენ,მიხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,მიგხატე,მივხატე,,მიგხატეთ,მივხატე,
მიმხატე,,მიხატე,მიგვხატე,,მიხატე,
მიმხატა,მიგხატა,მიხატა,მიგვხატა,მიგხატათ,მიხატა,
,მიგხატეთ,მივხატეთ,,მიგხატეთ,მივხატეთ,
მიმხატეთ,,მიხატეთ,მიგვხატეთ,,მიხატეთ,
მიმხატეს,მიგხატეს,მიხატეს,მიგვხატეს,მიგხატეს,მიხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,მიგხატო,მივხატო,,მიგხატოთ,მივხატო,
მიმხატო,,მიხატო,მიგვხატო,,მიხატო,
მიმხატოს,მიგხატოს,მიხატოს,მიგვხატოს,მიგხატოთ,მიხატოს,
,მიგხატოთ,მივხატოთ,,მიგხატოთ,მივხატოთ,
მიმხატოთ,,მიხატოთ,მიგვხატოთ,,მიხატოთ,
მიმხატონ,მიგხატონ,მიხატონ,მიგვხატონ,მიგხატონ,მიხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,მიმიხატიხარ,მიმიხატია,,მიმიხატიხართ,მიმიხატია,
მიგიხატივარ,,მიგიხატია,მიგიხატივართ,,მიგიხატია,
მივუხატივარ,მიუხატიხარ,მიუხატია,მივუხატივართ,მიუხატიხართ,მიუხატია,
,მიგვიხატიხარ,მიგვიხატია,,მიგვიხატიხართ,მიგვიხატია,
