fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,მიმოგადებინებ,მიმოვადებინებ,,მიმოგადებინებთ,მიმოვადებინებ,
მიმომადებინებ,,მიმოადებინებ,მიმოგვადებინებ,,მიმოადებინებ,
მიმომადებინებს,მიმოგადებინებს,მიმოადებინებს,მიმოგვადებინებს,მიმოგადებინებთ,მიმოადებინებს,
,მიმოგადებინებთ,მიმოვადებინებთ,,მიმოგადებინებთ,მიმოვადებინებთ,
მიმომადებინებთ,,მიმოადებინებთ,მიმოგვადებინებთ,,მიმოადებინებთ,
მიმომადებინებენ,მიმოგადებინებენ,მიმოადებინებენ,მიმოგვადებინებენ,მიმოგადებინებენ,მიმოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,მიმოგადებინებდი,მიმოვადებინებდი,,მიმოგადებინებდით,მიმოვადებინებდი,
მიმომადებინებდი,,მიმოადებინებდი,მიმოგვადებინებდი,,მიმოადებინებდი,
მიმომადებინებდა,მიმოგადებინებდა,მიმოადებინებდა,მიმოგვადებინებდა,მიმოგადებინებდათ,მიმოადებინებდა,
,მიმოგადებინებდით,მიმოვადებინებდით,,მიმოგადებინებდით,მიმოვადებინებდით,
მიმომადებინებდით,,მიმოადებინებდით,მიმოგვადებინებდით,,მიმოადებინებდით,
მიმომადებინებდნენ,მიმოგადებინებდნენ,მიმოადებინებდნენ,მიმოგვადებინებდნენ,მიმოგადებინებდნენ,მიმოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,მიმოგადებინებდე,მიმოვადებინებდე,,მიმოგადებინებდეთ,მიმოვადებინებდე,
მიმომადებინებდე,,მიმოადებინებდე,მიმოგვადებინებდე,,მიმოადებინებდე,
მიმომადებინებდეს,მიმოგადებინებდეს,მიმოადებინებდეს,მიმოგვადებინებდეს,მიმოგადებინებდეთ,მიმოადებინებდეს,
,მიმოგადებინებდეთ,მიმოვადებინებდეთ,,მიმოგადებინებდეთ,მიმოვადებინებდეთ,
მიმომადებინებდეთ,,მიმოადებინებდეთ,მიმოგვადებინებდეთ,,მიმოადებინებდეთ,
