fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,მიმოგათბობ,მიმოვათბობ,,მიმოგათბობთ,მიმოვათბობ,
მიმომათბობ,,მიმოათბობ,მიმოგვათბობ,,მიმოათბობ,
მიმომათბობს,მიმოგათბობს,მიმოათბობს,მიმოგვათბობს,მიმოგათბობთ,მიმოათბობს,
,მიმოგათბობთ,მიმოვათბობთ,,მიმოგათბობთ,მიმოვათბობთ,
მიმომათბობთ,,მიმოათბობთ,მიმოგვათბობთ,,მიმოათბობთ,
მიმომათბობენ,მიმოგათბობენ,მიმოათბობენ,მიმოგვათბობენ,მიმოგათბობენ,მიმოათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,მიმოგათბობდი,მიმოვათბობდი,,მიმოგათბობდით,მიმოვათბობდი,
მიმომათბობდი,,მიმოათბობდი,მიმოგვათბობდი,,მიმოათბობდი,
მიმომათბობდა,მიმოგათბობდა,მიმოათბობდა,მიმოგვათბობდა,მიმოგათბობდათ,მიმოათბობდა,
,მიმოგათბობდით,მიმოვათბობდით,,მიმოგათბობდით,მიმოვათბობდით,
მიმომათბობდით,,მიმოათბობდით,მიმოგვათბობდით,,მიმოათბობდით,
მიმომათბობდნენ,მიმოგათბობდნენ,მიმოათბობდნენ,მიმოგვათბობდნენ,მიმოგათბობდნენ,მიმოათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,მიმოგათბობდე,მიმოვათბობდე,,მიმოგათბობდეთ,მიმოვათბობდე,
მიმომათბობდე,,მიმოათბობდე,მიმოგვათბობდე,,მიმოათბობდე,
მიმომათბობდეს,მიმოგათბობდეს,მიმოათბობდეს,მიმოგვათბობდეს,მიმოგათბობდეთ,მიმოათბობდეს,
,მიმოგათბობდეთ,მიმოვათბობდეთ,,მიმოგათბობდეთ,მიმოვათბობდეთ,
მიმომათბობდეთ,,მიმოათბობდეთ,მიმოგვათბობდეთ,,მიმოათბობდეთ,
მიმომათბობდნენ,მიმოგათბობდნენ,მიმოათბობდნენ,მიმოგვათბობდნენ,მიმოგათბობდნენ,მიმოათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,მიმოგათბე,მიმოვათბე,,მიმოგათბეთ,მიმოვათბე,
მიმომათბე,,მიმოათბე,მიმოგვათბე,,მიმოათბე,
მიმომათბო,მიმოგათბო,მიმოათბო,მიმოგვათბო,მიმოგათბოთ,მიმოათბო,
,მიმოგათბეთ,მიმოვათბეთ,,მიმოგათბეთ,მიმოვათბეთ,
მიმომათბეთ,,მიმოათბეთ,მიმოგვათბეთ,,მიმოათბეთ,
მიმომათბეს,მიმოგათბეს,მიმოათბეს,მიმოგვათბეს,მიმოგათბეს,მიმოათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,მიმოგათბო,მიმოვათბო,,მიმოგათბოთ,მიმოვათბო,
მიმომათბო,,მიმოათბო,მიმოგვათბო,,მიმოათბო,
მიმომათბოს,მიმოგათბოს,მიმოათბოს,მიმოგვათბოს,მიმოგათბოთ,მიმოათბოს,
,მიმოგათბოთ,მიმოვათბოთ,,მიმოგათბოთ,მიმოვათბოთ,
მიმომათბოთ,,მიმოათბოთ,მიმოგვათბოთ,,მიმოათბოთ,
მიმომათბონ,მიმოგათბონ,მიმოათბონ,მიმოგვათბონ,მიმოგათბონ,მიმოათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,მიმომითბიხარ,მიმომითბია,,მიმომითბიხართ,მიმომითბია,
მიმოგითბივარ,,მიმოგითბია,მიმოგითბივართ,,მიმოგითბია,
მიმოვუთბივარ,მიმოუთბიხარ,მიმოუთბია,მიმოვუთბივართ,მიმოუთბიხართ,მიმოუთბია,
,მიმოგვითბიხარ,მიმოგვითბია,,მიმოგვითბიხართ,მიმოგვითბია,
მიმოგითბივართ,,მიმოგითბიათ,მიმოგითბივართ,,მიმოგითბიათ,
მიმოვუთბივარ,მიმოუთბიხარ,მიმოუთბიათ,მიმოვუთბივართ,მიმოუთბიხართ,მიმოუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,მიმომეთბე,მიმომეთბო,,მიმომეთბეთ,მიმომეთბოთ,
მიმოგეთბე,,მიმოგეთბო,მიმოგეთბეთ,,მიმოგეთბოთ,
მიმოვეთბე,მიმოეთბე,მიმოეთბო,მიმოვეთბეთ,მიმოეთბეთ,მიმოეთბოთ,
,მიმოგვეთბე,მიმოგვეთბო,,მიმოგვეთბეთ,მიმოგვეთბოთ,
მიმოგეთბეთ,,მიმოგეთბოთ,მიმოგეთბეთ,,მიმოგეთბოთ,
მიმოვეთბე,მიმოეთბე,მიმოეთბოთ,მიმოვეთბეთ,მიმოეთბეთ,მიმოეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,მიმომეთბო,მიმომეთბოს,,მიმომეთბოთ,მიმომეთბოს,
მიმოგეთბო,,მიმოგეთბოს,მიმოგეთბოთ,,მიმოგეთბოს,
მიმოვეთბო,მიმოეთბო,მიმოეთბოს,მიმოვეთბოთ,მიმოეთბოთ,მიმოეთბოს,
,მიმოგვეთბო,მიმოგვეთბოს,,მიმოგვეთბოთ,მიმოგვეთბოს,
მიმოგეთბოთ,,მიმოგეთბოთ,მიმოგეთბოთ,,მიმოგეთბოთ,
მიმოვეთბო,მიმოეთბო,მიმოეთბოთ,მიმოვეთბოთ,მიმოეთბოთ,მიმოეთბოთ,
