fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,მიმოგაშენებ,მიმოვაშენებ,,მიმოგაშენებთ,მიმოვაშენებ,
მიმომაშენებ,,მიმოაშენებ,მიმოგვაშენებ,,მიმოაშენებ,
მიმომაშენებს,მიმოგაშენებს,მიმოაშენებს,მიმოგვაშენებს,მიმოგაშენებთ,მიმოაშენებს,
,მიმოგაშენებთ,მიმოვაშენებთ,,მიმოგაშენებთ,მიმოვაშენებთ,
მიმომაშენებთ,,მიმოაშენებთ,მიმოგვაშენებთ,,მიმოაშენებთ,
მიმომაშენებენ,მიმოგაშენებენ,მიმოაშენებენ,მიმოგვაშენებენ,მიმოგაშენებენ,მიმოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,მიმოგაშენებდი,მიმოვაშენებდი,,მიმოგაშენებდით,მიმოვაშენებდი,
მიმომაშენებდი,,მიმოაშენებდი,მიმოგვაშენებდი,,მიმოაშენებდი,
მიმომაშენებდა,მიმოგაშენებდა,მიმოაშენებდა,მიმოგვაშენებდა,მიმოგაშენებდათ,მიმოაშენებდა,
,მიმოგაშენებდით,მიმოვაშენებდით,,მიმოგაშენებდით,მიმოვაშენებდით,
მიმომაშენებდით,,მიმოაშენებდით,მიმოგვაშენებდით,,მიმოაშენებდით,
მიმომაშენებდნენ,მიმოგაშენებდნენ,მიმოაშენებდნენ,მიმოგვაშენებდნენ,მიმოგაშენებდნენ,მიმოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,მიმოგაშენებდე,მიმოვაშენებდე,,მიმოგაშენებდეთ,მიმოვაშენებდე,
მიმომაშენებდე,,მიმოაშენებდე,მიმოგვაშენებდე,,მიმოაშენებდე,
მიმომაშენებდეს,მიმოგაშენებდეს,მიმოაშენებდეს,მიმოგვაშენებდეს,მიმოგაშენებდეთ,მიმოაშენებდეს,
,მიმოგაშენებდეთ,მიმოვაშენებდეთ,,მიმოგაშენებდეთ,მიმოვაშენებდეთ,
მიმომაშენებდეთ,,მიმოაშენებდეთ,მიმოგვაშენებდეთ,,მიმოაშენებდეთ,
მიმომაშენებდნენ,მიმოგაშენებდნენ,მიმოაშენებდნენ,მიმოგვაშენებდნენ,მიმოგაშენებდნენ,მიმოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,მიმოგაშენე,მიმოვაშენე,,მიმოგაშენეთ,მიმოვაშენე,
მიმომაშენე,,მიმოაშენე,მიმოგვაშენე,,მიმოაშენე,
მიმომაშენა,მიმოგაშენა,მიმოაშენა,მიმოგვაშენა,მიმოგაშენათ,მიმოაშენა,
,მიმოგაშენეთ,მიმოვაშენეთ,,მიმოგაშენეთ,მიმოვაშენეთ,
მიმომაშენეთ,,მიმოაშენეთ,მიმოგვაშენეთ,,მიმოაშენეთ,
მიმომაშენეს,მიმოგაშენეს,მიმოაშენეს,მიმოგვაშენეს,მიმოგაშენეს,მიმოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,მიმოგაშენო,მიმოვაშენო,,მიმოგაშენოთ,მიმოვაშენო,
მიმომაშენო,,მიმოაშენო,მიმოგვაშენო,,მიმოაშენო,
მიმომაშენოს,მიმოგაშენოს,მიმოაშენოს,მიმოგვაშენოს,მიმოგაშენოთ,მიმოაშენოს,
,მიმოგაშენოთ,მიმოვაშენოთ,,მიმოგაშენოთ,მიმოვაშენოთ,
მიმომაშენოთ,,მიმოაშენოთ,მიმოგვაშენოთ,,მიმოაშენოთ,
მიმომაშენონ,მიმოგაშენონ,მიმოაშენონ,მიმოგვაშენონ,მიმოგაშენონ,მიმოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,მიმომიშენებიხარ,მიმომიშენებია,,მიმომიშენებიხართ,მიმომიშენებია,
მიმოგიშენებივარ,,მიმოგიშენებია,მიმოგიშენებივართ,,მიმოგიშენებია,
მიმოვუშენებივარ,მიმოუშენებიხარ,მიმოუშენებია,მიმოვუშენებივართ,მიმოუშენებიხართ,მიმოუშენებია,
,მიმოგვიშენებიხარ,მიმოგვიშენებია,,მიმოგვიშენებიხართ,მიმოგვიშენებია,
მიმოგიშენებივართ,,მიმოგიშენებიათ,მიმოგიშენებივართ,,მიმოგიშენებიათ,
მიმოვუშენებივარ,მიმოუშენებიხარ,მიმოუშენებიათ,მიმოვუშენებივართ,მიმოუშენებიხართ,მიმოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,მიმომეშენებინე,მიმომეშენებინა,,მიმომეშენებინეთ,მიმომეშენებინა,
მიმოგეშენებინე,,მიმოგეშენებინა,მიმოგეშენებინეთ,,მიმოგეშენებინა,
მიმოვეშენებინე,მიმოეშენებინე,მიმოეშენებინა,მიმოვეშენებინეთ,მიმოეშენებინეთ,მიმოეშენებინა,
,მიმოგვეშენებინე,მიმოგვეშენებინა,,მიმოგვეშენებინეთ,მიმოგვეშენებინა,
მიმოგეშენებინეთ,,მიმოგეშენებინათ,მიმოგეშენებინეთ,,მიმოგეშენებინათ,
მიმოვეშენებინე,მიმოეშენებინე,მიმოეშენებინათ,მიმოვეშენებინეთ,მიმოეშენებინეთ,მიმოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,მიმომეშენებინო,მიმომეშენებინოს,,მიმომეშენებინოთ,მიმომეშენებინოს,
მიმოგეშენებინო,,მიმოგეშენებინოს,მიმოგეშენებინოთ,,მიმოგეშენებინოს,
მიმოვეშენებინო,მიმოეშენებინო,მიმოეშენებინოს,მიმოვეშენებინოთ,მიმოეშენებინოთ,მიმოეშენებინოს,
,მიმოგვეშენებინო,მიმოგვეშენებინოს,,მიმოგვეშენებინოთ,მიმოგვეშენებინოს,
მიმოგეშენებინოთ,,მიმოგეშენებინოთ,მიმოგეშენებინოთ,,მიმოგეშენებინოთ,
