fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,მიმოგაწვენ,მიმოვაწვენ,,მიმოგაწვენთ,მიმოვაწვენ,
მიმომაწვენ,,მიმოაწვენ,მიმოგვაწვენ,,მიმოაწვენ,
მიმომაწვენს,მიმოგაწვენს,მიმოაწვენს,მიმოგვაწვენს,მიმოგაწვენთ,მიმოაწვენს,
,მიმოგაწვენთ,მიმოვაწვენთ,,მიმოგაწვენთ,მიმოვაწვენთ,
მიმომაწვენთ,,მიმოაწვენთ,მიმოგვაწვენთ,,მიმოაწვენთ,
მიმომაწვენენ,მიმოგაწვენენ,მიმოაწვენენ,მიმოგვაწვენენ,მიმოგაწვენენ,მიმოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,მიმოგაწვენდი,მიმოვაწვენდი,,მიმოგაწვენდით,მიმოვაწვენდი,
მიმომაწვენდი,,მიმოაწვენდი,მიმოგვაწვენდი,,მიმოაწვენდი,
მიმომაწვენდა,მიმოგაწვენდა,მიმოაწვენდა,მიმოგვაწვენდა,მიმოგაწვენდათ,მიმოაწვენდა,
,მიმოგაწვენდით,მიმოვაწვენდით,,მიმოგაწვენდით,მიმოვაწვენდით,
მიმომაწვენდით,,მიმოაწვენდით,მიმოგვაწვენდით,,მიმოაწვენდით,
მიმომაწვენდნენ,მიმოგაწვენდნენ,მიმოაწვენდნენ,მიმოგვაწვენდნენ,მიმოგაწვენდნენ,მიმოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,მიმოგაწვენდე,მიმოვაწვენდე,,მიმოგაწვენდეთ,მიმოვაწვენდე,
მიმომაწვენდე,,მიმოაწვენდე,მიმოგვაწვენდე,,მიმოაწვენდე,
მიმომაწვენდეს,მიმოგაწვენდეს,მიმოაწვენდეს,მიმოგვაწვენდეს,მიმოგაწვენდეთ,მიმოაწვენდეს,
,მიმოგაწვენდეთ,მიმოვაწვენდეთ,,მიმოგაწვენდეთ,მიმოვაწვენდეთ,
მიმომაწვენდეთ,,მიმოაწვენდეთ,მიმოგვაწვენდეთ,,მიმოაწვენდეთ,
მიმომაწვენდნენ,მიმოგაწვენდნენ,მიმოაწვენდნენ,მიმოგვაწვენდნენ,მიმოგაწვენდნენ,მიმოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,მიმოგაწვინე,მიმოვაწვინე,,მიმოგაწვინეთ,მიმოვაწვინე,
