fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,მიმოგეწერები,მიმოვეწერები,,მიმოგეწერებით,მიმოვეწერები,
მიმომეწერები,,მიმოეწერები,მიმოგვეწერები,,მიმოეწერები,
მიმომეწერება,მიმოგეწერება,მიმოეწერება,მიმოგვეწერება,მიმოგეწერებათ,მიმოეწერება,
,მიმოგეწერებით,მიმოვეწერებით,,მიმოგეწერებით,მიმოვეწერებით,
მიმომეწერებით,,მიმოეწერებით,მიმოგვეწერებით,,მიმოეწერებით,
მიმომეწერებიან,მიმოგეწერებიან,მიმოეწერებიან,მიმოგვეწერებიან,მიმოგეწერებიან,მიმოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,მიმოგეწერებოდი,მიმოვეწერებოდი,,მიმოგეწერებოდით,მიმოვეწერებოდი,
მიმომეწერებოდი,,მიმოეწერებოდი,მიმოგვეწერებოდი,,მიმოეწერებოდი,
მიმომეწერებოდა,მიმოგეწერებოდა,მიმოეწერებოდა,მიმოგვეწერებოდა,მიმოგეწერებოდათ,მიმოეწერებოდა,
,მიმოგეწერებოდით,მიმოვეწერებოდით,,მიმოგეწერებოდით,მიმოვეწერებოდით,
მიმომეწერებოდით,,მიმოეწერებოდით,მიმოგვეწერებოდით,,მიმოეწერებოდით,
მიმომეწერებოდნენ,მიმოგეწერებოდნენ,მიმოეწერებოდნენ,მიმოგვეწერებოდნენ,მიმოგეწერებოდნენ,მიმოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,მიმოგეწერებოდე,მიმოვეწერებოდე,,მიმოგეწერებოდეთ,მიმოვეწერებოდე,
მიმომეწერებოდე,,მიმოეწერებოდე,მიმოგვეწერებოდე,,მიმოეწერებოდე,
მიმომეწერებოდეს,მიმოგეწერებოდეს,მიმოეწერებოდეს,მიმოგვეწერებოდეს,მიმოგეწერებოდეთ,მიმოეწერებოდეს,
,მიმოგეწერებოდეთ,მიმოვეწერებოდეთ,,მიმოგეწერებოდეთ,მიმოვეწერებოდეთ,
მიმომეწერებოდეთ,,მიმოეწერებოდეთ,მიმოგვეწერებოდეთ,,მიმოეწერებოდეთ,
მიმომეწერებოდნენ,მიმოგეწერებოდნენ,მიმოეწერებოდნენ,მიმოგვეწერებოდნენ,მიმოგეწერებოდნენ,მიმოეწერებოდნენ,
aor2
