pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,მიმოგჭამ,მიმოვჭამ,,მიმოგჭამთ,მიმოვჭამ,
მიმომჭამ,,მიმოჭამ,მიმოგვჭამ,,მიმოჭამ,
მიმომჭამს,მიმოგჭამს,მიმოჭამს,მიმოგვჭამს,მიმოგჭამთ,მიმოჭამს,
,მიმოგჭამთ,მიმოვჭამთ,,მიმოგჭამთ,მიმოვჭამთ,
მიმომჭამთ,,მიმოჭამთ,მიმოგვჭამთ,,მიმოჭამთ,
მიმომჭამენ,მიმოგჭამენ,მიმოჭამენ,მიმოგვჭამენ,მიმოგჭამენ,მიმოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,მიმოგჭამდი,მიმოვჭამდი,,მიმოგჭამდით,მიმოვჭამდი,
მიმომჭამდი,,მიმოჭამდი,მიმოგვჭამდი,,მიმოჭამდი,
მიმომჭამდა,მიმოგჭამდა,მიმოჭამდა,მიმოგვჭამდა,მიმოგჭამდათ,მიმოჭამდა,
,მიმოგჭამდით,მიმოვჭამდით,,მიმოგჭამდით,მიმოვჭამდით,
მიმომჭამდით,,მიმოჭამდით,მიმოგვჭამდით,,მიმოჭამდით,
მიმომჭამდნენ,მიმოგჭამდნენ,მიმოჭამდნენ,მიმოგვჭამდნენ,მიმოგჭამდნენ,მიმოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,მიმოგჭამდე,მიმოვჭამდე,,მიმოგჭამდეთ,მიმოვჭამდე,
მიმომჭამდე,,მიმოჭამდე,მიმოგვჭამდე,,მიმოჭამდე,
მიმომჭამდეს,მიმოგჭამდეს,მიმოჭამდეს,მიმოგვჭამდეს,მიმოგჭამდეთ,მიმოჭამდეს,
,მიმოგჭამდეთ,მიმოვჭამდეთ,,მიმოგჭამდეთ,მიმოვჭამდეთ,
მიმომჭამდეთ,,მიმოჭამდეთ,მიმოგვჭამდეთ,,მიმოჭამდეთ,
მიმომჭამდნენ,მიმოგჭამდნენ,მიმოჭამდნენ,მიმოგვჭამდნენ,მიმოგჭამდნენ,მიმოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,მიმოგჭამე,მიმოვჭამე,,მიმოგჭამეთ,მიმოვჭამე,
მიმომჭამე,,მიმოჭამე,მიმოგვჭამე,,მიმოჭამე,
მიმომჭამა,მიმოგჭამა,მიმოჭამა,მიმოგვჭამა,მიმოგჭამათ,მიმოჭამა,
,მიმოგჭამეთ,მიმოვჭამეთ,,მიმოგჭამეთ,მიმოვჭამეთ,
მიმომჭამეთ,,მიმოჭამეთ,მიმოგვჭამეთ,,მიმოჭამეთ,
მიმომჭამეს,მიმოგჭამეს,მიმოჭამეს,მიმოგვჭამეს,მიმოგჭამეს,მიმოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,მიმოგჭამო,მიმოვჭამო,,მიმოგჭამოთ,მიმოვჭამო,
მიმომჭამო,,მიმოჭამო,მიმოგვჭამო,,მიმოჭამო,
მიმომჭამოს,მიმოგჭამოს,მიმოჭამოს,მიმოგვჭამოს,მიმოგჭამოთ,მიმოჭამოს,
,მიმოგჭამოთ,მიმოვჭამოთ,,მიმოგჭამოთ,მიმოვჭამოთ,
მიმომჭამოთ,,მიმოჭამოთ,მიმოგვჭამოთ,,მიმოჭამოთ,
მიმომჭამონ,მიმოგჭამონ,მიმოჭამონ,მიმოგვჭამონ,მიმოგჭამონ,მიმოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,მიმომიჭამიხარ,მიმომიჭამია,,მიმომიჭამიხართ,მიმომიჭამია,
მიმოგიჭამივარ,,მიმოგიჭამია,მიმოგიჭამივართ,,მიმოგიჭამია,
მიმოვუჭამივარ,მიმოუჭამიხარ,მიმოუჭამია,მიმოვუჭამივართ,მიმოუჭამიხართ,მიმოუჭამია,
,მიმოგვიჭამიხარ,მიმოგვიჭამია,,მიმოგვიჭამიხართ,მიმოგვიჭამია,
მიმოგიჭამივართ,,მიმოგიჭამიათ,მიმოგიჭამივართ,,მიმოგიჭამიათ,
მიმოვუჭამივარ,მიმოუჭამიხარ,მიმოუჭამიათ,მიმოვუჭამივართ,მიმოუჭამიხართ,მიმოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,მიმომეჭამე,მიმომეჭამა,,მიმომეჭამეთ,მიმომეჭამა,
მიმოგეჭამე,,მიმოგეჭამა,მიმოგეჭამეთ,,მიმოგეჭამა,
