pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,მიმოგხატავ,მიმოვხატავ,,მიმოგხატავთ,მიმოვხატავ,
მიმომხატავ,,მიმოხატავ,მიმოგვხატავ,,მიმოხატავ,
მიმომხატავს,მიმოგხატავს,მიმოხატავს,მიმოგვხატავს,მიმოგხატავთ,მიმოხატავს,
,მიმოგხატავთ,მიმოვხატავთ,,მიმოგხატავთ,მიმოვხატავთ,
მიმომხატავთ,,მიმოხატავთ,მიმოგვხატავთ,,მიმოხატავთ,
მიმომხატავენ,მიმოგხატავენ,მიმოხატავენ,მიმოგვხატავენ,მიმოგხატავენ,მიმოხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,მიმოგხატავდი,მიმოვხატავდი,,მიმოგხატავდით,მიმოვხატავდი,
მიმომხატავდი,,მიმოხატავდი,მიმოგვხატავდი,,მიმოხატავდი,
მიმომხატავდა,მიმოგხატავდა,მიმოხატავდა,მიმოგვხატავდა,მიმოგხატავდათ,მიმოხატავდა,
,მიმოგხატავდით,მიმოვხატავდით,,მიმოგხატავდით,მიმოვხატავდით,
მიმომხატავდით,,მიმოხატავდით,მიმოგვხატავდით,,მიმოხატავდით,
მიმომხატავდნენ,მიმოგხატავდნენ,მიმოხატავდნენ,მიმოგვხატავდნენ,მიმოგხატავდნენ,მიმოხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,მიმოგხატავდე,მიმოვხატავდე,,მიმოგხატავდეთ,მიმოვხატავდე,
მიმომხატავდე,,მიმოხატავდე,მიმოგვხატავდე,,მიმოხატავდე,
მიმომხატავდეს,მიმოგხატავდეს,მიმოხატავდეს,მიმოგვხატავდეს,მიმოგხატავდეთ,მიმოხატავდეს,
,მიმოგხატავდეთ,მიმოვხატავდეთ,,მიმოგხატავდეთ,მიმოვხატავდეთ,
მიმომხატავდეთ,,მიმოხატავდეთ,მიმოგვხატავდეთ,,მიმოხატავდეთ,
მიმომხატავდნენ,მიმოგხატავდნენ,მიმოხატავდნენ,მიმოგვხატავდნენ,მიმოგხატავდნენ,მიმოხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,მიმოგხატე,მიმოვხატე,,მიმოგხატეთ,მიმოვხატე,
მიმომხატე,,მიმოხატე,მიმოგვხატე,,მიმოხატე,
მიმომხატა,მიმოგხატა,მიმოხატა,მიმოგვხატა,მიმოგხატათ,მიმოხატა,
,მიმოგხატეთ,მიმოვხატეთ,,მიმოგხატეთ,მიმოვხატეთ,
მიმომხატეთ,,მიმოხატეთ,მიმოგვხატეთ,,მიმოხატეთ,
მიმომხატეს,მიმოგხატეს,მიმოხატეს,მიმოგვხატეს,მიმოგხატეს,მიმოხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,მიმოგხატო,მიმოვხატო,,მიმოგხატოთ,მიმოვხატო,
მიმომხატო,,მიმოხატო,მიმოგვხატო,,მიმოხატო,
მიმომხატოს,მიმოგხატოს,მიმოხატოს,მიმოგვხატოს,მიმოგხატოთ,მიმოხატოს,
,მიმოგხატოთ,მიმოვხატოთ,,მიმოგხატოთ,მიმოვხატოთ,
მიმომხატოთ,,მიმოხატოთ,მიმოგვხატოთ,,მიმოხატოთ,
მიმომხატონ,მიმოგხატონ,მიმოხატონ,მიმოგვხატონ,მიმოგხატონ,მიმოხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
