fut2
,გედრიკები,ვედრიკები,,გედრიკებით,ვედრიკები,
მედრიკები,,ედრიკები,გვედრიკები,,ედრიკები,
მედრიკება,გედრიკება,ედრიკება,გვედრიკება,გედრიკებათ,ედრიკება,
,გედრიკებით,ვედრიკებით,,გედრიკებით,ვედრიკებით,
მედრიკებით,,ედრიკებით,გვედრიკებით,,ედრიკებით,
მედრიკებიან,გედრიკებიან,ედრიკებიან,გვედრიკებიან,გედრიკებიან,ედრიკებიან,
fut2_prfv
,მოგედრიკები,მოვედრიკები,,მოგედრიკებით,მოვედრიკები,
მომედრიკები,,მოედრიკები,მოგვედრიკები,,მოედრიკები,
მომედრიკება,მოგედრიკება,მოედრიკება,მოგვედრიკება,მოგედრიკებათ,მოედრიკება,
,მოგედრიკებით,მოვედრიკებით,,მოგედრიკებით,მოვედრიკებით,
მომედრიკებით,,მოედრიკებით,მოგვედრიკებით,,მოედრიკებით,
მომედრიკებიან,მოგედრიკებიან,მოედრიკებიან,მოგვედრიკებიან,მოგედრიკებიან,მოედრიკებიან,
cond2
,გედრიკებოდი,ვედრიკებოდი,,გედრიკებოდით,ვედრიკებოდი,
მედრიკებოდი,,ედრიკებოდი,გვედრიკებოდი,,ედრიკებოდი,
მედრიკებოდა,გედრიკებოდა,ედრიკებოდა,გვედრიკებოდა,გედრიკებოდათ,ედრიკებოდა,
,გედრიკებოდით,ვედრიკებოდით,,გედრიკებოდით,ვედრიკებოდით,
მედრიკებოდით,,ედრიკებოდით,გვედრიკებოდით,,ედრიკებოდით,
მედრიკებოდნენ,გედრიკებოდნენ,ედრიკებოდნენ,გვედრიკებოდნენ,გედრიკებოდნენ,ედრიკებოდნენ,
cond2_prfv
,მოგედრიკებოდი,მოვედრიკებოდი,,მოგედრიკებოდით,მოვედრიკებოდი,
მომედრიკებოდი,,მოედრიკებოდი,მოგვედრიკებოდი,,მოედრიკებოდი,
მომედრიკებოდა,მოგედრიკებოდა,მოედრიკებოდა,მოგვედრიკებოდა,მოგედრიკებოდათ,მოედრიკებოდა,
,მოგედრიკებოდით,მოვედრიკებოდით,,მოგედრიკებოდით,მოვედრიკებოდით,
მომედრიკებოდით,,მოედრიკებოდით,მოგვედრიკებოდით,,მოედრიკებოდით,
მომედრიკებოდნენ,მოგედრიკებოდნენ,მოედრიკებოდნენ,მოგვედრიკებოდნენ,მოგედრიკებოდნენ,მოედრიკებოდნენ,
fut2_subj
,გედრიკებოდე,ვედრიკებოდე,,გედრიკებოდეთ,ვედრიკებოდე,
