fut2
,გერყევი,ვერყევი,,გერყევით,ვერყევი,
მერყევი,,ერყევი,გვერყევი,,ერყევი,
მერყევა,გერყევა,ერყევა,გვერყევა,გერყევათ,ერყევა,
,გერყევით,ვერყევით,,გერყევით,ვერყევით,
მერყევით,,ერყევით,გვერყევით,,ერყევით,
მერყევიან,გერყევიან,ერყევიან,გვერყევიან,გერყევიან,ერყევიან,
fut2_prfv
,მოგერყევი,მოვერყევი,,მოგერყევით,მოვერყევი,
მომერყევი,,მოერყევი,მოგვერყევი,,მოერყევი,
მომერყევა,მოგერყევა,მოერყევა,მოგვერყევა,მოგერყევათ,მოერყევა,
,მოგერყევით,მოვერყევით,,მოგერყევით,მოვერყევით,
მომერყევით,,მოერყევით,მოგვერყევით,,მოერყევით,
მომერყევიან,მოგერყევიან,მოერყევიან,მოგვერყევიან,მოგერყევიან,მოერყევიან,
cond2
,გერყეოდი,ვერყეოდი,,გერყეოდით,ვერყეოდი,
მერყეოდი,,ერყეოდი,გვერყეოდი,,ერყეოდი,
მერყეოდა,გერყეოდა,ერყეოდა,გვერყეოდა,გერყეოდათ,ერყეოდა,
,გერყეოდით,ვერყეოდით,,გერყეოდით,ვერყეოდით,
მერყეოდით,,ერყეოდით,გვერყეოდით,,ერყეოდით,
მერყეოდნენ,გერყეოდნენ,ერყეოდნენ,გვერყეოდნენ,გერყეოდნენ,ერყეოდნენ,
cond2_prfv
,მოგერყეოდი,მოვერყეოდი,,მოგერყეოდით,მოვერყეოდი,
მომერყეოდი,,მოერყეოდი,მოგვერყეოდი,,მოერყეოდი,
მომერყეოდა,მოგერყეოდა,მოერყეოდა,მოგვერყეოდა,მოგერყეოდათ,მოერყეოდა,
,მოგერყეოდით,მოვერყეოდით,,მოგერყეოდით,მოვერყეოდით,
მომერყეოდით,,მოერყეოდით,მოგვერყეოდით,,მოერყეოდით,
მომერყეოდნენ,მოგერყეოდნენ,მოერყეოდნენ,მოგვერყეოდნენ,მოგერყეოდნენ,მოერყეოდნენ,
fut2_subj
,გერყეოდე,ვერყეოდე,,გერყეოდეთ,ვერყეოდე,
მერყეოდე,,ერყეოდე,გვერყეოდე,,ერყეოდე,
მერყეოდეს,გერყეოდეს,ერყეოდეს,გვერყეოდეს,გერყეოდეთ,ერყეოდეს,
,გერყეოდეთ,ვერყეოდეთ,,გერყეოდეთ,ვერყეოდეთ,
მერყეოდეთ,,ერყეოდეთ,გვერყეოდეთ,,ერყეოდეთ,
მერყეოდნენ,გერყეოდნენ,ერყეოდნენ,გვერყეოდნენ,გერყეოდნენ,ერყეოდნენ,
fut2_subj_prfv
,მოგერყეოდე,მოვერყეოდე,,მოგერყეოდეთ,მოვერყეოდე,
