fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,დაგითმენ,დავუთმენ,,დაგითმენთ,დავუთმენ,
დამითმენ,,დაუთმენ,დაგვითმენ,,დაუთმენ,
დამითმენს,დაგითმენს,დაუთმენს,დაგვითმენს,დაგითმენთ,დაუთმენს,
,დაგითმენთ,დავუთმენთ,,დაგითმენთ,დავუთმენთ,
დამითმენთ,,დაუთმენთ,დაგვითმენთ,,დაუთმენთ,
დამითმენენ,დაგითმენენ,დაუთმენენ,დაგვითმენენ,დაგითმენენ,დაუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,დაგითმენდი,დავუთმენდი,,დაგითმენდით,დავუთმენდი,
დამითმენდი,,დაუთმენდი,დაგვითმენდი,,დაუთმენდი,
დამითმენდა,დაგითმენდა,დაუთმენდა,დაგვითმენდა,დაგითმენდათ,დაუთმენდა,
,დაგითმენდით,დავუთმენდით,,დაგითმენდით,დავუთმენდით,
დამითმენდით,,დაუთმენდით,დაგვითმენდით,,დაუთმენდით,
დამითმენდნენ,დაგითმენდნენ,დაუთმენდნენ,დაგვითმენდნენ,დაგითმენდნენ,დაუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,დაგითმენდე,დავუთმენდე,,დაგითმენდეთ,დავუთმენდე,
დამითმენდე,,დაუთმენდე,დაგვითმენდე,,დაუთმენდე,
დამითმენდეს,დაგითმენდეს,დაუთმენდეს,დაგვითმენდეს,დაგითმენდეთ,დაუთმენდეს,
,დაგითმენდეთ,დავუთმენდეთ,,დაგითმენდეთ,დავუთმენდეთ,
დამითმენდეთ,,დაუთმენდეთ,დაგვითმენდეთ,,დაუთმენდეთ,
დამითმენდნენ,დაგითმენდნენ,დაუთმენდნენ,დაგვითმენდნენ,დაგითმენდნენ,დაუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,დაგითმინე,დავუთმინე,,დაგითმინეთ,დავუთმინე,
დამითმინე,,დაუთმინე,დაგვითმინე,,დაუთმინე,
დამითმინა,დაგითმინა,დაუთმინა,დაგვითმინა,დაგითმინათ,დაუთმინა,
,დაგითმინეთ,დავუთმინეთ,,დაგითმინეთ,დავუთმინეთ,
დამითმინეთ,,დაუთმინეთ,დაგვითმინეთ,,დაუთმინეთ,
დამითმინეს,დაგითმინეს,დაუთმინეს,დაგვითმინეს,დაგითმინეს,დაუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,დაგითმინო,დავუთმინო,,დაგითმინოთ,დავუთმინო,
დამითმინო,,დაუთმინო,დაგვითმინო,,დაუთმინო,
დამითმინოს,დაგითმინოს,დაუთმინოს,დაგვითმინოს,დაგითმინოთ,დაუთმინოს,
,დაგითმინოთ,დავუთმინოთ,,დაგითმინოთ,დავუთმინოთ,
დამითმინოთ,,დაუთმინოთ,დაგვითმინოთ,,დაუთმინოთ,
დამითმინონ,დაგითმინონ,დაუთმინონ,დაგვითმინონ,დაგითმინონ,დაუთმინონ,
Iturm
,მითმენიხარ,მითმენია,,მითმენიხართ,მითმენია,
გითმენივარ,,გითმენია,გითმენივართ,,გითმენია,
ვუთმენივარ,უთმენიხარ,უთმენია,ვუთმენივართ,უთმენიხართ,უთმენია,
