fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,შეგარწევ,შევარწევ,,შეგარწევთ,შევარწევ,
შემარწევ,,შეარწევ,შეგვარწევ,,შეარწევ,
შემარწევს,შეგარწევს,შეარწევს,შეგვარწევს,შეგარწევთ,შეარწევს,
,შეგარწევთ,შევარწევთ,,შეგარწევთ,შევარწევთ,
შემარწევთ,,შეარწევთ,შეგვარწევთ,,შეარწევთ,
შემარწევენ,შეგარწევენ,შეარწევენ,შეგვარწევენ,შეგარწევენ,შეარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,შეგარწევდი,შევარწევდი,,შეგარწევდით,შევარწევდი,
შემარწევდი,,შეარწევდი,შეგვარწევდი,,შეარწევდი,
შემარწევდა,შეგარწევდა,შეარწევდა,შეგვარწევდა,შეგარწევდათ,შეარწევდა,
,შეგარწევდით,შევარწევდით,,შეგარწევდით,შევარწევდით,
შემარწევდით,,შეარწევდით,შეგვარწევდით,,შეარწევდით,
შემარწევდნენ,შეგარწევდნენ,შეარწევდნენ,შეგვარწევდნენ,შეგარწევდნენ,შეარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,შეგარწევდე,შევარწევდე,,შეგარწევდეთ,შევარწევდე,
შემარწევდე,,შეარწევდე,შეგვარწევდე,,შეარწევდე,
შემარწევდეს,შეგარწევდეს,შეარწევდეს,შეგვარწევდეს,შეგარწევდეთ,შეარწევდეს,
,შეგარწევდეთ,შევარწევდეთ,,შეგარწევდეთ,შევარწევდეთ,
შემარწევდეთ,,შეარწევდეთ,შეგვარწევდეთ,,შეარწევდეთ,
შემარწევდნენ,შეგარწევდნენ,შეარწევდნენ,შეგვარწევდნენ,შეგარწევდნენ,შეარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
,შეგარწიე,შევარწიე,,შეგარწიეთ,შევარწიე,
შემარწიე,,შეარწიე,შეგვარწიე,,შეარწიე,
შემარწია,შეგარწია,შეარწია,შეგვარწია,შეგარწიათ,შეარწია,
,შეგარწიეთ,შევარწიეთ,,შეგარწიეთ,შევარწიეთ,
შემარწიეთ,,შეარწიეთ,შეგვარწიეთ,,შეარწიეთ,
