fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,შეგაქებ,შევაქებ,,შეგაქებთ,შევაქებ,
შემაქებ,,შეაქებ,შეგვაქებ,,შეაქებ,
შემაქებს,შეგაქებს,შეაქებს,შეგვაქებს,შეგაქებთ,შეაქებს,
,შეგაქებთ,შევაქებთ,,შეგაქებთ,შევაქებთ,
შემაქებთ,,შეაქებთ,შეგვაქებთ,,შეაქებთ,
შემაქებენ,შეგაქებენ,შეაქებენ,შეგვაქებენ,შეგაქებენ,შეაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,შეგაქებდი,შევაქებდი,,შეგაქებდით,შევაქებდი,
შემაქებდი,,შეაქებდი,შეგვაქებდი,,შეაქებდი,
შემაქებდა,შეგაქებდა,შეაქებდა,შეგვაქებდა,შეგაქებდათ,შეაქებდა,
,შეგაქებდით,შევაქებდით,,შეგაქებდით,შევაქებდით,
შემაქებდით,,შეაქებდით,შეგვაქებდით,,შეაქებდით,
შემაქებდნენ,შეგაქებდნენ,შეაქებდნენ,შეგვაქებდნენ,შეგაქებდნენ,შეაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,შეგაქებდე,შევაქებდე,,შეგაქებდეთ,შევაქებდე,
შემაქებდე,,შეაქებდე,შეგვაქებდე,,შეაქებდე,
შემაქებდეს,შეგაქებდეს,შეაქებდეს,შეგვაქებდეს,შეგაქებდეთ,შეაქებდეს,
,შეგაქებდეთ,შევაქებდეთ,,შეგაქებდეთ,შევაქებდეთ,
შემაქებდეთ,,შეაქებდეთ,შეგვაქებდეთ,,შეაქებდეთ,
შემაქებდნენ,შეგაქებდნენ,შეაქებდნენ,შეგვაქებდნენ,შეგაქებდნენ,შეაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,შეგაქე,შევაქე,,შეგაქეთ,შევაქე,
შემაქე,,შეაქე,შეგვაქე,,შეაქე,
შემაქო,შეგაქო,შეაქო,შეგვაქო,შეგაქოთ,შეაქო,
,შეგაქეთ,შევაქეთ,,შეგაქეთ,შევაქეთ,
შემაქეთ,,შეაქეთ,შეგვაქეთ,,შეაქეთ,
შემაქეს,შეგაქეს,შეაქეს,შეგვაქეს,შეგაქეს,შეაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,შეგაქო,შევაქო,,შეგაქოთ,შევაქო,
შემაქო,,შეაქო,შეგვაქო,,შეაქო,
შემაქოს,შეგაქოს,შეაქოს,შეგვაქოს,შეგაქოთ,შეაქოს,
,შეგაქოთ,შევაქოთ,,შეგაქოთ,შევაქოთ,
შემაქოთ,,შეაქოთ,შეგვაქოთ,,შეაქოთ,
შემაქონ,შეგაქონ,შეაქონ,შეგვაქონ,შეგაქონ,შეაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,შემიქიხარ,შემიქია,,შემიქიხართ,შემიქია,
შეგიქივარ,,შეგიქია,შეგიქივართ,,შეგიქია,
შევუქივარ,შეუქიხარ,შეუქია,შევუქივართ,შეუქიხართ,შეუქია,
,შეგვიქიხარ,შეგვიქია,,შეგვიქიხართ,შეგვიქია,
შეგიქივართ,,შეგიქიათ,შეგიქივართ,,შეგიქიათ,
შევუქივარ,შეუქიხარ,შეუქიათ,შევუქივართ,შეუქიხართ,შეუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,შემექე,შემექო,,შემექეთ,შემექოთ,
შეგექე,,შეგექო,შეგექეთ,,შეგექოთ,
შევექე,შეექე,შეექო,შევექეთ,შეექეთ,შეექოთ,
,შეგვექე,შეგვექო,,შეგვექეთ,შეგვექოთ,
შეგექეთ,,შეგექოთ,შეგექეთ,,შეგექოთ,
შევექე,შეექე,შეექოთ,შევექეთ,შეექეთ,შეექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,შემექო,შემექოს,,შემექოთ,შემექოს,
შეგექო,,შეგექოს,შეგექოთ,,შეგექოს,
შევექო,შეექო,შეექოს,შევექოთ,შეექოთ,შეექოს,
,შეგვექო,შეგვექოს,,შეგვექოთ,შეგვექოს,
შეგექოთ,,შეგექოთ,შეგექოთ,,შეგექოთ,
შევექო,შეექო,შეექოთ,შევექოთ,შეექოთ,შეექოთ,
