fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,შეგაშენებ,შევაშენებ,,შეგაშენებთ,შევაშენებ,
შემაშენებ,,შეაშენებ,შეგვაშენებ,,შეაშენებ,
შემაშენებს,შეგაშენებს,შეაშენებს,შეგვაშენებს,შეგაშენებთ,შეაშენებს,
,შეგაშენებთ,შევაშენებთ,,შეგაშენებთ,შევაშენებთ,
შემაშენებთ,,შეაშენებთ,შეგვაშენებთ,,შეაშენებთ,
შემაშენებენ,შეგაშენებენ,შეაშენებენ,შეგვაშენებენ,შეგაშენებენ,შეაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,შეგაშენებდი,შევაშენებდი,,შეგაშენებდით,შევაშენებდი,
შემაშენებდი,,შეაშენებდი,შეგვაშენებდი,,შეაშენებდი,
შემაშენებდა,შეგაშენებდა,შეაშენებდა,შეგვაშენებდა,შეგაშენებდათ,შეაშენებდა,
,შეგაშენებდით,შევაშენებდით,,შეგაშენებდით,შევაშენებდით,
შემაშენებდით,,შეაშენებდით,შეგვაშენებდით,,შეაშენებდით,
შემაშენებდნენ,შეგაშენებდნენ,შეაშენებდნენ,შეგვაშენებდნენ,შეგაშენებდნენ,შეაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,შეგაშენებდე,შევაშენებდე,,შეგაშენებდეთ,შევაშენებდე,
შემაშენებდე,,შეაშენებდე,შეგვაშენებდე,,შეაშენებდე,
შემაშენებდეს,შეგაშენებდეს,შეაშენებდეს,შეგვაშენებდეს,შეგაშენებდეთ,შეაშენებდეს,
,შეგაშენებდეთ,შევაშენებდეთ,,შეგაშენებდეთ,შევაშენებდეთ,
შემაშენებდეთ,,შეაშენებდეთ,შეგვაშენებდეთ,,შეაშენებდეთ,
შემაშენებდნენ,შეგაშენებდნენ,შეაშენებდნენ,შეგვაშენებდნენ,შეგაშენებდნენ,შეაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,შეგაშენე,შევაშენე,,შეგაშენეთ,შევაშენე,
შემაშენე,,შეაშენე,შეგვაშენე,,შეაშენე,
შემაშენა,შეგაშენა,შეაშენა,შეგვაშენა,შეგაშენათ,შეაშენა,
,შეგაშენეთ,შევაშენეთ,,შეგაშენეთ,შევაშენეთ,
შემაშენეთ,,შეაშენეთ,შეგვაშენეთ,,შეაშენეთ,
შემაშენეს,შეგაშენეს,შეაშენეს,შეგვაშენეს,შეგაშენეს,შეაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,შეგაშენო,შევაშენო,,შეგაშენოთ,შევაშენო,
შემაშენო,,შეაშენო,შეგვაშენო,,შეაშენო,
შემაშენოს,შეგაშენოს,შეაშენოს,შეგვაშენოს,შეგაშენოთ,შეაშენოს,
,შეგაშენოთ,შევაშენოთ,,შეგაშენოთ,შევაშენოთ,
შემაშენოთ,,შეაშენოთ,შეგვაშენოთ,,შეაშენოთ,
შემაშენონ,შეგაშენონ,შეაშენონ,შეგვაშენონ,შეგაშენონ,შეაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,შემიშენებიხარ,შემიშენებია,,შემიშენებიხართ,შემიშენებია,
შეგიშენებივარ,,შეგიშენებია,შეგიშენებივართ,,შეგიშენებია,
შევუშენებივარ,შეუშენებიხარ,შეუშენებია,შევუშენებივართ,შეუშენებიხართ,შეუშენებია,
,შეგვიშენებიხარ,შეგვიშენებია,,შეგვიშენებიხართ,შეგვიშენებია,
შეგიშენებივართ,,შეგიშენებიათ,შეგიშენებივართ,,შეგიშენებიათ,
შევუშენებივარ,შეუშენებიხარ,შეუშენებიათ,შევუშენებივართ,შეუშენებიხართ,შეუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,შემეშენებინე,შემეშენებინა,,შემეშენებინეთ,შემეშენებინა,
შეგეშენებინე,,შეგეშენებინა,შეგეშენებინეთ,,შეგეშენებინა,
შევეშენებინე,შეეშენებინე,შეეშენებინა,შევეშენებინეთ,შეეშენებინეთ,შეეშენებინა,
,შეგვეშენებინე,შეგვეშენებინა,,შეგვეშენებინეთ,შეგვეშენებინა,
შეგეშენებინეთ,,შეგეშენებინათ,შეგეშენებინეთ,,შეგეშენებინათ,
შევეშენებინე,შეეშენებინე,შეეშენებინათ,შევეშენებინეთ,შეეშენებინეთ,შეეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,შემეშენებინო,შემეშენებინოს,,შემეშენებინოთ,შემეშენებინოს,
შეგეშენებინო,,შეგეშენებინოს,შეგეშენებინოთ,,შეგეშენებინოს,
შევეშენებინო,შეეშენებინო,შეეშენებინოს,შევეშენებინოთ,შეეშენებინოთ,შეეშენებინოს,
,შეგვეშენებინო,შეგვეშენებინოს,,შეგვეშენებინოთ,შეგვეშენებინოს,
შეგეშენებინოთ,,შეგეშენებინოთ,შეგეშენებინოთ,,შეგეშენებინოთ,
შევეშენებინო,შეეშენებინო,შეეშენებინოთ,შევეშენებინოთ,შეეშენებინოთ,შეეშენებინოთ,
