fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,შეგაჭერ,შევაჭერ,,შეგაჭერთ,შევაჭერ,
შემაჭერ,,შეაჭერ,შეგვაჭერ,,შეაჭერ,
შემაჭერს,შეგაჭერს,შეაჭერს,შეგვაჭერს,შეგაჭერთ,შეაჭერს,
,შეგაჭერთ,შევაჭერთ,,შეგაჭერთ,შევაჭერთ,
შემაჭერთ,,შეაჭერთ,შეგვაჭერთ,,შეაჭერთ,
შემაჭერენ,შეგაჭერენ,შეაჭერენ,შეგვაჭერენ,შეგაჭერენ,შეაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,შეგაჭერდი,შევაჭერდი,,შეგაჭერდით,შევაჭერდი,
შემაჭერდი,,შეაჭერდი,შეგვაჭერდი,,შეაჭერდი,
შემაჭერდა,შეგაჭერდა,შეაჭერდა,შეგვაჭერდა,შეგაჭერდათ,შეაჭერდა,
,შეგაჭერდით,შევაჭერდით,,შეგაჭერდით,შევაჭერდით,
შემაჭერდით,,შეაჭერდით,შეგვაჭერდით,,შეაჭერდით,
შემაჭერდნენ,შეგაჭერდნენ,შეაჭერდნენ,შეგვაჭერდნენ,შეგაჭერდნენ,შეაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,შეგაჭერდე,შევაჭერდე,,შეგაჭერდეთ,შევაჭერდე,
შემაჭერდე,,შეაჭერდე,შეგვაჭერდე,,შეაჭერდე,
შემაჭერდეს,შეგაჭერდეს,შეაჭერდეს,შეგვაჭერდეს,შეგაჭერდეთ,შეაჭერდეს,
,შეგაჭერდეთ,შევაჭერდეთ,,შეგაჭერდეთ,შევაჭერდეთ,
შემაჭერდეთ,,შეაჭერდეთ,შეგვაჭერდეთ,,შეაჭერდეთ,
შემაჭერდნენ,შეგაჭერდნენ,შეაჭერდნენ,შეგვაჭერდნენ,შეგაჭერდნენ,შეაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,შეგაჭირე,შევაჭირე,,შეგაჭირეთ,შევაჭირე,
შემაჭირე,,შეაჭირე,შეგვაჭირე,,შეაჭირე,
შემაჭირა,შეგაჭირა,შეაჭირა,შეგვაჭირა,შეგაჭირათ,შეაჭირა,
,შეგაჭირეთ,შევაჭირეთ,,შეგაჭირეთ,შევაჭირეთ,
შემაჭირეთ,,შეაჭირეთ,შეგვაჭირეთ,,შეაჭირეთ,
შემაჭირეს,შეგაჭირეს,შეაჭირეს,შეგვაჭირეს,შეგაჭირეს,შეაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,შეგაჭირო,შევაჭირო,,შეგაჭიროთ,შევაჭირო,
შემაჭირო,,შეაჭირო,შეგვაჭირო,,შეაჭირო,
შემაჭიროს,შეგაჭიროს,შეაჭიროს,შეგვაჭიროს,შეგაჭიროთ,შეაჭიროს,
,შეგაჭიროთ,შევაჭიროთ,,შეგაჭიროთ,შევაჭიროთ,
შემაჭიროთ,,შეაჭიროთ,შეგვაჭიროთ,,შეაჭიროთ,
შემაჭირონ,შეგაჭირონ,შეაჭირონ,შეგვაჭირონ,შეგაჭირონ,შეაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,შემიჭერიხარ,შემიჭერია,,შემიჭერიხართ,შემიჭერია,
შეგიჭერივარ,,შეგიჭერია,შეგიჭერივართ,,შეგიჭერია,
შევუჭერივარ,შეუჭერიხარ,შეუჭერია,შევუჭერივართ,შეუჭერიხართ,შეუჭერია,
,შეგვიჭერიხარ,შეგვიჭერია,,შეგვიჭერიხართ,შეგვიჭერია,
შეგიჭერივართ,,შეგიჭერიათ,შეგიჭერივართ,,შეგიჭერიათ,
შევუჭერივარ,შეუჭერიხარ,შეუჭერიათ,შევუჭერივართ,შეუჭერიხართ,შეუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,შემეჭირე,შემეჭირა,,შემეჭირეთ,შემეჭირა,
შეგეჭირე,,შეგეჭირა,შეგეჭირეთ,,შეგეჭირა,
შევეჭირე,შეეჭირე,შეეჭირა,შევეჭირეთ,შეეჭირეთ,შეეჭირა,
,შეგვეჭირე,შეგვეჭირა,,შეგვეჭირეთ,შეგვეჭირა,
შეგეჭირეთ,,შეგეჭირათ,შეგეჭირეთ,,შეგეჭირათ,
შევეჭირე,შეეჭირე,შეეჭირათ,შევეჭირეთ,შეეჭირეთ,შეეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,შემეჭირო,შემეჭიროს,,შემეჭიროთ,შემეჭიროს,
შეგეჭირო,,შეგეჭიროს,შეგეჭიროთ,,შეგეჭიროს,
შევეჭირო,შეეჭირო,შეეჭიროს,შევეჭიროთ,შეეჭიროთ,შეეჭიროს,
,შეგვეჭირო,შეგვეჭიროს,,შეგვეჭიროთ,შეგვეჭიროს,
შეგეჭიროთ,,შეგეჭიროთ,შეგეჭიროთ,,შეგეჭიროთ,
შევეჭირო,შეეჭირო,შეეჭიროთ,შევეჭიროთ,შეეჭიროთ,შეეჭიროთ,
