pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,შეგწერ,შევწერ,,შეგწერთ,შევწერ,
შემწერ,,შეწერ,შეგვწერ,,შეწერ,
შემწერს,შეგწერს,შეწერს,შეგვწერს,შეგწერთ,შეწერს,
,შეგწერთ,შევწერთ,,შეგწერთ,შევწერთ,
შემწერთ,,შეწერთ,შეგვწერთ,,შეწერთ,
შემწერენ,შეგწერენ,შეწერენ,შეგვწერენ,შეგწერენ,შეწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,შეგწერდი,შევწერდი,,შეგწერდით,შევწერდი,
შემწერდი,,შეწერდი,შეგვწერდი,,შეწერდი,
შემწერდა,შეგწერდა,შეწერდა,შეგვწერდა,შეგწერდათ,შეწერდა,
,შეგწერდით,შევწერდით,,შეგწერდით,შევწერდით,
შემწერდით,,შეწერდით,შეგვწერდით,,შეწერდით,
შემწერდნენ,შეგწერდნენ,შეწერდნენ,შეგვწერდნენ,შეგწერდნენ,შეწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,შეგწერდე,შევწერდე,,შეგწერდეთ,შევწერდე,
შემწერდე,,შეწერდე,შეგვწერდე,,შეწერდე,
შემწერდეს,შეგწერდეს,შეწერდეს,შეგვწერდეს,შეგწერდეთ,შეწერდეს,
,შეგწერდეთ,შევწერდეთ,,შეგწერდეთ,შევწერდეთ,
შემწერდეთ,,შეწერდეთ,შეგვწერდეთ,,შეწერდეთ,
შემწერდნენ,შეგწერდნენ,შეწერდნენ,შეგვწერდნენ,შეგწერდნენ,შეწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,შეგწერე,შევწერე,,შეგწერეთ,შევწერე,
შემწერე,,შეწერე,შეგვწერე,,შეწერე,
შემწერა,შეგწერა,შეწერა,შეგვწერა,შეგწერათ,შეწერა,
,შეგწერეთ,შევწერეთ,,შეგწერეთ,შევწერეთ,
შემწერეთ,,შეწერეთ,შეგვწერეთ,,შეწერეთ,
შემწერეს,შეგწერეს,შეწერეს,შეგვწერეს,შეგწერეს,შეწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,შეგწერო,შევწერო,,შეგწეროთ,შევწერო,
შემწერო,,შეწერო,შეგვწერო,,შეწერო,
შემწეროს,შეგწეროს,შეწეროს,შეგვწეროს,შეგწეროთ,შეწეროს,
,შეგწეროთ,შევწეროთ,,შეგწეროთ,შევწეროთ,
შემწეროთ,,შეწეროთ,შეგვწეროთ,,შეწეროთ,
შემწერონ,შეგწერონ,შეწერონ,შეგვწერონ,შეგწერონ,შეწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,შემიწერიხარ,შემიწერია,,შემიწერიხართ,შემიწერია,
შეგიწერივარ,,შეგიწერია,შეგიწერივართ,,შეგიწერია,
შევუწერივარ,შეუწერიხარ,შეუწერია,შევუწერივართ,შეუწერიხართ,შეუწერია,
,შეგვიწერიხარ,შეგვიწერია,,შეგვიწერიხართ,შეგვიწერია,
შეგიწერივართ,,შეგიწერიათ,შეგიწერივართ,,შეგიწერიათ,
შევუწერივარ,შეუწერიხარ,შეუწერიათ,შევუწერივართ,შეუწერიხართ,შეუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
ვეწერე,ეწერე,ეწერა,ვეწერეთ,ეწერეთ,ეწერა,
,გვეწერე,გვეწერა,,გვეწერეთ,გვეწერა,
გეწერეთ,,გეწერათ,გეწერეთ,,გეწერათ,
ვეწერე,ეწერე,ეწერათ,ვეწერეთ,ეწერეთ,ეწერათ,
IIturm_prfv
,შემეწერე,შემეწერა,,შემეწერეთ,შემეწერა,
