pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,შეგხატავ,შევხატავ,,შეგხატავთ,შევხატავ,
შემხატავ,,შეხატავ,შეგვხატავ,,შეხატავ,
შემხატავს,შეგხატავს,შეხატავს,შეგვხატავს,შეგხატავთ,შეხატავს,
,შეგხატავთ,შევხატავთ,,შეგხატავთ,შევხატავთ,
შემხატავთ,,შეხატავთ,შეგვხატავთ,,შეხატავთ,
შემხატავენ,შეგხატავენ,შეხატავენ,შეგვხატავენ,შეგხატავენ,შეხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,შეგხატავდი,შევხატავდი,,შეგხატავდით,შევხატავდი,
შემხატავდი,,შეხატავდი,შეგვხატავდი,,შეხატავდი,
შემხატავდა,შეგხატავდა,შეხატავდა,შეგვხატავდა,შეგხატავდათ,შეხატავდა,
,შეგხატავდით,შევხატავდით,,შეგხატავდით,შევხატავდით,
შემხატავდით,,შეხატავდით,შეგვხატავდით,,შეხატავდით,
შემხატავდნენ,შეგხატავდნენ,შეხატავდნენ,შეგვხატავდნენ,შეგხატავდნენ,შეხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,შეგხატავდე,შევხატავდე,,შეგხატავდეთ,შევხატავდე,
შემხატავდე,,შეხატავდე,შეგვხატავდე,,შეხატავდე,
შემხატავდეს,შეგხატავდეს,შეხატავდეს,შეგვხატავდეს,შეგხატავდეთ,შეხატავდეს,
,შეგხატავდეთ,შევხატავდეთ,,შეგხატავდეთ,შევხატავდეთ,
შემხატავდეთ,,შეხატავდეთ,შეგვხატავდეთ,,შეხატავდეთ,
შემხატავდნენ,შეგხატავდნენ,შეხატავდნენ,შეგვხატავდნენ,შეგხატავდნენ,შეხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,შეგხატე,შევხატე,,შეგხატეთ,შევხატე,
შემხატე,,შეხატე,შეგვხატე,,შეხატე,
შემხატა,შეგხატა,შეხატა,შეგვხატა,შეგხატათ,შეხატა,
,შეგხატეთ,შევხატეთ,,შეგხატეთ,შევხატეთ,
შემხატეთ,,შეხატეთ,შეგვხატეთ,,შეხატეთ,
შემხატეს,შეგხატეს,შეხატეს,შეგვხატეს,შეგხატეს,შეხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,შეგხატო,შევხატო,,შეგხატოთ,შევხატო,
შემხატო,,შეხატო,შეგვხატო,,შეხატო,
შემხატოს,შეგხატოს,შეხატოს,შეგვხატოს,შეგხატოთ,შეხატოს,
,შეგხატოთ,შევხატოთ,,შეგხატოთ,შევხატოთ,
შემხატოთ,,შეხატოთ,შეგვხატოთ,,შეხატოთ,
შემხატონ,შეგხატონ,შეხატონ,შეგვხატონ,შეგხატონ,შეხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,შემიხატიხარ,შემიხატია,,შემიხატიხართ,შემიხატია,
შეგიხატივარ,,შეგიხატია,შეგიხატივართ,,შეგიხატია,
შევუხატივარ,შეუხატიხარ,შეუხატია,შევუხატივართ,შეუხატიხართ,შეუხატია,
,შეგვიხატიხარ,შეგვიხატია,,შეგვიხატიხართ,შეგვიხატია,
შეგიხატივართ,,შეგიხატიათ,შეგიხატივართ,,შეგიხატიათ,
