fut
,შეგკირკიტებ,შევკირკიტებ,,შეგკირკიტებთ,შევკირკიტებ,
შემკირკიტებ,,შეჰკირკიტებ,შეგვკირკიტებ,,შეჰკირკიტებ,
შემკირკიტებს,შეგკირკიტებს,შეჰკირკიტებს,შეგვკირკიტებს,შეგკირკიტებთ,შეჰკირკიტებს,
,შეგკირკიტებთ,შევკირკიტებთ,,შეგკირკიტებთ,შევკირკიტებთ,
შემკირკიტებთ,,შეჰკირკიტებთ,შეგვკირკიტებთ,,შეჰკირკიტებთ,
შემკირკიტებენ,შეგკირკიტებენ,შეჰკირკიტებენ,შეგვკირკიტებენ,შეგკირკიტებენ,შეჰკირკიტებენ,
cond
,შეგკირკიტებდი,შევკირკიტებდი,,შეგკირკიტებდით,შევკირკიტებდი,
შემკირკიტებდი,,შეჰკირკიტებდი,შეგვკირკიტებდი,,შეჰკირკიტებდი,
შემკირკიტებდა,შეგკირკიტებდა,შეჰკირკიტებდა,შეგვკირკიტებდა,შეგკირკიტებდათ,შეჰკირკიტებდა,
,შეგკირკიტებდით,შევკირკიტებდით,,შეგკირკიტებდით,შევკირკიტებდით,
შემკირკიტებდით,,შეჰკირკიტებდით,შეგვკირკიტებდით,,შეჰკირკიტებდით,
შემკირკიტებდნენ,შეგკირკიტებდნენ,შეჰკირკიტებდნენ,შეგვკირკიტებდნენ,შეგკირკიტებდნენ,შეჰკირკიტებდნენ,
fut_subj
,შეგკირკიტებდე,შევკირკიტებდე,,შეგკირკიტებდეთ,შევკირკიტებდე,
შემკირკიტებდე,,შეჰკირკიტებდე,შეგვკირკიტებდე,,შეჰკირკიტებდე,
შემკირკიტებდეს,შეგკირკიტებდეს,შეჰკირკიტებდეს,შეგვკირკიტებდეს,შეგკირკიტებდეთ,შეჰკირკიტებდეს,
,შეგკირკიტებდეთ,შევკირკიტებდეთ,,შეგკირკიტებდეთ,შევკირკიტებდეთ,
შემკირკიტებდეთ,,შეჰკირკიტებდეთ,შეგვკირკიტებდეთ,,შეჰკირკიტებდეთ,
შემკირკიტებდნენ,შეგკირკიტებდნენ,შეჰკირკიტებდნენ,შეგვკირკიტებდნენ,შეგკირკიტებდნენ,შეჰკირკიტებდნენ,
