fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,შემოგაკლებ,შემოვაკლებ,,შემოგაკლებთ,შემოვაკლებ,
შემომაკლებ,,შემოაკლებ,შემოგვაკლებ,,შემოაკლებ,
შემომაკლებს,შემოგაკლებს,შემოაკლებს,შემოგვაკლებს,შემოგაკლებთ,შემოაკლებს,
,შემოგაკლებთ,შემოვაკლებთ,,შემოგაკლებთ,შემოვაკლებთ,
შემომაკლებთ,,შემოაკლებთ,შემოგვაკლებთ,,შემოაკლებთ,
შემომაკლებენ,შემოგაკლებენ,შემოაკლებენ,შემოგვაკლებენ,შემოგაკლებენ,შემოაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,შემოგაკლებდი,შემოვაკლებდი,,შემოგაკლებდით,შემოვაკლებდი,
შემომაკლებდი,,შემოაკლებდი,შემოგვაკლებდი,,შემოაკლებდი,
შემომაკლებდა,შემოგაკლებდა,შემოაკლებდა,შემოგვაკლებდა,შემოგაკლებდათ,შემოაკლებდა,
,შემოგაკლებდით,შემოვაკლებდით,,შემოგაკლებდით,შემოვაკლებდით,
შემომაკლებდით,,შემოაკლებდით,შემოგვაკლებდით,,შემოაკლებდით,
შემომაკლებდნენ,შემოგაკლებდნენ,შემოაკლებდნენ,შემოგვაკლებდნენ,შემოგაკლებდნენ,შემოაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,შემოგაკლებდე,შემოვაკლებდე,,შემოგაკლებდეთ,შემოვაკლებდე,
შემომაკლებდე,,შემოაკლებდე,შემოგვაკლებდე,,შემოაკლებდე,
შემომაკლებდეს,შემოგაკლებდეს,შემოაკლებდეს,შემოგვაკლებდეს,შემოგაკლებდეთ,შემოაკლებდეს,
,შემოგაკლებდეთ,შემოვაკლებდეთ,,შემოგაკლებდეთ,შემოვაკლებდეთ,
შემომაკლებდეთ,,შემოაკლებდეთ,შემოგვაკლებდეთ,,შემოაკლებდეთ,
შემომაკლებდნენ,შემოგაკლებდნენ,შემოაკლებდნენ,შემოგვაკლებდნენ,შემოგაკლებდნენ,შემოაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,შემოგაკელი,შემოვაკელი,,შემოგაკელით,შემოვაკელი,
