fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,შემოგარტყამ,შემოვარტყამ,,შემოგარტყამთ,შემოვარტყამ,
შემომარტყამ,,შემოარტყამ,შემოგვარტყამ,,შემოარტყამ,
შემომარტყამს,შემოგარტყამს,შემოარტყამს,შემოგვარტყამს,შემოგარტყამთ,შემოარტყამს,
,შემოგარტყამთ,შემოვარტყამთ,,შემოგარტყამთ,შემოვარტყამთ,
შემომარტყამთ,,შემოარტყამთ,შემოგვარტყამთ,,შემოარტყამთ,
შემომარტყამენ,შემოგარტყამენ,შემოარტყამენ,შემოგვარტყამენ,შემოგარტყამენ,შემოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,შემოგარტყამდი,შემოვარტყამდი,,შემოგარტყამდით,შემოვარტყამდი,
შემომარტყამდი,,შემოარტყამდი,შემოგვარტყამდი,,შემოარტყამდი,
შემომარტყამდა,შემოგარტყამდა,შემოარტყამდა,შემოგვარტყამდა,შემოგარტყამდათ,შემოარტყამდა,
,შემოგარტყამდით,შემოვარტყამდით,,შემოგარტყამდით,შემოვარტყამდით,
შემომარტყამდით,,შემოარტყამდით,შემოგვარტყამდით,,შემოარტყამდით,
შემომარტყამდნენ,შემოგარტყამდნენ,შემოარტყამდნენ,შემოგვარტყამდნენ,შემოგარტყამდნენ,შემოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,შემოგარტყამდე,შემოვარტყამდე,,შემოგარტყამდეთ,შემოვარტყამდე,
შემომარტყამდე,,შემოარტყამდე,შემოგვარტყამდე,,შემოარტყამდე,
შემომარტყამდეს,შემოგარტყამდეს,შემოარტყამდეს,შემოგვარტყამდეს,შემოგარტყამდეთ,შემოარტყამდეს,
,შემოგარტყამდეთ,შემოვარტყამდეთ,,შემოგარტყამდეთ,შემოვარტყამდეთ,
შემომარტყამდეთ,,შემოარტყამდეთ,შემოგვარტყამდეთ,,შემოარტყამდეთ,
შემომარტყამდნენ,შემოგარტყამდნენ,შემოარტყამდნენ,შემოგვარტყამდნენ,შემოგარტყამდნენ,შემოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,შემოგარტყი,შემოვარტყი,,შემოგარტყით,შემოვარტყი,
შემომარტყი,,შემოარტყი,შემოგვარტყი,,შემოარტყი,
შემომარტყა,შემოგარტყა,შემოარტყა,შემოგვარტყა,შემოგარტყათ,შემოარტყა,
,შემოგარტყით,შემოვარტყით,,შემოგარტყით,შემოვარტყით,
შემომარტყით,,შემოარტყით,შემოგვარტყით,,შემოარტყით,
შემომარტყეს,შემოგარტყეს,შემოარტყეს,შემოგვარტყეს,შემოგარტყეს,შემოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,შემოგარტყა,შემოვარტყა,,შემოგარტყათ,შემოვარტყა,
შემომარტყა,,შემოარტყა,შემოგვარტყა,,შემოარტყა,
შემომარტყას,შემოგარტყას,შემოარტყას,შემოგვარტყას,შემოგარტყათ,შემოარტყას,
,შემოგარტყათ,შემოვარტყათ,,შემოგარტყათ,შემოვარტყათ,
შემომარტყათ,,შემოარტყათ,შემოგვარტყათ,,შემოარტყათ,
შემომარტყან,შემოგარტყან,შემოარტყან,შემოგვარტყან,შემოგარტყან,შემოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,შემომირტყიხარ,შემომირტყია,,შემომირტყიხართ,შემომირტყია,
შემოგირტყივარ,,შემოგირტყია,შემოგირტყივართ,,შემოგირტყია,
შემოვურტყივარ,შემოურტყიხარ,შემოურტყია,შემოვურტყივართ,შემოურტყიხართ,შემოურტყია,
,შემოგვირტყიხარ,შემოგვირტყია,,შემოგვირტყიხართ,შემოგვირტყია,
შემოგირტყივართ,,შემოგირტყიათ,შემოგირტყივართ,,შემოგირტყიათ,
შემოვურტყივარ,შემოურტყიხარ,შემოურტყიათ,შემოვურტყივართ,შემოურტყიხართ,შემოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,შემომირტყამხარ,შემომირტყამს,,შემომირტყამხართ,შემომირტყამს,
შემოგირტყამვარ,,შემოგირტყამს,შემოგირტყამვართ,,შემოგირტყამს,
შემოვურტყამვარ,შემოურტყამხარ,შემოურტყამს,შემოვურტყამვართ,შემოურტყამხართ,შემოურტყამს,
,შემოგვირტყამხარ,შემოგვირტყამს,,შემოგვირტყამხართ,შემოგვირტყამს,
შემოგირტყამვართ,,შემოგირტყამთ,შემოგირტყამვართ,,შემოგირტყამთ,
შემოვურტყამვარ,შემოურტყამხარ,შემოურტყამთ,შემოვურტყამვართ,შემოურტყამხართ,შემოურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
