fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,შემოგაწვენ,შემოვაწვენ,,შემოგაწვენთ,შემოვაწვენ,
შემომაწვენ,,შემოაწვენ,შემოგვაწვენ,,შემოაწვენ,
შემომაწვენს,შემოგაწვენს,შემოაწვენს,შემოგვაწვენს,შემოგაწვენთ,შემოაწვენს,
,შემოგაწვენთ,შემოვაწვენთ,,შემოგაწვენთ,შემოვაწვენთ,
შემომაწვენთ,,შემოაწვენთ,შემოგვაწვენთ,,შემოაწვენთ,
შემომაწვენენ,შემოგაწვენენ,შემოაწვენენ,შემოგვაწვენენ,შემოგაწვენენ,შემოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,შემოგაწვენდი,შემოვაწვენდი,,შემოგაწვენდით,შემოვაწვენდი,
შემომაწვენდი,,შემოაწვენდი,შემოგვაწვენდი,,შემოაწვენდი,
შემომაწვენდა,შემოგაწვენდა,შემოაწვენდა,შემოგვაწვენდა,შემოგაწვენდათ,შემოაწვენდა,
,შემოგაწვენდით,შემოვაწვენდით,,შემოგაწვენდით,შემოვაწვენდით,
შემომაწვენდით,,შემოაწვენდით,შემოგვაწვენდით,,შემოაწვენდით,
შემომაწვენდნენ,შემოგაწვენდნენ,შემოაწვენდნენ,შემოგვაწვენდნენ,შემოგაწვენდნენ,შემოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,შემოგაწვენდე,შემოვაწვენდე,,შემოგაწვენდეთ,შემოვაწვენდე,
შემომაწვენდე,,შემოაწვენდე,შემოგვაწვენდე,,შემოაწვენდე,
შემომაწვენდეს,შემოგაწვენდეს,შემოაწვენდეს,შემოგვაწვენდეს,შემოგაწვენდეთ,შემოაწვენდეს,
,შემოგაწვენდეთ,შემოვაწვენდეთ,,შემოგაწვენდეთ,შემოვაწვენდეთ,
შემომაწვენდეთ,,შემოაწვენდეთ,შემოგვაწვენდეთ,,შემოაწვენდეთ,
შემომაწვენდნენ,შემოგაწვენდნენ,შემოაწვენდნენ,შემოგვაწვენდნენ,შემოგაწვენდნენ,შემოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,შემოგაწვინე,შემოვაწვინე,,შემოგაწვინეთ,შემოვაწვინე,
შემომაწვინე,,შემოაწვინე,შემოგვაწვინე,,შემოაწვინე,
