fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,შემოგეწერები,შემოვეწერები,,შემოგეწერებით,შემოვეწერები,
შემომეწერები,,შემოეწერები,შემოგვეწერები,,შემოეწერები,
შემომეწერება,შემოგეწერება,შემოეწერება,შემოგვეწერება,შემოგეწერებათ,შემოეწერება,
,შემოგეწერებით,შემოვეწერებით,,შემოგეწერებით,შემოვეწერებით,
შემომეწერებით,,შემოეწერებით,შემოგვეწერებით,,შემოეწერებით,
შემომეწერებიან,შემოგეწერებიან,შემოეწერებიან,შემოგვეწერებიან,შემოგეწერებიან,შემოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,შემოგეწერებოდი,შემოვეწერებოდი,,შემოგეწერებოდით,შემოვეწერებოდი,
შემომეწერებოდი,,შემოეწერებოდი,შემოგვეწერებოდი,,შემოეწერებოდი,
შემომეწერებოდა,შემოგეწერებოდა,შემოეწერებოდა,შემოგვეწერებოდა,შემოგეწერებოდათ,შემოეწერებოდა,
,შემოგეწერებოდით,შემოვეწერებოდით,,შემოგეწერებოდით,შემოვეწერებოდით,
შემომეწერებოდით,,შემოეწერებოდით,შემოგვეწერებოდით,,შემოეწერებოდით,
შემომეწერებოდნენ,შემოგეწერებოდნენ,შემოეწერებოდნენ,შემოგვეწერებოდნენ,შემოგეწერებოდნენ,შემოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,შემოგეწერებოდე,შემოვეწერებოდე,,შემოგეწერებოდეთ,შემოვეწერებოდე,
შემომეწერებოდე,,შემოეწერებოდე,შემოგვეწერებოდე,,შემოეწერებოდე,
შემომეწერებოდეს,შემოგეწერებოდეს,შემოეწერებოდეს,შემოგვეწერებოდეს,შემოგეწერებოდეთ,შემოეწერებოდეს,
,შემოგეწერებოდეთ,შემოვეწერებოდეთ,,შემოგეწერებოდეთ,შემოვეწერებოდეთ,
შემომეწერებოდეთ,,შემოეწერებოდეთ,შემოგვეწერებოდეთ,,შემოეწერებოდეთ,
შემომეწერებოდნენ,შემოგეწერებოდნენ,შემოეწერებოდნენ,შემოგვეწერებოდნენ,შემოგეწერებოდნენ,შემოეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
