pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,შემოგკეცავ,შემოვკეცავ,,შემოგკეცავთ,შემოვკეცავ,
შემომკეცავ,,შემოკეცავ,შემოგვკეცავ,,შემოკეცავ,
შემომკეცავს,შემოგკეცავს,შემოკეცავს,შემოგვკეცავს,შემოგკეცავთ,შემოკეცავს,
,შემოგკეცავთ,შემოვკეცავთ,,შემოგკეცავთ,შემოვკეცავთ,
შემომკეცავთ,,შემოკეცავთ,შემოგვკეცავთ,,შემოკეცავთ,
შემომკეცავენ,შემოგკეცავენ,შემოკეცავენ,შემოგვკეცავენ,შემოგკეცავენ,შემოკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,შემოგკეცავდი,შემოვკეცავდი,,შემოგკეცავდით,შემოვკეცავდი,
შემომკეცავდი,,შემოკეცავდი,შემოგვკეცავდი,,შემოკეცავდი,
შემომკეცავდა,შემოგკეცავდა,შემოკეცავდა,შემოგვკეცავდა,შემოგკეცავდათ,შემოკეცავდა,
,შემოგკეცავდით,შემოვკეცავდით,,შემოგკეცავდით,შემოვკეცავდით,
შემომკეცავდით,,შემოკეცავდით,შემოგვკეცავდით,,შემოკეცავდით,
შემომკეცავდნენ,შემოგკეცავდნენ,შემოკეცავდნენ,შემოგვკეცავდნენ,შემოგკეცავდნენ,შემოკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,შემოგკეცავდე,შემოვკეცავდე,,შემოგკეცავდეთ,შემოვკეცავდე,
შემომკეცავდე,,შემოკეცავდე,შემოგვკეცავდე,,შემოკეცავდე,
შემომკეცავდეს,შემოგკეცავდეს,შემოკეცავდეს,შემოგვკეცავდეს,შემოგკეცავდეთ,შემოკეცავდეს,
,შემოგკეცავდეთ,შემოვკეცავდეთ,,შემოგკეცავდეთ,შემოვკეცავდეთ,
შემომკეცავდეთ,,შემოკეცავდეთ,შემოგვკეცავდეთ,,შემოკეცავდეთ,
შემომკეცავდნენ,შემოგკეცავდნენ,შემოკეცავდნენ,შემოგვკეცავდნენ,შემოგკეცავდნენ,შემოკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,შემოგკეცე,შემოვკეცე,,შემოგკეცეთ,შემოვკეცე,
შემომკეცე,,შემოკეცე,შემოგვკეცე,,შემოკეცე,
შემომკეცა,შემოგკეცა,შემოკეცა,შემოგვკეცა,შემოგკეცათ,შემოკეცა,
,შემოგკეცეთ,შემოვკეცეთ,,შემოგკეცეთ,შემოვკეცეთ,
შემომკეცეთ,,შემოკეცეთ,შემოგვკეცეთ,,შემოკეცეთ,
შემომკეცეს,შემოგკეცეს,შემოკეცეს,შემოგვკეცეს,შემოგკეცეს,შემოკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
