fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,შემოგითმენ,შემოვუთმენ,,შემოგითმენთ,შემოვუთმენ,
შემომითმენ,,შემოუთმენ,შემოგვითმენ,,შემოუთმენ,
შემომითმენს,შემოგითმენს,შემოუთმენს,შემოგვითმენს,შემოგითმენთ,შემოუთმენს,
,შემოგითმენთ,შემოვუთმენთ,,შემოგითმენთ,შემოვუთმენთ,
შემომითმენთ,,შემოუთმენთ,შემოგვითმენთ,,შემოუთმენთ,
შემომითმენენ,შემოგითმენენ,შემოუთმენენ,შემოგვითმენენ,შემოგითმენენ,შემოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,შემოგითმენდი,შემოვუთმენდი,,შემოგითმენდით,შემოვუთმენდი,
შემომითმენდი,,შემოუთმენდი,შემოგვითმენდი,,შემოუთმენდი,
შემომითმენდა,შემოგითმენდა,შემოუთმენდა,შემოგვითმენდა,შემოგითმენდათ,შემოუთმენდა,
,შემოგითმენდით,შემოვუთმენდით,,შემოგითმენდით,შემოვუთმენდით,
შემომითმენდით,,შემოუთმენდით,შემოგვითმენდით,,შემოუთმენდით,
შემომითმენდნენ,შემოგითმენდნენ,შემოუთმენდნენ,შემოგვითმენდნენ,შემოგითმენდნენ,შემოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,შემოგითმენდე,შემოვუთმენდე,,შემოგითმენდეთ,შემოვუთმენდე,
შემომითმენდე,,შემოუთმენდე,შემოგვითმენდე,,შემოუთმენდე,
შემომითმენდეს,შემოგითმენდეს,შემოუთმენდეს,შემოგვითმენდეს,შემოგითმენდეთ,შემოუთმენდეს,
,შემოგითმენდეთ,შემოვუთმენდეთ,,შემოგითმენდეთ,შემოვუთმენდეთ,
შემომითმენდეთ,,შემოუთმენდეთ,შემოგვითმენდეთ,,შემოუთმენდეთ,
შემომითმენდნენ,შემოგითმენდნენ,შემოუთმენდნენ,შემოგვითმენდნენ,შემოგითმენდნენ,შემოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,შემოგითმინე,შემოვუთმინე,,შემოგითმინეთ,შემოვუთმინე,
შემომითმინე,,შემოუთმინე,შემოგვითმინე,,შემოუთმინე,
შემომითმინა,შემოგითმინა,შემოუთმინა,შემოგვითმინა,შემოგითმინათ,შემოუთმინა,
,შემოგითმინეთ,შემოვუთმინეთ,,შემოგითმინეთ,შემოვუთმინეთ,
შემომითმინეთ,,შემოუთმინეთ,შემოგვითმინეთ,,შემოუთმინეთ,
შემომითმინეს,შემოგითმინეს,შემოუთმინეს,შემოგვითმინეს,შემოგითმინეს,შემოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,შემოგითმინო,შემოვუთმინო,,შემოგითმინოთ,შემოვუთმინო,
შემომითმინო,,შემოუთმინო,შემოგვითმინო,,შემოუთმინო,
შემომითმინოს,შემოგითმინოს,შემოუთმინოს,შემოგვითმინოს,შემოგითმინოთ,შემოუთმინოს,
,შემოგითმინოთ,შემოვუთმინოთ,,შემოგითმინოთ,შემოვუთმინოთ,
შემომითმინოთ,,შემოუთმინოთ,შემოგვითმინოთ,,შემოუთმინოთ,
