pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,შემოგჩქმეტ,შემოვჩქმეტ,,შემოგჩქმეტთ,შემოვჩქმეტ,
შემომჩქმეტ,,შემოჩქმეტ,შემოგვჩქმეტ,,შემოჩქმეტ,
შემომჩქმეტს,შემოგჩქმეტს,შემოჩქმეტს,შემოგვჩქმეტს,შემოგჩქმეტთ,შემოჩქმეტს,
,შემოგჩქმეტთ,შემოვჩქმეტთ,,შემოგჩქმეტთ,შემოვჩქმეტთ,
შემომჩქმეტთ,,შემოჩქმეტთ,შემოგვჩქმეტთ,,შემოჩქმეტთ,
შემომჩქმეტენ,შემოგჩქმეტენ,შემოჩქმეტენ,შემოგვჩქმეტენ,შემოგჩქმეტენ,შემოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,შემოგჩქმეტდი,შემოვჩქმეტდი,,შემოგჩქმეტდით,შემოვჩქმეტდი,
შემომჩქმეტდი,,შემოჩქმეტდი,შემოგვჩქმეტდი,,შემოჩქმეტდი,
შემომჩქმეტდა,შემოგჩქმეტდა,შემოჩქმეტდა,შემოგვჩქმეტდა,შემოგჩქმეტდათ,შემოჩქმეტდა,
,შემოგჩქმეტდით,შემოვჩქმეტდით,,შემოგჩქმეტდით,შემოვჩქმეტდით,
შემომჩქმეტდით,,შემოჩქმეტდით,შემოგვჩქმეტდით,,შემოჩქმეტდით,
შემომჩქმეტდნენ,შემოგჩქმეტდნენ,შემოჩქმეტდნენ,შემოგვჩქმეტდნენ,შემოგჩქმეტდნენ,შემოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
მიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,გვიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,
subj
