pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,შემოგცრი,შემოვცრი,,შემოგცრით,შემოვცრი,
შემომცრი,,შემოცრი,შემოგვცრი,,შემოცრი,
შემომცრის,შემოგცრის,შემოცრის,შემოგვცრის,შემოგცრით,შემოცრის,
,შემოგცრით,შემოვცრით,,შემოგცრით,შემოვცრით,
შემომცრით,,შემოცრით,შემოგვცრით,,შემოცრით,
შემომცრიან,შემოგცრიან,შემოცრიან,შემოგვცრიან,შემოგცრიან,შემოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,შემოგცრიდი,შემოვცრიდი,,შემოგცრიდით,შემოვცრიდი,
შემომცრიდი,,შემოცრიდი,შემოგვცრიდი,,შემოცრიდი,
შემომცრიდა,შემოგცრიდა,შემოცრიდა,შემოგვცრიდა,შემოგცრიდათ,შემოცრიდა,
,შემოგცრიდით,შემოვცრიდით,,შემოგცრიდით,შემოვცრიდით,
შემომცრიდით,,შემოცრიდით,შემოგვცრიდით,,შემოცრიდით,
შემომცრიდნენ,შემოგცრიდნენ,შემოცრიდნენ,შემოგვცრიდნენ,შემოგცრიდნენ,შემოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,შემოგცრიდე,შემოვცრიდე,,შემოგცრიდეთ,შემოვცრიდე,
შემომცრიდე,,შემოცრიდე,შემოგვცრიდე,,შემოცრიდე,
შემომცრიდეს,შემოგცრიდეს,შემოცრიდეს,შემოგვცრიდეს,შემოგცრიდეთ,შემოცრიდეს,
,შემოგცრიდეთ,შემოვცრიდეთ,,შემოგცრიდეთ,შემოვცრიდეთ,
შემომცრიდეთ,,შემოცრიდეთ,შემოგვცრიდეთ,,შემოცრიდეთ,
შემომცრიდნენ,შემოგცრიდნენ,შემოცრიდნენ,შემოგვცრიდნენ,შემოგცრიდნენ,შემოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,შემოგცერი,შემოვცერი,,შემოგცერით,შემოვცერი,
შემომცერი,,შემოცერი,შემოგვცერი,,შემოცერი,
შემომცრა,შემოგცრა,შემოცრა,შემოგვცრა,შემოგცრათ,შემოცრა,
,შემოგცერით,შემოვცერით,,შემოგცერით,შემოვცერით,
შემომცერით,,შემოცერით,შემოგვცერით,,შემოცერით,
შემომცრეს,შემოგცრეს,შემოცრეს,შემოგვცრეს,შემოგცრეს,შემოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,შემოგცრა,შემოვცრა,,შემოგცრათ,შემოვცრა,
შემომცრა,,შემოცრა,შემოგვცრა,,შემოცრა,
შემომცრას,შემოგცრას,შემოცრას,შემოგვცრას,შემოგცრათ,შემოცრას,
,შემოგცრათ,შემოვცრათ,,შემოგცრათ,შემოვცრათ,
შემომცრათ,,შემოცრათ,შემოგვცრათ,,შემოცრათ,
შემომცრან,შემოგცრან,შემოცრან,შემოგვცრან,შემოგცრან,შემოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,შემომიცრიხარ,შემომიცრია,,შემომიცრიხართ,შემომიცრია,
შემოგიცრივარ,,შემოგიცრია,შემოგიცრივართ,,შემოგიცრია,
შემოვუცრივარ,შემოუცრიხარ,შემოუცრია,შემოვუცრივართ,შემოუცრიხართ,შემოუცრია,
,შემოგვიცრიხარ,შემოგვიცრია,,შემოგვიცრიხართ,შემოგვიცრია,
შემოგიცრივართ,,შემოგიცრიათ,შემოგიცრივართ,,შემოგიცრიათ,
შემოვუცრივარ,შემოუცრიხარ,შემოუცრიათ,შემოვუცრივართ,შემოუცრიხართ,შემოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,შემომეცერი,შემომეცრა,,შემომეცერით,შემომეცრა,
შემოგეცერი,,შემოგეცრა,შემოგეცერით,,შემოგეცრა,
შემოვეცერი,შემოეცერი,შემოეცრა,შემოვეცერით,შემოეცერით,შემოეცრა,
,შემოგვეცერი,შემოგვეცრა,,შემოგვეცერით,შემოგვეცრა,
შემოგეცერით,,შემოგეცრათ,შემოგეცერით,,შემოგეცრათ,
შემოვეცერი,შემოეცერი,შემოეცრათ,შემოვეცერით,შემოეცერით,შემოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,შემომეცრა,შემომეცრას,,შემომეცრათ,შემომეცრას,
შემოგეცრა,,შემოგეცრას,შემოგეცრათ,,შემოგეცრას,
შემოვეცრა,შემოეცრა,შემოეცრას,შემოვეცრათ,შემოეცრათ,შემოეცრას,
,შემოგვეცრა,შემოგვეცრას,,შემოგვეცრათ,შემოგვეცრას,
შემოგეცრათ,,შემოგეცრათ,შემოგეცრათ,,შემოგეცრათ,
შემოვეცრა,შემოეცრა,შემოეცრათ,შემოვეცრათ,შემოეცრათ,შემოეცრათ,
