pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,შემოგხატავ,შემოვხატავ,,შემოგხატავთ,შემოვხატავ,
შემომხატავ,,შემოხატავ,შემოგვხატავ,,შემოხატავ,
შემომხატავს,შემოგხატავს,შემოხატავს,შემოგვხატავს,შემოგხატავთ,შემოხატავს,
,შემოგხატავთ,შემოვხატავთ,,შემოგხატავთ,შემოვხატავთ,
შემომხატავთ,,შემოხატავთ,შემოგვხატავთ,,შემოხატავთ,
შემომხატავენ,შემოგხატავენ,შემოხატავენ,შემოგვხატავენ,შემოგხატავენ,შემოხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,შემოგხატავდი,შემოვხატავდი,,შემოგხატავდით,შემოვხატავდი,
შემომხატავდი,,შემოხატავდი,შემოგვხატავდი,,შემოხატავდი,
შემომხატავდა,შემოგხატავდა,შემოხატავდა,შემოგვხატავდა,შემოგხატავდათ,შემოხატავდა,
,შემოგხატავდით,შემოვხატავდით,,შემოგხატავდით,შემოვხატავდით,
შემომხატავდით,,შემოხატავდით,შემოგვხატავდით,,შემოხატავდით,
შემომხატავდნენ,შემოგხატავდნენ,შემოხატავდნენ,შემოგვხატავდნენ,შემოგხატავდნენ,შემოხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,შემოგხატავდე,შემოვხატავდე,,შემოგხატავდეთ,შემოვხატავდე,
შემომხატავდე,,შემოხატავდე,შემოგვხატავდე,,შემოხატავდე,
შემომხატავდეს,შემოგხატავდეს,შემოხატავდეს,შემოგვხატავდეს,შემოგხატავდეთ,შემოხატავდეს,
,შემოგხატავდეთ,შემოვხატავდეთ,,შემოგხატავდეთ,შემოვხატავდეთ,
შემომხატავდეთ,,შემოხატავდეთ,შემოგვხატავდეთ,,შემოხატავდეთ,
შემომხატავდნენ,შემოგხატავდნენ,შემოხატავდნენ,შემოგვხატავდნენ,შემოგხატავდნენ,შემოხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,შემოგხატე,შემოვხატე,,შემოგხატეთ,შემოვხატე,
შემომხატე,,შემოხატე,შემოგვხატე,,შემოხატე,
შემომხატა,შემოგხატა,შემოხატა,შემოგვხატა,შემოგხატათ,შემოხატა,
,შემოგხატეთ,შემოვხატეთ,,შემოგხატეთ,შემოვხატეთ,
შემომხატეთ,,შემოხატეთ,შემოგვხატეთ,,შემოხატეთ,
შემომხატეს,შემოგხატეს,შემოხატეს,შემოგვხატეს,შემოგხატეს,შემოხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,შემოგხატო,შემოვხატო,,შემოგხატოთ,შემოვხატო,
შემომხატო,,შემოხატო,შემოგვხატო,,შემოხატო,
შემომხატოს,შემოგხატოს,შემოხატოს,შემოგვხატოს,შემოგხატოთ,შემოხატოს,
,შემოგხატოთ,შემოვხატოთ,,შემოგხატოთ,შემოვხატოთ,
შემომხატოთ,,შემოხატოთ,შემოგვხატოთ,,შემოხატოთ,
შემომხატონ,შემოგხატონ,შემოხატონ,შემოგვხატონ,შემოგხატონ,შემოხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,შემომიხატიხარ,შემომიხატია,,შემომიხატიხართ,შემომიხატია,
