fut
,შემოგკირკიტებ,შემოვკირკიტებ,,შემოგკირკიტებთ,შემოვკირკიტებ,
შემომკირკიტებ,,შემოჰკირკიტებ,შემოგვკირკიტებ,,შემოჰკირკიტებ,
შემომკირკიტებს,შემოგკირკიტებს,შემოჰკირკიტებს,შემოგვკირკიტებს,შემოგკირკიტებთ,შემოჰკირკიტებს,
,შემოგკირკიტებთ,შემოვკირკიტებთ,,შემოგკირკიტებთ,შემოვკირკიტებთ,
შემომკირკიტებთ,,შემოჰკირკიტებთ,შემოგვკირკიტებთ,,შემოჰკირკიტებთ,
შემომკირკიტებენ,შემოგკირკიტებენ,შემოჰკირკიტებენ,შემოგვკირკიტებენ,შემოგკირკიტებენ,შემოჰკირკიტებენ,
cond
,შემოგკირკიტებდი,შემოვკირკიტებდი,,შემოგკირკიტებდით,შემოვკირკიტებდი,
შემომკირკიტებდი,,შემოჰკირკიტებდი,შემოგვკირკიტებდი,,შემოჰკირკიტებდი,
შემომკირკიტებდა,შემოგკირკიტებდა,შემოჰკირკიტებდა,შემოგვკირკიტებდა,შემოგკირკიტებდათ,შემოჰკირკიტებდა,
,შემოგკირკიტებდით,შემოვკირკიტებდით,,შემოგკირკიტებდით,შემოვკირკიტებდით,
შემომკირკიტებდით,,შემოჰკირკიტებდით,შემოგვკირკიტებდით,,შემოჰკირკიტებდით,
შემომკირკიტებდნენ,შემოგკირკიტებდნენ,შემოჰკირკიტებდნენ,შემოგვკირკიტებდნენ,შემოგკირკიტებდნენ,შემოჰკირკიტებდნენ,
fut_subj
,შემოგკირკიტებდე,შემოვკირკიტებდე,,შემოგკირკიტებდეთ,შემოვკირკიტებდე,
შემომკირკიტებდე,,შემოჰკირკიტებდე,შემოგვკირკიტებდე,,შემოჰკირკიტებდე,
შემომკირკიტებდეს,შემოგკირკიტებდეს,შემოჰკირკიტებდეს,შემოგვკირკიტებდეს,შემოგკირკიტებდეთ,შემოჰკირკიტებდეს,
,შემოგკირკიტებდეთ,შემოვკირკიტებდეთ,,შემოგკირკიტებდეთ,შემოვკირკიტებდეთ,
შემომკირკიტებდეთ,,შემოჰკირკიტებდეთ,შემოგვკირკიტებდეთ,,შემოჰკირკიტებდეთ,
შემომკირკიტებდნენ,შემოგკირკიტებდნენ,შემოჰკირკიტებდნენ,შემოგვკირკიტებდნენ,შემოგკირკიტებდნენ,შემოჰკირკიტებდნენ,
