fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,შთაგაკლებ,შთავაკლებ,,შთაგაკლებთ,შთავაკლებ,
შთამაკლებ,,შთააკლებ,შთაგვაკლებ,,შთააკლებ,
შთამაკლებს,შთაგაკლებს,შთააკლებს,შთაგვაკლებს,შთაგაკლებთ,შთააკლებს,
,შთაგაკლებთ,შთავაკლებთ,,შთაგაკლებთ,შთავაკლებთ,
შთამაკლებთ,,შთააკლებთ,შთაგვაკლებთ,,შთააკლებთ,
შთამაკლებენ,შთაგაკლებენ,შთააკლებენ,შთაგვაკლებენ,შთაგაკლებენ,შთააკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,შთაგაკლებდი,შთავაკლებდი,,შთაგაკლებდით,შთავაკლებდი,
შთამაკლებდი,,შთააკლებდი,შთაგვაკლებდი,,შთააკლებდი,
შთამაკლებდა,შთაგაკლებდა,შთააკლებდა,შთაგვაკლებდა,შთაგაკლებდათ,შთააკლებდა,
,შთაგაკლებდით,შთავაკლებდით,,შთაგაკლებდით,შთავაკლებდით,
შთამაკლებდით,,შთააკლებდით,შთაგვაკლებდით,,შთააკლებდით,
შთამაკლებდნენ,შთაგაკლებდნენ,შთააკლებდნენ,შთაგვაკლებდნენ,შთაგაკლებდნენ,შთააკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,შთაგაკლებდე,შთავაკლებდე,,შთაგაკლებდეთ,შთავაკლებდე,
შთამაკლებდე,,შთააკლებდე,შთაგვაკლებდე,,შთააკლებდე,
შთამაკლებდეს,შთაგაკლებდეს,შთააკლებდეს,შთაგვაკლებდეს,შთაგაკლებდეთ,შთააკლებდეს,
,შთაგაკლებდეთ,შთავაკლებდეთ,,შთაგაკლებდეთ,შთავაკლებდეთ,
შთამაკლებდეთ,,შთააკლებდეთ,შთაგვაკლებდეთ,,შთააკლებდეთ,
შთამაკლებდნენ,შთაგაკლებდნენ,შთააკლებდნენ,შთაგვაკლებდნენ,შთაგაკლებდნენ,შთააკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,შთაგაკელი,შთავაკელი,,შთაგაკელით,შთავაკელი,
შთამაკელი,,შთააკელი,შთაგვაკელი,,შთააკელი,
