fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,შთაგაქებ,შთავაქებ,,შთაგაქებთ,შთავაქებ,
შთამაქებ,,შთააქებ,შთაგვაქებ,,შთააქებ,
შთამაქებს,შთაგაქებს,შთააქებს,შთაგვაქებს,შთაგაქებთ,შთააქებს,
,შთაგაქებთ,შთავაქებთ,,შთაგაქებთ,შთავაქებთ,
შთამაქებთ,,შთააქებთ,შთაგვაქებთ,,შთააქებთ,
შთამაქებენ,შთაგაქებენ,შთააქებენ,შთაგვაქებენ,შთაგაქებენ,შთააქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,შთაგაქებდი,შთავაქებდი,,შთაგაქებდით,შთავაქებდი,
შთამაქებდი,,შთააქებდი,შთაგვაქებდი,,შთააქებდი,
შთამაქებდა,შთაგაქებდა,შთააქებდა,შთაგვაქებდა,შთაგაქებდათ,შთააქებდა,
,შთაგაქებდით,შთავაქებდით,,შთაგაქებდით,შთავაქებდით,
შთამაქებდით,,შთააქებდით,შთაგვაქებდით,,შთააქებდით,
შთამაქებდნენ,შთაგაქებდნენ,შთააქებდნენ,შთაგვაქებდნენ,შთაგაქებდნენ,შთააქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,შთაგაქებდე,შთავაქებდე,,შთაგაქებდეთ,შთავაქებდე,
შთამაქებდე,,შთააქებდე,შთაგვაქებდე,,შთააქებდე,
შთამაქებდეს,შთაგაქებდეს,შთააქებდეს,შთაგვაქებდეს,შთაგაქებდეთ,შთააქებდეს,
,შთაგაქებდეთ,შთავაქებდეთ,,შთაგაქებდეთ,შთავაქებდეთ,
შთამაქებდეთ,,შთააქებდეთ,შთაგვაქებდეთ,,შთააქებდეთ,
შთამაქებდნენ,შთაგაქებდნენ,შთააქებდნენ,შთაგვაქებდნენ,შთაგაქებდნენ,შთააქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,შთაგაქე,შთავაქე,,შთაგაქეთ,შთავაქე,
შთამაქე,,შთააქე,შთაგვაქე,,შთააქე,
შთამაქო,შთაგაქო,შთააქო,შთაგვაქო,შთაგაქოთ,შთააქო,
,შთაგაქეთ,შთავაქეთ,,შთაგაქეთ,შთავაქეთ,
შთამაქეთ,,შთააქეთ,შთაგვაქეთ,,შთააქეთ,
შთამაქეს,შთაგაქეს,შთააქეს,შთაგვაქეს,შთაგაქეს,შთააქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,შთაგაქო,შთავაქო,,შთაგაქოთ,შთავაქო,
შთამაქო,,შთააქო,შთაგვაქო,,შთააქო,
შთამაქოს,შთაგაქოს,შთააქოს,შთაგვაქოს,შთაგაქოთ,შთააქოს,
,შთაგაქოთ,შთავაქოთ,,შთაგაქოთ,შთავაქოთ,
შთამაქოთ,,შთააქოთ,შთაგვაქოთ,,შთააქოთ,
შთამაქონ,შთაგაქონ,შთააქონ,შთაგვაქონ,შთაგაქონ,შთააქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,შთამიქიხარ,შთამიქია,,შთამიქიხართ,შთამიქია,
შთაგიქივარ,,შთაგიქია,შთაგიქივართ,,შთაგიქია,
შთავუქივარ,შთაუქიხარ,შთაუქია,შთავუქივართ,შთაუქიხართ,შთაუქია,
,შთაგვიქიხარ,შთაგვიქია,,შთაგვიქიხართ,შთაგვიქია,
შთაგიქივართ,,შთაგიქიათ,შთაგიქივართ,,შთაგიქიათ,
შთავუქივარ,შთაუქიხარ,შთაუქიათ,შთავუქივართ,შთაუქიხართ,შთაუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,შთამექე,შთამექო,,შთამექეთ,შთამექოთ,
შთაგექე,,შთაგექო,შთაგექეთ,,შთაგექოთ,
შთავექე,შთაექე,შთაექო,შთავექეთ,შთაექეთ,შთაექოთ,
,შთაგვექე,შთაგვექო,,შთაგვექეთ,შთაგვექოთ,
შთაგექეთ,,შთაგექოთ,შთაგექეთ,,შთაგექოთ,
შთავექე,შთაექე,შთაექოთ,შთავექეთ,შთაექეთ,შთაექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,შთამექო,შთამექოს,,შთამექოთ,შთამექოს,
შთაგექო,,შთაგექოს,შთაგექოთ,,შთაგექოს,
შთავექო,შთაექო,შთაექოს,შთავექოთ,შთაექოთ,შთაექოს,
,შთაგვექო,შთაგვექოს,,შთაგვექოთ,შთაგვექოს,
შთაგექოთ,,შთაგექოთ,შთაგექოთ,,შთაგექოთ,
შთავექო,შთაექო,შთაექოთ,შთავექოთ,შთაექოთ,შთაექოთ,
