fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,შთაგაწვენ,შთავაწვენ,,შთაგაწვენთ,შთავაწვენ,
შთამაწვენ,,შთააწვენ,შთაგვაწვენ,,შთააწვენ,
შთამაწვენს,შთაგაწვენს,შთააწვენს,შთაგვაწვენს,შთაგაწვენთ,შთააწვენს,
,შთაგაწვენთ,შთავაწვენთ,,შთაგაწვენთ,შთავაწვენთ,
შთამაწვენთ,,შთააწვენთ,შთაგვაწვენთ,,შთააწვენთ,
შთამაწვენენ,შთაგაწვენენ,შთააწვენენ,შთაგვაწვენენ,შთაგაწვენენ,შთააწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,შთაგაწვენდი,შთავაწვენდი,,შთაგაწვენდით,შთავაწვენდი,
შთამაწვენდი,,შთააწვენდი,შთაგვაწვენდი,,შთააწვენდი,
შთამაწვენდა,შთაგაწვენდა,შთააწვენდა,შთაგვაწვენდა,შთაგაწვენდათ,შთააწვენდა,
,შთაგაწვენდით,შთავაწვენდით,,შთაგაწვენდით,შთავაწვენდით,
შთამაწვენდით,,შთააწვენდით,შთაგვაწვენდით,,შთააწვენდით,
შთამაწვენდნენ,შთაგაწვენდნენ,შთააწვენდნენ,შთაგვაწვენდნენ,შთაგაწვენდნენ,შთააწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,შთაგაწვენდე,შთავაწვენდე,,შთაგაწვენდეთ,შთავაწვენდე,
შთამაწვენდე,,შთააწვენდე,შთაგვაწვენდე,,შთააწვენდე,
შთამაწვენდეს,შთაგაწვენდეს,შთააწვენდეს,შთაგვაწვენდეს,შთაგაწვენდეთ,შთააწვენდეს,
,შთაგაწვენდეთ,შთავაწვენდეთ,,შთაგაწვენდეთ,შთავაწვენდეთ,
შთამაწვენდეთ,,შთააწვენდეთ,შთაგვაწვენდეთ,,შთააწვენდეთ,
შთამაწვენდნენ,შთაგაწვენდნენ,შთააწვენდნენ,შთაგვაწვენდნენ,შთაგაწვენდნენ,შთააწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,შთაგაწვინე,შთავაწვინე,,შთაგაწვინეთ,შთავაწვინე,
შთამაწვინე,,შთააწვინე,შთაგვაწვინე,,შთააწვინე,
შთამაწვინა,შთაგაწვინა,შთააწვინა,შთაგვაწვინა,შთაგაწვინათ,შთააწვინა,
