fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,შთაგეწერები,შთავეწერები,,შთაგეწერებით,შთავეწერები,
შთამეწერები,,შთაეწერები,შთაგვეწერები,,შთაეწერები,
შთამეწერება,შთაგეწერება,შთაეწერება,შთაგვეწერება,შთაგეწერებათ,შთაეწერება,
,შთაგეწერებით,შთავეწერებით,,შთაგეწერებით,შთავეწერებით,
შთამეწერებით,,შთაეწერებით,შთაგვეწერებით,,შთაეწერებით,
შთამეწერებიან,შთაგეწერებიან,შთაეწერებიან,შთაგვეწერებიან,შთაგეწერებიან,შთაეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,შთაგეწერებოდი,შთავეწერებოდი,,შთაგეწერებოდით,შთავეწერებოდი,
შთამეწერებოდი,,შთაეწერებოდი,შთაგვეწერებოდი,,შთაეწერებოდი,
შთამეწერებოდა,შთაგეწერებოდა,შთაეწერებოდა,შთაგვეწერებოდა,შთაგეწერებოდათ,შთაეწერებოდა,
,შთაგეწერებოდით,შთავეწერებოდით,,შთაგეწერებოდით,შთავეწერებოდით,
შთამეწერებოდით,,შთაეწერებოდით,შთაგვეწერებოდით,,შთაეწერებოდით,
შთამეწერებოდნენ,შთაგეწერებოდნენ,შთაეწერებოდნენ,შთაგვეწერებოდნენ,შთაგეწერებოდნენ,შთაეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,შთაგეწერებოდე,შთავეწერებოდე,,შთაგეწერებოდეთ,შთავეწერებოდე,
შთამეწერებოდე,,შთაეწერებოდე,შთაგვეწერებოდე,,შთაეწერებოდე,
შთამეწერებოდეს,შთაგეწერებოდეს,შთაეწერებოდეს,შთაგვეწერებოდეს,შთაგეწერებოდეთ,შთაეწერებოდეს,
,შთაგეწერებოდეთ,შთავეწერებოდეთ,,შთაგეწერებოდეთ,შთავეწერებოდეთ,
შთამეწერებოდეთ,,შთაეწერებოდეთ,შთაგვეწერებოდეთ,,შთაეწერებოდეთ,
შთამეწერებოდნენ,შთაგეწერებოდნენ,შთაეწერებოდნენ,შთაგვეწერებოდნენ,შთაგეწერებოდნენ,შთაეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
