pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,შთაგკრავ,შთავკრავ,,შთაგკრავთ,შთავკრავ,
შთამკრავ,,შთაკრავ,შთაგვკრავ,,შთაკრავ,
შთამკრავს,შთაგკრავს,შთაკრავს,შთაგვკრავს,შთაგკრავთ,შთაკრავს,
,შთაგკრავთ,შთავკრავთ,,შთაგკრავთ,შთავკრავთ,
შთამკრავთ,,შთაკრავთ,შთაგვკრავთ,,შთაკრავთ,
შთამკრავენ,შთაგკრავენ,შთაკრავენ,შთაგვკრავენ,შთაგკრავენ,შთაკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,შთაგკრავდი,შთავკრავდი,,შთაგკრავდით,შთავკრავდი,
შთამკრავდი,,შთაკრავდი,შთაგვკრავდი,,შთაკრავდი,
შთამკრავდა,შთაგკრავდა,შთაკრავდა,შთაგვკრავდა,შთაგკრავდათ,შთაკრავდა,
,შთაგკრავდით,შთავკრავდით,,შთაგკრავდით,შთავკრავდით,
შთამკრავდით,,შთაკრავდით,შთაგვკრავდით,,შთაკრავდით,
შთამკრავდნენ,შთაგკრავდნენ,შთაკრავდნენ,შთაგვკრავდნენ,შთაგკრავდნენ,შთაკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,შთაგკრავდე,შთავკრავდე,,შთაგკრავდეთ,შთავკრავდე,
შთამკრავდე,,შთაკრავდე,შთაგვკრავდე,,შთაკრავდე,
შთამკრავდეს,შთაგკრავდეს,შთაკრავდეს,შთაგვკრავდეს,შთაგკრავდეთ,შთაკრავდეს,
,შთაგკრავდეთ,შთავკრავდეთ,,შთაგკრავდეთ,შთავკრავდეთ,
შთამკრავდეთ,,შთაკრავდეთ,შთაგვკრავდეთ,,შთაკრავდეთ,
შთამკრავდნენ,შთაგკრავდნენ,შთაკრავდნენ,შთაგვკრავდნენ,შთაგკრავდნენ,შთაკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
