pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,შთაგინანებ,შთავინანებ,,შთაგინანებთ,შთავინანებ,
შთამინანებ,,შთაინანებ,შთაგვინანებ,,შთაინანებ,
შთამინანებს,შთაგინანებს,შთაინანებს,შთაგვინანებს,შთაგინანებთ,შთაინანებს,
,შთაგინანებთ,შთავინანებთ,,შთაგინანებთ,შთავინანებთ,
შთამინანებთ,,შთაინანებთ,შთაგვინანებთ,,შთაინანებთ,
შთამინანებენ,შთაგინანებენ,შთაინანებენ,შთაგვინანებენ,შთაგინანებენ,შთაინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,შთაგინანებდი,შთავინანებდი,,შთაგინანებდით,შთავინანებდი,
შთამინანებდი,,შთაინანებდი,შთაგვინანებდი,,შთაინანებდი,
შთამინანებდა,შთაგინანებდა,შთაინანებდა,შთაგვინანებდა,შთაგინანებდათ,შთაინანებდა,
,შთაგინანებდით,შთავინანებდით,,შთაგინანებდით,შთავინანებდით,
შთამინანებდით,,შთაინანებდით,შთაგვინანებდით,,შთაინანებდით,
შთამინანებდნენ,შთაგინანებდნენ,შთაინანებდნენ,შთაგვინანებდნენ,შთაგინანებდნენ,შთაინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,შთაგინანებდე,შთავინანებდე,,შთაგინანებდეთ,შთავინანებდე,
შთამინანებდე,,შთაინანებდე,შთაგვინანებდე,,შთაინანებდე,
შთამინანებდეს,შთაგინანებდეს,შთაინანებდეს,შთაგვინანებდეს,შთაგინანებდეთ,შთაინანებდეს,
,შთაგინანებდეთ,შთავინანებდეთ,,შთაგინანებდეთ,შთავინანებდეთ,
შთამინანებდეთ,,შთაინანებდეთ,შთაგვინანებდეთ,,შთაინანებდეთ,
შთამინანებდნენ,შთაგინანებდნენ,შთაინანებდნენ,შთაგვინანებდნენ,შთაგინანებდნენ,შთაინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,შთაგინანე,შთავინანე,,შთაგინანეთ,შთავინანე,
