fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,შთაგითმენ,შთავუთმენ,,შთაგითმენთ,შთავუთმენ,
შთამითმენ,,შთაუთმენ,შთაგვითმენ,,შთაუთმენ,
შთამითმენს,შთაგითმენს,შთაუთმენს,შთაგვითმენს,შთაგითმენთ,შთაუთმენს,
,შთაგითმენთ,შთავუთმენთ,,შთაგითმენთ,შთავუთმენთ,
შთამითმენთ,,შთაუთმენთ,შთაგვითმენთ,,შთაუთმენთ,
შთამითმენენ,შთაგითმენენ,შთაუთმენენ,შთაგვითმენენ,შთაგითმენენ,შთაუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,შთაგითმენდი,შთავუთმენდი,,შთაგითმენდით,შთავუთმენდი,
შთამითმენდი,,შთაუთმენდი,შთაგვითმენდი,,შთაუთმენდი,
შთამითმენდა,შთაგითმენდა,შთაუთმენდა,შთაგვითმენდა,შთაგითმენდათ,შთაუთმენდა,
,შთაგითმენდით,შთავუთმენდით,,შთაგითმენდით,შთავუთმენდით,
შთამითმენდით,,შთაუთმენდით,შთაგვითმენდით,,შთაუთმენდით,
შთამითმენდნენ,შთაგითმენდნენ,შთაუთმენდნენ,შთაგვითმენდნენ,შთაგითმენდნენ,შთაუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,შთაგითმენდე,შთავუთმენდე,,შთაგითმენდეთ,შთავუთმენდე,
შთამითმენდე,,შთაუთმენდე,შთაგვითმენდე,,შთაუთმენდე,
შთამითმენდეს,შთაგითმენდეს,შთაუთმენდეს,შთაგვითმენდეს,შთაგითმენდეთ,შთაუთმენდეს,
,შთაგითმენდეთ,შთავუთმენდეთ,,შთაგითმენდეთ,შთავუთმენდეთ,
შთამითმენდეთ,,შთაუთმენდეთ,შთაგვითმენდეთ,,შთაუთმენდეთ,
შთამითმენდნენ,შთაგითმენდნენ,შთაუთმენდნენ,შთაგვითმენდნენ,შთაგითმენდნენ,შთაუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,შთაგითმინე,შთავუთმინე,,შთაგითმინეთ,შთავუთმინე,
შთამითმინე,,შთაუთმინე,შთაგვითმინე,,შთაუთმინე,
შთამითმინა,შთაგითმინა,შთაუთმინა,შთაგვითმინა,შთაგითმინათ,შთაუთმინა,
,შთაგითმინეთ,შთავუთმინეთ,,შთაგითმინეთ,შთავუთმინეთ,
შთამითმინეთ,,შთაუთმინეთ,შთაგვითმინეთ,,შთაუთმინეთ,
შთამითმინეს,შთაგითმინეს,შთაუთმინეს,შთაგვითმინეს,შთაგითმინეს,შთაუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,შთაგითმინო,შთავუთმინო,,შთაგითმინოთ,შთავუთმინო,
შთამითმინო,,შთაუთმინო,შთაგვითმინო,,შთაუთმინო,
შთამითმინოს,შთაგითმინოს,შთაუთმინოს,შთაგვითმინოს,შთაგითმინოთ,შთაუთმინოს,
,შთაგითმინოთ,შთავუთმინოთ,,შთაგითმინოთ,შთავუთმინოთ,
შთამითმინოთ,,შთაუთმინოთ,შთაგვითმინოთ,,შთაუთმინოთ,
შთამითმინონ,შთაგითმინონ,შთაუთმინონ,შთაგვითმინონ,შთაგითმინონ,შთაუთმინონ,
Iturm
