pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,შთაგჩქმეტ,შთავჩქმეტ,,შთაგჩქმეტთ,შთავჩქმეტ,
შთამჩქმეტ,,შთაჩქმეტ,შთაგვჩქმეტ,,შთაჩქმეტ,
შთამჩქმეტს,შთაგჩქმეტს,შთაჩქმეტს,შთაგვჩქმეტს,შთაგჩქმეტთ,შთაჩქმეტს,
,შთაგჩქმეტთ,შთავჩქმეტთ,,შთაგჩქმეტთ,შთავჩქმეტთ,
შთამჩქმეტთ,,შთაჩქმეტთ,შთაგვჩქმეტთ,,შთაჩქმეტთ,
შთამჩქმეტენ,შთაგჩქმეტენ,შთაჩქმეტენ,შთაგვჩქმეტენ,შთაგჩქმეტენ,შთაჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,შთაგჩქმეტდი,შთავჩქმეტდი,,შთაგჩქმეტდით,შთავჩქმეტდი,
შთამჩქმეტდი,,შთაჩქმეტდი,შთაგვჩქმეტდი,,შთაჩქმეტდი,
შთამჩქმეტდა,შთაგჩქმეტდა,შთაჩქმეტდა,შთაგვჩქმეტდა,შთაგჩქმეტდათ,შთაჩქმეტდა,
,შთაგჩქმეტდით,შთავჩქმეტდით,,შთაგჩქმეტდით,შთავჩქმეტდით,
შთამჩქმეტდით,,შთაჩქმეტდით,შთაგვჩქმეტდით,,შთაჩქმეტდით,
შთამჩქმეტდნენ,შთაგჩქმეტდნენ,შთაჩქმეტდნენ,შთაგვჩქმეტდნენ,შთაგჩქმეტდნენ,შთაჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
მიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,გვიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,
subj
