pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,შთაგცრი,შთავცრი,,შთაგცრით,შთავცრი,
შთამცრი,,შთაცრი,შთაგვცრი,,შთაცრი,
შთამცრის,შთაგცრის,შთაცრის,შთაგვცრის,შთაგცრით,შთაცრის,
,შთაგცრით,შთავცრით,,შთაგცრით,შთავცრით,
შთამცრით,,შთაცრით,შთაგვცრით,,შთაცრით,
შთამცრიან,შთაგცრიან,შთაცრიან,შთაგვცრიან,შთაგცრიან,შთაცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,შთაგცრიდი,შთავცრიდი,,შთაგცრიდით,შთავცრიდი,
შთამცრიდი,,შთაცრიდი,შთაგვცრიდი,,შთაცრიდი,
შთამცრიდა,შთაგცრიდა,შთაცრიდა,შთაგვცრიდა,შთაგცრიდათ,შთაცრიდა,
,შთაგცრიდით,შთავცრიდით,,შთაგცრიდით,შთავცრიდით,
შთამცრიდით,,შთაცრიდით,შთაგვცრიდით,,შთაცრიდით,
შთამცრიდნენ,შთაგცრიდნენ,შთაცრიდნენ,შთაგვცრიდნენ,შთაგცრიდნენ,შთაცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,შთაგცრიდე,შთავცრიდე,,შთაგცრიდეთ,შთავცრიდე,
შთამცრიდე,,შთაცრიდე,შთაგვცრიდე,,შთაცრიდე,
შთამცრიდეს,შთაგცრიდეს,შთაცრიდეს,შთაგვცრიდეს,შთაგცრიდეთ,შთაცრიდეს,
,შთაგცრიდეთ,შთავცრიდეთ,,შთაგცრიდეთ,შთავცრიდეთ,
შთამცრიდეთ,,შთაცრიდეთ,შთაგვცრიდეთ,,შთაცრიდეთ,
შთამცრიდნენ,შთაგცრიდნენ,შთაცრიდნენ,შთაგვცრიდნენ,შთაგცრიდნენ,შთაცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,შთაგცერი,შთავცერი,,შთაგცერით,შთავცერი,
შთამცერი,,შთაცერი,შთაგვცერი,,შთაცერი,
შთამცრა,შთაგცრა,შთაცრა,შთაგვცრა,შთაგცრათ,შთაცრა,
,შთაგცერით,შთავცერით,,შთაგცერით,შთავცერით,
შთამცერით,,შთაცერით,შთაგვცერით,,შთაცერით,
შთამცრეს,შთაგცრეს,შთაცრეს,შთაგვცრეს,შთაგცრეს,შთაცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,შთაგცრა,შთავცრა,,შთაგცრათ,შთავცრა,
შთამცრა,,შთაცრა,შთაგვცრა,,შთაცრა,
შთამცრას,შთაგცრას,შთაცრას,შთაგვცრას,შთაგცრათ,შთაცრას,
,შთაგცრათ,შთავცრათ,,შთაგცრათ,შთავცრათ,
შთამცრათ,,შთაცრათ,შთაგვცრათ,,შთაცრათ,
შთამცრან,შთაგცრან,შთაცრან,შთაგვცრან,შთაგცრან,შთაცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,შთამიცრიხარ,შთამიცრია,,შთამიცრიხართ,შთამიცრია,
შთაგიცრივარ,,შთაგიცრია,შთაგიცრივართ,,შთაგიცრია,
შთავუცრივარ,შთაუცრიხარ,შთაუცრია,შთავუცრივართ,შთაუცრიხართ,შთაუცრია,
,შთაგვიცრიხარ,შთაგვიცრია,,შთაგვიცრიხართ,შთაგვიცრია,
შთაგიცრივართ,,შთაგიცრიათ,შთაგიცრივართ,,შთაგიცრიათ,
შთავუცრივარ,შთაუცრიხარ,შთაუცრიათ,შთავუცრივართ,შთაუცრიხართ,შთაუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,შთამეცერი,შთამეცრა,,შთამეცერით,შთამეცრა,
შთაგეცერი,,შთაგეცრა,შთაგეცერით,,შთაგეცრა,
შთავეცერი,შთაეცერი,შთაეცრა,შთავეცერით,შთაეცერით,შთაეცრა,
,შთაგვეცერი,შთაგვეცრა,,შთაგვეცერით,შთაგვეცრა,
შთაგეცერით,,შთაგეცრათ,შთაგეცერით,,შთაგეცრათ,
შთავეცერი,შთაეცერი,შთაეცრათ,შთავეცერით,შთაეცერით,შთაეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,შთამეცრა,შთამეცრას,,შთამეცრათ,შთამეცრას,
შთაგეცრა,,შთაგეცრას,შთაგეცრათ,,შთაგეცრას,
შთავეცრა,შთაეცრა,შთაეცრას,შთავეცრათ,შთაეცრათ,შთაეცრას,
,შთაგვეცრა,შთაგვეცრას,,შთაგვეცრათ,შთაგვეცრას,
შთაგეცრათ,,შთაგეცრათ,შთაგეცრათ,,შთაგეცრათ,
შთავეცრა,შთაეცრა,შთაეცრათ,შთავეცრათ,შთაეცრათ,შთაეცრათ,
