fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,შთამოგაგზავნი,შთამოვაგზავნი,,შთამოგაგზავნით,შთამოვაგზავნი,
შთამომაგზავნი,,შთამოაგზავნი,შთამოგვაგზავნი,,შთამოაგზავნი,
შთამომაგზავნის,შთამოგაგზავნის,შთამოაგზავნის,შთამოგვაგზავნის,შთამოგაგზავნით,შთამოაგზავნის,
,შთამოგაგზავნით,შთამოვაგზავნით,,შთამოგაგზავნით,შთამოვაგზავნით,
შთამომაგზავნით,,შთამოაგზავნით,შთამოგვაგზავნით,,შთამოაგზავნით,
შთამომაგზავნიან,შთამოგაგზავნიან,შთამოაგზავნიან,შთამოგვაგზავნიან,შთამოგაგზავნიან,შთამოაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,შთამოგაგზავნიდი,შთამოვაგზავნიდი,,შთამოგაგზავნიდით,შთამოვაგზავნიდი,
შთამომაგზავნიდი,,შთამოაგზავნიდი,შთამოგვაგზავნიდი,,შთამოაგზავნიდი,
შთამომაგზავნიდა,შთამოგაგზავნიდა,შთამოაგზავნიდა,შთამოგვაგზავნიდა,შთამოგაგზავნიდათ,შთამოაგზავნიდა,
,შთამოგაგზავნიდით,შთამოვაგზავნიდით,,შთამოგაგზავნიდით,შთამოვაგზავნიდით,
შთამომაგზავნიდით,,შთამოაგზავნიდით,შთამოგვაგზავნიდით,,შთამოაგზავნიდით,
შთამომაგზავნიდნენ,შთამოგაგზავნიდნენ,შთამოაგზავნიდნენ,შთამოგვაგზავნიდნენ,შთამოგაგზავნიდნენ,შთამოაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,შთამოგაგზავნიდე,შთამოვაგზავნიდე,,შთამოგაგზავნიდეთ,შთამოვაგზავნიდე,
შთამომაგზავნიდე,,შთამოაგზავნიდე,შთამოგვაგზავნიდე,,შთამოაგზავნიდე,
შთამომაგზავნიდეს,შთამოგაგზავნიდეს,შთამოაგზავნიდეს,შთამოგვაგზავნიდეს,შთამოგაგზავნიდეთ,შთამოაგზავნიდეს,
,შთამოგაგზავნიდეთ,შთამოვაგზავნიდეთ,,შთამოგაგზავნიდეთ,შთამოვაგზავნიდეთ,
შთამომაგზავნიდეთ,,შთამოაგზავნიდეთ,შთამოგვაგზავნიდეთ,,შთამოაგზავნიდეთ,
შთამომაგზავნიდნენ,შთამოგაგზავნიდნენ,შთამოაგზავნიდნენ,შთამოგვაგზავნიდნენ,შთამოგაგზავნიდნენ,შთამოაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,შთამოგაგზავნე,შთამოვაგზავნე,,შთამოგაგზავნეთ,შთამოვაგზავნე,
შთამომაგზავნე,,შთამოაგზავნე,შთამოგვაგზავნე,,შთამოაგზავნე,
შთამომაგზავნა,შთამოგაგზავნა,შთამოაგზავნა,შთამოგვაგზავნა,შთამოგაგზავნათ,შთამოაგზავნა,
,შთამოგაგზავნეთ,შთამოვაგზავნეთ,,შთამოგაგზავნეთ,შთამოვაგზავნეთ,
შთამომაგზავნეთ,,შთამოაგზავნეთ,შთამოგვაგზავნეთ,,შთამოაგზავნეთ,
შთამომაგზავნეს,შთამოგაგზავნეს,შთამოაგზავნეს,შთამოგვაგზავნეს,შთამოგაგზავნეს,შთამოაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,შთამოგაგზავნო,შთამოვაგზავნო,,შთამოგაგზავნოთ,შთამოვაგზავნო,
შთამომაგზავნო,,შთამოაგზავნო,შთამოგვაგზავნო,,შთამოაგზავნო,
შთამომაგზავნოს,შთამოგაგზავნოს,შთამოაგზავნოს,შთამოგვაგზავნოს,შთამოგაგზავნოთ,შთამოაგზავნოს,
,შთამოგაგზავნოთ,შთამოვაგზავნოთ,,შთამოგაგზავნოთ,შთამოვაგზავნოთ,
შთამომაგზავნოთ,,შთამოაგზავნოთ,შთამოგვაგზავნოთ,,შთამოაგზავნოთ,
შთამომაგზავნონ,შთამოგაგზავნონ,შთამოაგზავნონ,შთამოგვაგზავნონ,შთამოგაგზავნონ,შთამოაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
