fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,შთამოგაკლებ,შთამოვაკლებ,,შთამოგაკლებთ,შთამოვაკლებ,
შთამომაკლებ,,შთამოაკლებ,შთამოგვაკლებ,,შთამოაკლებ,
შთამომაკლებს,შთამოგაკლებს,შთამოაკლებს,შთამოგვაკლებს,შთამოგაკლებთ,შთამოაკლებს,
,შთამოგაკლებთ,შთამოვაკლებთ,,შთამოგაკლებთ,შთამოვაკლებთ,
შთამომაკლებთ,,შთამოაკლებთ,შთამოგვაკლებთ,,შთამოაკლებთ,
შთამომაკლებენ,შთამოგაკლებენ,შთამოაკლებენ,შთამოგვაკლებენ,შთამოგაკლებენ,შთამოაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,შთამოგაკლებდი,შთამოვაკლებდი,,შთამოგაკლებდით,შთამოვაკლებდი,
შთამომაკლებდი,,შთამოაკლებდი,შთამოგვაკლებდი,,შთამოაკლებდი,
შთამომაკლებდა,შთამოგაკლებდა,შთამოაკლებდა,შთამოგვაკლებდა,შთამოგაკლებდათ,შთამოაკლებდა,
,შთამოგაკლებდით,შთამოვაკლებდით,,შთამოგაკლებდით,შთამოვაკლებდით,
შთამომაკლებდით,,შთამოაკლებდით,შთამოგვაკლებდით,,შთამოაკლებდით,
შთამომაკლებდნენ,შთამოგაკლებდნენ,შთამოაკლებდნენ,შთამოგვაკლებდნენ,შთამოგაკლებდნენ,შთამოაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,შთამოგაკლებდე,შთამოვაკლებდე,,შთამოგაკლებდეთ,შთამოვაკლებდე,
შთამომაკლებდე,,შთამოაკლებდე,შთამოგვაკლებდე,,შთამოაკლებდე,
შთამომაკლებდეს,შთამოგაკლებდეს,შთამოაკლებდეს,შთამოგვაკლებდეს,შთამოგაკლებდეთ,შთამოაკლებდეს,
,შთამოგაკლებდეთ,შთამოვაკლებდეთ,,შთამოგაკლებდეთ,შთამოვაკლებდეთ,
შთამომაკლებდეთ,,შთამოაკლებდეთ,შთამოგვაკლებდეთ,,შთამოაკლებდეთ,
შთამომაკლებდნენ,შთამოგაკლებდნენ,შთამოაკლებდნენ,შთამოგვაკლებდნენ,შთამოგაკლებდნენ,შთამოაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
