fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,შთამოგარწევ,შთამოვარწევ,,შთამოგარწევთ,შთამოვარწევ,
შთამომარწევ,,შთამოარწევ,შთამოგვარწევ,,შთამოარწევ,
შთამომარწევს,შთამოგარწევს,შთამოარწევს,შთამოგვარწევს,შთამოგარწევთ,შთამოარწევს,
,შთამოგარწევთ,შთამოვარწევთ,,შთამოგარწევთ,შთამოვარწევთ,
შთამომარწევთ,,შთამოარწევთ,შთამოგვარწევთ,,შთამოარწევთ,
შთამომარწევენ,შთამოგარწევენ,შთამოარწევენ,შთამოგვარწევენ,შთამოგარწევენ,შთამოარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,შთამოგარწევდი,შთამოვარწევდი,,შთამოგარწევდით,შთამოვარწევდი,
შთამომარწევდი,,შთამოარწევდი,შთამოგვარწევდი,,შთამოარწევდი,
შთამომარწევდა,შთამოგარწევდა,შთამოარწევდა,შთამოგვარწევდა,შთამოგარწევდათ,შთამოარწევდა,
,შთამოგარწევდით,შთამოვარწევდით,,შთამოგარწევდით,შთამოვარწევდით,
შთამომარწევდით,,შთამოარწევდით,შთამოგვარწევდით,,შთამოარწევდით,
შთამომარწევდნენ,შთამოგარწევდნენ,შთამოარწევდნენ,შთამოგვარწევდნენ,შთამოგარწევდნენ,შთამოარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,შთამოგარწევდე,შთამოვარწევდე,,შთამოგარწევდეთ,შთამოვარწევდე,
შთამომარწევდე,,შთამოარწევდე,შთამოგვარწევდე,,შთამოარწევდე,
შთამომარწევდეს,შთამოგარწევდეს,შთამოარწევდეს,შთამოგვარწევდეს,შთამოგარწევდეთ,შთამოარწევდეს,
,შთამოგარწევდეთ,შთამოვარწევდეთ,,შთამოგარწევდეთ,შთამოვარწევდეთ,
შთამომარწევდეთ,,შთამოარწევდეთ,შთამოგვარწევდეთ,,შთამოარწევდეთ,
შთამომარწევდნენ,შთამოგარწევდნენ,შთამოარწევდნენ,შთამოგვარწევდნენ,შთამოგარწევდნენ,შთამოარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
