fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,შთამოგაშენებ,შთამოვაშენებ,,შთამოგაშენებთ,შთამოვაშენებ,
შთამომაშენებ,,შთამოაშენებ,შთამოგვაშენებ,,შთამოაშენებ,
შთამომაშენებს,შთამოგაშენებს,შთამოაშენებს,შთამოგვაშენებს,შთამოგაშენებთ,შთამოაშენებს,
,შთამოგაშენებთ,შთამოვაშენებთ,,შთამოგაშენებთ,შთამოვაშენებთ,
შთამომაშენებთ,,შთამოაშენებთ,შთამოგვაშენებთ,,შთამოაშენებთ,
შთამომაშენებენ,შთამოგაშენებენ,შთამოაშენებენ,შთამოგვაშენებენ,შთამოგაშენებენ,შთამოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,შთამოგაშენებდი,შთამოვაშენებდი,,შთამოგაშენებდით,შთამოვაშენებდი,
შთამომაშენებდი,,შთამოაშენებდი,შთამოგვაშენებდი,,შთამოაშენებდი,
შთამომაშენებდა,შთამოგაშენებდა,შთამოაშენებდა,შთამოგვაშენებდა,შთამოგაშენებდათ,შთამოაშენებდა,
,შთამოგაშენებდით,შთამოვაშენებდით,,შთამოგაშენებდით,შთამოვაშენებდით,
შთამომაშენებდით,,შთამოაშენებდით,შთამოგვაშენებდით,,შთამოაშენებდით,
შთამომაშენებდნენ,შთამოგაშენებდნენ,შთამოაშენებდნენ,შთამოგვაშენებდნენ,შთამოგაშენებდნენ,შთამოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,შთამოგაშენებდე,შთამოვაშენებდე,,შთამოგაშენებდეთ,შთამოვაშენებდე,
შთამომაშენებდე,,შთამოაშენებდე,შთამოგვაშენებდე,,შთამოაშენებდე,
შთამომაშენებდეს,შთამოგაშენებდეს,შთამოაშენებდეს,შთამოგვაშენებდეს,შთამოგაშენებდეთ,შთამოაშენებდეს,
,შთამოგაშენებდეთ,შთამოვაშენებდეთ,,შთამოგაშენებდეთ,შთამოვაშენებდეთ,
შთამომაშენებდეთ,,შთამოაშენებდეთ,შთამოგვაშენებდეთ,,შთამოაშენებდეთ,
შთამომაშენებდნენ,შთამოგაშენებდნენ,შთამოაშენებდნენ,შთამოგვაშენებდნენ,შთამოგაშენებდნენ,შთამოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,შთამოგაშენე,შთამოვაშენე,,შთამოგაშენეთ,შთამოვაშენე,
შთამომაშენე,,შთამოაშენე,შთამოგვაშენე,,შთამოაშენე,
შთამომაშენა,შთამოგაშენა,შთამოაშენა,შთამოგვაშენა,შთამოგაშენათ,შთამოაშენა,
,შთამოგაშენეთ,შთამოვაშენეთ,,შთამოგაშენეთ,შთამოვაშენეთ,
შთამომაშენეთ,,შთამოაშენეთ,შთამოგვაშენეთ,,შთამოაშენეთ,
შთამომაშენეს,შთამოგაშენეს,შთამოაშენეს,შთამოგვაშენეს,შთამოგაშენეს,შთამოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,შთამოგაშენო,შთამოვაშენო,,შთამოგაშენოთ,შთამოვაშენო,
შთამომაშენო,,შთამოაშენო,შთამოგვაშენო,,შთამოაშენო,
შთამომაშენოს,შთამოგაშენოს,შთამოაშენოს,შთამოგვაშენოს,შთამოგაშენოთ,შთამოაშენოს,
,შთამოგაშენოთ,შთამოვაშენოთ,,შთამოგაშენოთ,შთამოვაშენოთ,
შთამომაშენოთ,,შთამოაშენოთ,შთამოგვაშენოთ,,შთამოაშენოთ,
შთამომაშენონ,შთამოგაშენონ,შთამოაშენონ,შთამოგვაშენონ,შთამოგაშენონ,შთამოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,შთამომიშენებიხარ,შთამომიშენებია,,შთამომიშენებიხართ,შთამომიშენებია,
შთამოგიშენებივარ,,შთამოგიშენებია,შთამოგიშენებივართ,,შთამოგიშენებია,
შთამოვუშენებივარ,შთამოუშენებიხარ,შთამოუშენებია,შთამოვუშენებივართ,შთამოუშენებიხართ,შთამოუშენებია,
,შთამოგვიშენებიხარ,შთამოგვიშენებია,,შთამოგვიშენებიხართ,შთამოგვიშენებია,
შთამოგიშენებივართ,,შთამოგიშენებიათ,შთამოგიშენებივართ,,შთამოგიშენებიათ,
შთამოვუშენებივარ,შთამოუშენებიხარ,შთამოუშენებიათ,შთამოვუშენებივართ,შთამოუშენებიხართ,შთამოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,შთამომეშენებინე,შთამომეშენებინა,,შთამომეშენებინეთ,შთამომეშენებინა,
შთამოგეშენებინე,,შთამოგეშენებინა,შთამოგეშენებინეთ,,შთამოგეშენებინა,
შთამოვეშენებინე,შთამოეშენებინე,შთამოეშენებინა,შთამოვეშენებინეთ,შთამოეშენებინეთ,შთამოეშენებინა,
,შთამოგვეშენებინე,შთამოგვეშენებინა,,შთამოგვეშენებინეთ,შთამოგვეშენებინა,
შთამოგეშენებინეთ,,შთამოგეშენებინათ,შთამოგეშენებინეთ,,შთამოგეშენებინათ,
შთამოვეშენებინე,შთამოეშენებინე,შთამოეშენებინათ,შთამოვეშენებინეთ,შთამოეშენებინეთ,შთამოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,შთამომეშენებინო,შთამომეშენებინოს,,შთამომეშენებინოთ,შთამომეშენებინოს,
შთამოგეშენებინო,,შთამოგეშენებინოს,შთამოგეშენებინოთ,,შთამოგეშენებინოს,
შთამოვეშენებინო,შთამოეშენებინო,შთამოეშენებინოს,შთამოვეშენებინოთ,შთამოეშენებინოთ,შთამოეშენებინოს,
,შთამოგვეშენებინო,შთამოგვეშენებინოს,,შთამოგვეშენებინოთ,შთამოგვეშენებინოს,
შთამოგეშენებინოთ,,შთამოგეშენებინოთ,შთამოგეშენებინოთ,,შთამოგეშენებინოთ,
