fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,შთამოგაწვენ,შთამოვაწვენ,,შთამოგაწვენთ,შთამოვაწვენ,
შთამომაწვენ,,შთამოაწვენ,შთამოგვაწვენ,,შთამოაწვენ,
შთამომაწვენს,შთამოგაწვენს,შთამოაწვენს,შთამოგვაწვენს,შთამოგაწვენთ,შთამოაწვენს,
,შთამოგაწვენთ,შთამოვაწვენთ,,შთამოგაწვენთ,შთამოვაწვენთ,
შთამომაწვენთ,,შთამოაწვენთ,შთამოგვაწვენთ,,შთამოაწვენთ,
შთამომაწვენენ,შთამოგაწვენენ,შთამოაწვენენ,შთამოგვაწვენენ,შთამოგაწვენენ,შთამოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,შთამოგაწვენდი,შთამოვაწვენდი,,შთამოგაწვენდით,შთამოვაწვენდი,
შთამომაწვენდი,,შთამოაწვენდი,შთამოგვაწვენდი,,შთამოაწვენდი,
შთამომაწვენდა,შთამოგაწვენდა,შთამოაწვენდა,შთამოგვაწვენდა,შთამოგაწვენდათ,შთამოაწვენდა,
,შთამოგაწვენდით,შთამოვაწვენდით,,შთამოგაწვენდით,შთამოვაწვენდით,
შთამომაწვენდით,,შთამოაწვენდით,შთამოგვაწვენდით,,შთამოაწვენდით,
შთამომაწვენდნენ,შთამოგაწვენდნენ,შთამოაწვენდნენ,შთამოგვაწვენდნენ,შთამოგაწვენდნენ,შთამოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,შთამოგაწვენდე,შთამოვაწვენდე,,შთამოგაწვენდეთ,შთამოვაწვენდე,
შთამომაწვენდე,,შთამოაწვენდე,შთამოგვაწვენდე,,შთამოაწვენდე,
შთამომაწვენდეს,შთამოგაწვენდეს,შთამოაწვენდეს,შთამოგვაწვენდეს,შთამოგაწვენდეთ,შთამოაწვენდეს,
,შთამოგაწვენდეთ,შთამოვაწვენდეთ,,შთამოგაწვენდეთ,შთამოვაწვენდეთ,
შთამომაწვენდეთ,,შთამოაწვენდეთ,შთამოგვაწვენდეთ,,შთამოაწვენდეთ,
შთამომაწვენდნენ,შთამოგაწვენდნენ,შთამოაწვენდნენ,შთამოგვაწვენდნენ,შთამოგაწვენდნენ,შთამოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,შთამოგაწვინე,შთამოვაწვინე,,შთამოგაწვინეთ,შთამოვაწვინე,
