fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,შთამოგაჭერ,შთამოვაჭერ,,შთამოგაჭერთ,შთამოვაჭერ,
შთამომაჭერ,,შთამოაჭერ,შთამოგვაჭერ,,შთამოაჭერ,
შთამომაჭერს,შთამოგაჭერს,შთამოაჭერს,შთამოგვაჭერს,შთამოგაჭერთ,შთამოაჭერს,
,შთამოგაჭერთ,შთამოვაჭერთ,,შთამოგაჭერთ,შთამოვაჭერთ,
შთამომაჭერთ,,შთამოაჭერთ,შთამოგვაჭერთ,,შთამოაჭერთ,
შთამომაჭერენ,შთამოგაჭერენ,შთამოაჭერენ,შთამოგვაჭერენ,შთამოგაჭერენ,შთამოაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,შთამოგაჭერდი,შთამოვაჭერდი,,შთამოგაჭერდით,შთამოვაჭერდი,
შთამომაჭერდი,,შთამოაჭერდი,შთამოგვაჭერდი,,შთამოაჭერდი,
შთამომაჭერდა,შთამოგაჭერდა,შთამოაჭერდა,შთამოგვაჭერდა,შთამოგაჭერდათ,შთამოაჭერდა,
,შთამოგაჭერდით,შთამოვაჭერდით,,შთამოგაჭერდით,შთამოვაჭერდით,
შთამომაჭერდით,,შთამოაჭერდით,შთამოგვაჭერდით,,შთამოაჭერდით,
შთამომაჭერდნენ,შთამოგაჭერდნენ,შთამოაჭერდნენ,შთამოგვაჭერდნენ,შთამოგაჭერდნენ,შთამოაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,შთამოგაჭერდე,შთამოვაჭერდე,,შთამოგაჭერდეთ,შთამოვაჭერდე,
შთამომაჭერდე,,შთამოაჭერდე,შთამოგვაჭერდე,,შთამოაჭერდე,
შთამომაჭერდეს,შთამოგაჭერდეს,შთამოაჭერდეს,შთამოგვაჭერდეს,შთამოგაჭერდეთ,შთამოაჭერდეს,
,შთამოგაჭერდეთ,შთამოვაჭერდეთ,,შთამოგაჭერდეთ,შთამოვაჭერდეთ,
შთამომაჭერდეთ,,შთამოაჭერდეთ,შთამოგვაჭერდეთ,,შთამოაჭერდეთ,
შთამომაჭერდნენ,შთამოგაჭერდნენ,შთამოაჭერდნენ,შთამოგვაჭერდნენ,შთამოგაჭერდნენ,შთამოაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,შთამოგაჭირე,შთამოვაჭირე,,შთამოგაჭირეთ,შთამოვაჭირე,
შთამომაჭირე,,შთამოაჭირე,შთამოგვაჭირე,,შთამოაჭირე,
შთამომაჭირა,შთამოგაჭირა,შთამოაჭირა,შთამოგვაჭირა,შთამოგაჭირათ,შთამოაჭირა,
,შთამოგაჭირეთ,შთამოვაჭირეთ,,შთამოგაჭირეთ,შთამოვაჭირეთ,
შთამომაჭირეთ,,შთამოაჭირეთ,შთამოგვაჭირეთ,,შთამოაჭირეთ,
შთამომაჭირეს,შთამოგაჭირეს,შთამოაჭირეს,შთამოგვაჭირეს,შთამოგაჭირეს,შთამოაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,შთამოგაჭირო,შთამოვაჭირო,,შთამოგაჭიროთ,შთამოვაჭირო,
შთამომაჭირო,,შთამოაჭირო,შთამოგვაჭირო,,შთამოაჭირო,
შთამომაჭიროს,შთამოგაჭიროს,შთამოაჭიროს,შთამოგვაჭიროს,შთამოგაჭიროთ,შთამოაჭიროს,
,შთამოგაჭიროთ,შთამოვაჭიროთ,,შთამოგაჭიროთ,შთამოვაჭიროთ,
შთამომაჭიროთ,,შთამოაჭიროთ,შთამოგვაჭიროთ,,შთამოაჭიროთ,
შთამომაჭირონ,შთამოგაჭირონ,შთამოაჭირონ,შთამოგვაჭირონ,შთამოგაჭირონ,შთამოაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,შთამომიჭერიხარ,შთამომიჭერია,,შთამომიჭერიხართ,შთამომიჭერია,
შთამოგიჭერივარ,,შთამოგიჭერია,შთამოგიჭერივართ,,შთამოგიჭერია,
შთამოვუჭერივარ,შთამოუჭერიხარ,შთამოუჭერია,შთამოვუჭერივართ,შთამოუჭერიხართ,შთამოუჭერია,
,შთამოგვიჭერიხარ,შთამოგვიჭერია,,შთამოგვიჭერიხართ,შთამოგვიჭერია,
შთამოგიჭერივართ,,შთამოგიჭერიათ,შთამოგიჭერივართ,,შთამოგიჭერიათ,
შთამოვუჭერივარ,შთამოუჭერიხარ,შთამოუჭერიათ,შთამოვუჭერივართ,შთამოუჭერიხართ,შთამოუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,შთამომეჭირე,შთამომეჭირა,,შთამომეჭირეთ,შთამომეჭირა,
შთამოგეჭირე,,შთამოგეჭირა,შთამოგეჭირეთ,,შთამოგეჭირა,
შთამოვეჭირე,შთამოეჭირე,შთამოეჭირა,შთამოვეჭირეთ,შთამოეჭირეთ,შთამოეჭირა,
,შთამოგვეჭირე,შთამოგვეჭირა,,შთამოგვეჭირეთ,შთამოგვეჭირა,
შთამოგეჭირეთ,,შთამოგეჭირათ,შთამოგეჭირეთ,,შთამოგეჭირათ,
შთამოვეჭირე,შთამოეჭირე,შთამოეჭირათ,შთამოვეჭირეთ,შთამოეჭირეთ,შთამოეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,შთამომეჭირო,შთამომეჭიროს,,შთამომეჭიროთ,შთამომეჭიროს,
შთამოგეჭირო,,შთამოგეჭიროს,შთამოგეჭიროთ,,შთამოგეჭიროს,
შთამოვეჭირო,შთამოეჭირო,შთამოეჭიროს,შთამოვეჭიროთ,შთამოეჭიროთ,შთამოეჭიროს,
,შთამოგვეჭირო,შთამოგვეჭიროს,,შთამოგვეჭიროთ,შთამოგვეჭიროს,
შთამოგეჭიროთ,,შთამოგეჭიროთ,შთამოგეჭიროთ,,შთამოგეჭიროთ,
შთამოვეჭირო,შთამოეჭირო,შთამოეჭიროთ,შთამოვეჭიროთ,შთამოეჭიროთ,შთამოეჭიროთ,
