fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,შთამოგეწერები,შთამოვეწერები,,შთამოგეწერებით,შთამოვეწერები,
შთამომეწერები,,შთამოეწერები,შთამოგვეწერები,,შთამოეწერები,
შთამომეწერება,შთამოგეწერება,შთამოეწერება,შთამოგვეწერება,შთამოგეწერებათ,შთამოეწერება,
,შთამოგეწერებით,შთამოვეწერებით,,შთამოგეწერებით,შთამოვეწერებით,
შთამომეწერებით,,შთამოეწერებით,შთამოგვეწერებით,,შთამოეწერებით,
შთამომეწერებიან,შთამოგეწერებიან,შთამოეწერებიან,შთამოგვეწერებიან,შთამოგეწერებიან,შთამოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,შთამოგეწერებოდი,შთამოვეწერებოდი,,შთამოგეწერებოდით,შთამოვეწერებოდი,
შთამომეწერებოდი,,შთამოეწერებოდი,შთამოგვეწერებოდი,,შთამოეწერებოდი,
შთამომეწერებოდა,შთამოგეწერებოდა,შთამოეწერებოდა,შთამოგვეწერებოდა,შთამოგეწერებოდათ,შთამოეწერებოდა,
,შთამოგეწერებოდით,შთამოვეწერებოდით,,შთამოგეწერებოდით,შთამოვეწერებოდით,
შთამომეწერებოდით,,შთამოეწერებოდით,შთამოგვეწერებოდით,,შთამოეწერებოდით,
შთამომეწერებოდნენ,შთამოგეწერებოდნენ,შთამოეწერებოდნენ,შთამოგვეწერებოდნენ,შთამოგეწერებოდნენ,შთამოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,შთამოგეწერებოდე,შთამოვეწერებოდე,,შთამოგეწერებოდეთ,შთამოვეწერებოდე,
შთამომეწერებოდე,,შთამოეწერებოდე,შთამოგვეწერებოდე,,შთამოეწერებოდე,
შთამომეწერებოდეს,შთამოგეწერებოდეს,შთამოეწერებოდეს,შთამოგვეწერებოდეს,შთამოგეწერებოდეთ,შთამოეწერებოდეს,
,შთამოგეწერებოდეთ,შთამოვეწერებოდეთ,,შთამოგეწერებოდეთ,შთამოვეწერებოდეთ,
შთამომეწერებოდეთ,,შთამოეწერებოდეთ,შთამოგვეწერებოდეთ,,შთამოეწერებოდეთ,
შთამომეწერებოდნენ,შთამოგეწერებოდნენ,შთამოეწერებოდნენ,შთამოგვეწერებოდნენ,შთამოგეწერებოდნენ,შთამოეწერებოდნენ,
aor2
