pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,შთამოგზრდი,შთამოვზრდი,,შთამოგზრდით,შთამოვზრდი,
შთამომზრდი,,შთამოზრდი,შთამოგვზრდი,,შთამოზრდი,
შთამომზრდის,შთამოგზრდის,შთამოზრდის,შთამოგვზრდის,შთამოგზრდით,შთამოზრდის,
,შთამოგზრდით,შთამოვზრდით,,შთამოგზრდით,შთამოვზრდით,
შთამომზრდით,,შთამოზრდით,შთამოგვზრდით,,შთამოზრდით,
შთამომზრდიან,შთამოგზრდიან,შთამოზრდიან,შთამოგვზრდიან,შთამოგზრდიან,შთამოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,შთამოგზრდიდი,შთამოვზრდიდი,,შთამოგზრდიდით,შთამოვზრდიდი,
შთამომზრდიდი,,შთამოზრდიდი,შთამოგვზრდიდი,,შთამოზრდიდი,
შთამომზრდიდა,შთამოგზრდიდა,შთამოზრდიდა,შთამოგვზრდიდა,შთამოგზრდიდათ,შთამოზრდიდა,
,შთამოგზრდიდით,შთამოვზრდიდით,,შთამოგზრდიდით,შთამოვზრდიდით,
შთამომზრდიდით,,შთამოზრდიდით,შთამოგვზრდიდით,,შთამოზრდიდით,
შთამომზრდიდნენ,შთამოგზრდიდნენ,შთამოზრდიდნენ,შთამოგვზრდიდნენ,შთამოგზრდიდნენ,შთამოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,შთამოგზრდიდე,შთამოვზრდიდე,,შთამოგზრდიდეთ,შთამოვზრდიდე,
შთამომზრდიდე,,შთამოზრდიდე,შთამოგვზრდიდე,,შთამოზრდიდე,
შთამომზრდიდეს,შთამოგზრდიდეს,შთამოზრდიდეს,შთამოგვზრდიდეს,შთამოგზრდიდეთ,შთამოზრდიდეს,
,შთამოგზრდიდეთ,შთამოვზრდიდეთ,,შთამოგზრდიდეთ,შთამოვზრდიდეთ,
შთამომზრდიდეთ,,შთამოზრდიდეთ,შთამოგვზრდიდეთ,,შთამოზრდიდეთ,
შთამომზრდიდნენ,შთამოგზრდიდნენ,შთამოზრდიდნენ,შთამოგვზრდიდნენ,შთამოგზრდიდნენ,შთამოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,შთამოგზარდე,შთამოვზარდე,,შთამოგზარდეთ,შთამოვზარდე,
შთამომზარდე,,შთამოზარდე,შთამოგვზარდე,,შთამოზარდე,
შთამომზარდა,შთამოგზარდა,შთამოზარდა,შთამოგვზარდა,შთამოგზარდათ,შთამოზარდა,
,შთამოგზარდეთ,შთამოვზარდეთ,,შთამოგზარდეთ,შთამოვზარდეთ,
შთამომზარდეთ,,შთამოზარდეთ,შთამოგვზარდეთ,,შთამოზარდეთ,
შთამომზარდეს,შთამოგზარდეს,შთამოზარდეს,შთამოგვზარდეს,შთამოგზარდეს,შთამოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,შთამოგზარდო,შთამოვზარდო,,შთამოგზარდოთ,შთამოვზარდო,
შთამომზარდო,,შთამოზარდო,შთამოგვზარდო,,შთამოზარდო,
შთამომზარდოს,შთამოგზარდოს,შთამოზარდოს,შთამოგვზარდოს,შთამოგზარდოთ,შთამოზარდოს,
,შთამოგზარდოთ,შთამოვზარდოთ,,შთამოგზარდოთ,შთამოვზარდოთ,
შთამომზარდოთ,,შთამოზარდოთ,შთამოგვზარდოთ,,შთამოზარდოთ,
შთამომზარდონ,შთამოგზარდონ,შთამოზარდონ,შთამოგვზარდონ,შთამოგზარდონ,შთამოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,შთამომიზრდიხარ,შთამომიზრდია,,შთამომიზრდიხართ,შთამომიზრდია,
შთამოგიზრდივარ,,შთამოგიზრდია,შთამოგიზრდივართ,,შთამოგიზრდია,
შთამოვუზრდივარ,შთამოუზრდიხარ,შთამოუზრდია,შთამოვუზრდივართ,შთამოუზრდიხართ,შთამოუზრდია,
,შთამოგვიზრდიხარ,შთამოგვიზრდია,,შთამოგვიზრდიხართ,შთამოგვიზრდია,
შთამოგიზრდივართ,,შთამოგიზრდიათ,შთამოგიზრდივართ,,შთამოგიზრდიათ,
შთამოვუზრდივარ,შთამოუზრდიხარ,შთამოუზრდიათ,შთამოვუზრდივართ,შთამოუზრდიხართ,შთამოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,შთამომეზარდე,შთამომეზარდა,,შთამომეზარდეთ,შთამომეზარდა,
შთამოგეზარდე,,შთამოგეზარდა,შთამოგეზარდეთ,,შთამოგეზარდა,
შთამოვეზარდე,შთამოეზარდე,შთამოეზარდა,შთამოვეზარდეთ,შთამოეზარდეთ,შთამოეზარდა,
,შთამოგვეზარდე,შთამოგვეზარდა,,შთამოგვეზარდეთ,შთამოგვეზარდა,
შთამოგეზარდეთ,,შთამოგეზარდათ,შთამოგეზარდეთ,,შთამოგეზარდათ,
შთამოვეზარდე,შთამოეზარდე,შთამოეზარდათ,შთამოვეზარდეთ,შთამოეზარდეთ,შთამოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,შთამომეზარდო,შთამომეზარდოს,,შთამომეზარდოთ,შთამომეზარდოს,
შთამოგეზარდო,,შთამოგეზარდოს,შთამოგეზარდოთ,,შთამოგეზარდოს,
შთამოვეზარდო,შთამოეზარდო,შთამოეზარდოს,შთამოვეზარდოთ,შთამოეზარდოთ,შთამოეზარდოს,
,შთამოგვეზარდო,შთამოგვეზარდოს,,შთამოგვეზარდოთ,შთამოგვეზარდოს,
შთამოგეზარდოთ,,შთამოგეზარდოთ,შთამოგეზარდოთ,,შთამოგეზარდოთ,
შთამოვეზარდო,შთამოეზარდო,შთამოეზარდოთ,შთამოვეზარდოთ,შთამოეზარდოთ,შთამოეზარდოთ,
