fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,შთამოგითმენ,შთამოვუთმენ,,შთამოგითმენთ,შთამოვუთმენ,
შთამომითმენ,,შთამოუთმენ,შთამოგვითმენ,,შთამოუთმენ,
შთამომითმენს,შთამოგითმენს,შთამოუთმენს,შთამოგვითმენს,შთამოგითმენთ,შთამოუთმენს,
,შთამოგითმენთ,შთამოვუთმენთ,,შთამოგითმენთ,შთამოვუთმენთ,
შთამომითმენთ,,შთამოუთმენთ,შთამოგვითმენთ,,შთამოუთმენთ,
შთამომითმენენ,შთამოგითმენენ,შთამოუთმენენ,შთამოგვითმენენ,შთამოგითმენენ,შთამოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,შთამოგითმენდი,შთამოვუთმენდი,,შთამოგითმენდით,შთამოვუთმენდი,
შთამომითმენდი,,შთამოუთმენდი,შთამოგვითმენდი,,შთამოუთმენდი,
შთამომითმენდა,შთამოგითმენდა,შთამოუთმენდა,შთამოგვითმენდა,შთამოგითმენდათ,შთამოუთმენდა,
,შთამოგითმენდით,შთამოვუთმენდით,,შთამოგითმენდით,შთამოვუთმენდით,
შთამომითმენდით,,შთამოუთმენდით,შთამოგვითმენდით,,შთამოუთმენდით,
შთამომითმენდნენ,შთამოგითმენდნენ,შთამოუთმენდნენ,შთამოგვითმენდნენ,შთამოგითმენდნენ,შთამოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,შთამოგითმენდე,შთამოვუთმენდე,,შთამოგითმენდეთ,შთამოვუთმენდე,
შთამომითმენდე,,შთამოუთმენდე,შთამოგვითმენდე,,შთამოუთმენდე,
შთამომითმენდეს,შთამოგითმენდეს,შთამოუთმენდეს,შთამოგვითმენდეს,შთამოგითმენდეთ,შთამოუთმენდეს,
,შთამოგითმენდეთ,შთამოვუთმენდეთ,,შთამოგითმენდეთ,შთამოვუთმენდეთ,
შთამომითმენდეთ,,შთამოუთმენდეთ,შთამოგვითმენდეთ,,შთამოუთმენდეთ,
შთამომითმენდნენ,შთამოგითმენდნენ,შთამოუთმენდნენ,შთამოგვითმენდნენ,შთამოგითმენდნენ,შთამოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,შთამოგითმინე,შთამოვუთმინე,,შთამოგითმინეთ,შთამოვუთმინე,
შთამომითმინე,,შთამოუთმინე,შთამოგვითმინე,,შთამოუთმინე,
შთამომითმინა,შთამოგითმინა,შთამოუთმინა,შთამოგვითმინა,შთამოგითმინათ,შთამოუთმინა,
,შთამოგითმინეთ,შთამოვუთმინეთ,,შთამოგითმინეთ,შთამოვუთმინეთ,
შთამომითმინეთ,,შთამოუთმინეთ,შთამოგვითმინეთ,,შთამოუთმინეთ,
შთამომითმინეს,შთამოგითმინეს,შთამოუთმინეს,შთამოგვითმინეს,შთამოგითმინეს,შთამოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,შთამოგითმინო,შთამოვუთმინო,,შთამოგითმინოთ,შთამოვუთმინო,
შთამომითმინო,,შთამოუთმინო,შთამოგვითმინო,,შთამოუთმინო,
შთამომითმინოს,შთამოგითმინოს,შთამოუთმინოს,შთამოგვითმინოს,შთამოგითმინოთ,შთამოუთმინოს,
