pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,შთამოგჩქმეტ,შთამოვჩქმეტ,,შთამოგჩქმეტთ,შთამოვჩქმეტ,
შთამომჩქმეტ,,შთამოჩქმეტ,შთამოგვჩქმეტ,,შთამოჩქმეტ,
შთამომჩქმეტს,შთამოგჩქმეტს,შთამოჩქმეტს,შთამოგვჩქმეტს,შთამოგჩქმეტთ,შთამოჩქმეტს,
,შთამოგჩქმეტთ,შთამოვჩქმეტთ,,შთამოგჩქმეტთ,შთამოვჩქმეტთ,
შთამომჩქმეტთ,,შთამოჩქმეტთ,შთამოგვჩქმეტთ,,შთამოჩქმეტთ,
შთამომჩქმეტენ,შთამოგჩქმეტენ,შთამოჩქმეტენ,შთამოგვჩქმეტენ,შთამოგჩქმეტენ,შთამოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,შთამოგჩქმეტდი,შთამოვჩქმეტდი,,შთამოგჩქმეტდით,შთამოვჩქმეტდი,
შთამომჩქმეტდი,,შთამოჩქმეტდი,შთამოგვჩქმეტდი,,შთამოჩქმეტდი,
შთამომჩქმეტდა,შთამოგჩქმეტდა,შთამოჩქმეტდა,შთამოგვჩქმეტდა,შთამოგჩქმეტდათ,შთამოჩქმეტდა,
,შთამოგჩქმეტდით,შთამოვჩქმეტდით,,შთამოგჩქმეტდით,შთამოვჩქმეტდით,
შთამომჩქმეტდით,,შთამოჩქმეტდით,შთამოგვჩქმეტდით,,შთამოჩქმეტდით,
შთამომჩქმეტდნენ,შთამოგჩქმეტდნენ,შთამოჩქმეტდნენ,შთამოგვჩქმეტდნენ,შთამოგჩქმეტდნენ,შთამოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
