pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,შთამოგცრი,შთამოვცრი,,შთამოგცრით,შთამოვცრი,
შთამომცრი,,შთამოცრი,შთამოგვცრი,,შთამოცრი,
შთამომცრის,შთამოგცრის,შთამოცრის,შთამოგვცრის,შთამოგცრით,შთამოცრის,
,შთამოგცრით,შთამოვცრით,,შთამოგცრით,შთამოვცრით,
შთამომცრით,,შთამოცრით,შთამოგვცრით,,შთამოცრით,
შთამომცრიან,შთამოგცრიან,შთამოცრიან,შთამოგვცრიან,შთამოგცრიან,შთამოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,შთამოგცრიდი,შთამოვცრიდი,,შთამოგცრიდით,შთამოვცრიდი,
შთამომცრიდი,,შთამოცრიდი,შთამოგვცრიდი,,შთამოცრიდი,
შთამომცრიდა,შთამოგცრიდა,შთამოცრიდა,შთამოგვცრიდა,შთამოგცრიდათ,შთამოცრიდა,
,შთამოგცრიდით,შთამოვცრიდით,,შთამოგცრიდით,შთამოვცრიდით,
შთამომცრიდით,,შთამოცრიდით,შთამოგვცრიდით,,შთამოცრიდით,
შთამომცრიდნენ,შთამოგცრიდნენ,შთამოცრიდნენ,შთამოგვცრიდნენ,შთამოგცრიდნენ,შთამოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,შთამოგცრიდე,შთამოვცრიდე,,შთამოგცრიდეთ,შთამოვცრიდე,
შთამომცრიდე,,შთამოცრიდე,შთამოგვცრიდე,,შთამოცრიდე,
შთამომცრიდეს,შთამოგცრიდეს,შთამოცრიდეს,შთამოგვცრიდეს,შთამოგცრიდეთ,შთამოცრიდეს,
,შთამოგცრიდეთ,შთამოვცრიდეთ,,შთამოგცრიდეთ,შთამოვცრიდეთ,
შთამომცრიდეთ,,შთამოცრიდეთ,შთამოგვცრიდეთ,,შთამოცრიდეთ,
შთამომცრიდნენ,შთამოგცრიდნენ,შთამოცრიდნენ,შთამოგვცრიდნენ,შთამოგცრიდნენ,შთამოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,შთამოგცერი,შთამოვცერი,,შთამოგცერით,შთამოვცერი,
შთამომცერი,,შთამოცერი,შთამოგვცერი,,შთამოცერი,
შთამომცრა,შთამოგცრა,შთამოცრა,შთამოგვცრა,შთამოგცრათ,შთამოცრა,
,შთამოგცერით,შთამოვცერით,,შთამოგცერით,შთამოვცერით,
შთამომცერით,,შთამოცერით,შთამოგვცერით,,შთამოცერით,
შთამომცრეს,შთამოგცრეს,შთამოცრეს,შთამოგვცრეს,შთამოგცრეს,შთამოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,შთამოგცრა,შთამოვცრა,,შთამოგცრათ,შთამოვცრა,
შთამომცრა,,შთამოცრა,შთამოგვცრა,,შთამოცრა,
შთამომცრას,შთამოგცრას,შთამოცრას,შთამოგვცრას,შთამოგცრათ,შთამოცრას,
,შთამოგცრათ,შთამოვცრათ,,შთამოგცრათ,შთამოვცრათ,
შთამომცრათ,,შთამოცრათ,შთამოგვცრათ,,შთამოცრათ,
შთამომცრან,შთამოგცრან,შთამოცრან,შთამოგვცრან,შთამოგცრან,შთამოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,შთამომიცრიხარ,შთამომიცრია,,შთამომიცრიხართ,შთამომიცრია,
შთამოგიცრივარ,,შთამოგიცრია,შთამოგიცრივართ,,შთამოგიცრია,
შთამოვუცრივარ,შთამოუცრიხარ,შთამოუცრია,შთამოვუცრივართ,შთამოუცრიხართ,შთამოუცრია,
,შთამოგვიცრიხარ,შთამოგვიცრია,,შთამოგვიცრიხართ,შთამოგვიცრია,
შთამოგიცრივართ,,შთამოგიცრიათ,შთამოგიცრივართ,,შთამოგიცრიათ,
შთამოვუცრივარ,შთამოუცრიხარ,შთამოუცრიათ,შთამოვუცრივართ,შთამოუცრიხართ,შთამოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,შთამომეცერი,შთამომეცრა,,შთამომეცერით,შთამომეცრა,
შთამოგეცერი,,შთამოგეცრა,შთამოგეცერით,,შთამოგეცრა,
შთამოვეცერი,შთამოეცერი,შთამოეცრა,შთამოვეცერით,შთამოეცერით,შთამოეცრა,
,შთამოგვეცერი,შთამოგვეცრა,,შთამოგვეცერით,შთამოგვეცრა,
შთამოგეცერით,,შთამოგეცრათ,შთამოგეცერით,,შთამოგეცრათ,
შთამოვეცერი,შთამოეცერი,შთამოეცრათ,შთამოვეცერით,შთამოეცერით,შთამოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,შთამომეცრა,შთამომეცრას,,შთამომეცრათ,შთამომეცრას,
შთამოგეცრა,,შთამოგეცრას,შთამოგეცრათ,,შთამოგეცრას,
შთამოვეცრა,შთამოეცრა,შთამოეცრას,შთამოვეცრათ,შთამოეცრათ,შთამოეცრას,
,შთამოგვეცრა,შთამოგვეცრას,,შთამოგვეცრათ,შთამოგვეცრას,
შთამოგეცრათ,,შთამოგეცრათ,შთამოგეცრათ,,შთამოგეცრათ,
შთამოვეცრა,შთამოეცრა,შთამოეცრათ,შთამოვეცრათ,შთამოეცრათ,შთამოეცრათ,
