pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,შთამოგჭამ,შთამოვჭამ,,შთამოგჭამთ,შთამოვჭამ,
შთამომჭამ,,შთამოჭამ,შთამოგვჭამ,,შთამოჭამ,
შთამომჭამს,შთამოგჭამს,შთამოჭამს,შთამოგვჭამს,შთამოგჭამთ,შთამოჭამს,
,შთამოგჭამთ,შთამოვჭამთ,,შთამოგჭამთ,შთამოვჭამთ,
შთამომჭამთ,,შთამოჭამთ,შთამოგვჭამთ,,შთამოჭამთ,
შთამომჭამენ,შთამოგჭამენ,შთამოჭამენ,შთამოგვჭამენ,შთამოგჭამენ,შთამოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,შთამოგჭამდი,შთამოვჭამდი,,შთამოგჭამდით,შთამოვჭამდი,
შთამომჭამდი,,შთამოჭამდი,შთამოგვჭამდი,,შთამოჭამდი,
შთამომჭამდა,შთამოგჭამდა,შთამოჭამდა,შთამოგვჭამდა,შთამოგჭამდათ,შთამოჭამდა,
,შთამოგჭამდით,შთამოვჭამდით,,შთამოგჭამდით,შთამოვჭამდით,
შთამომჭამდით,,შთამოჭამდით,შთამოგვჭამდით,,შთამოჭამდით,
შთამომჭამდნენ,შთამოგჭამდნენ,შთამოჭამდნენ,შთამოგვჭამდნენ,შთამოგჭამდნენ,შთამოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,შთამოგჭამდე,შთამოვჭამდე,,შთამოგჭამდეთ,შთამოვჭამდე,
შთამომჭამდე,,შთამოჭამდე,შთამოგვჭამდე,,შთამოჭამდე,
შთამომჭამდეს,შთამოგჭამდეს,შთამოჭამდეს,შთამოგვჭამდეს,შთამოგჭამდეთ,შთამოჭამდეს,
,შთამოგჭამდეთ,შთამოვჭამდეთ,,შთამოგჭამდეთ,შთამოვჭამდეთ,
შთამომჭამდეთ,,შთამოჭამდეთ,შთამოგვჭამდეთ,,შთამოჭამდეთ,
შთამომჭამდნენ,შთამოგჭამდნენ,შთამოჭამდნენ,შთამოგვჭამდნენ,შთამოგჭამდნენ,შთამოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,შთამოგჭამე,შთამოვჭამე,,შთამოგჭამეთ,შთამოვჭამე,
შთამომჭამე,,შთამოჭამე,შთამოგვჭამე,,შთამოჭამე,
შთამომჭამა,შთამოგჭამა,შთამოჭამა,შთამოგვჭამა,შთამოგჭამათ,შთამოჭამა,
,შთამოგჭამეთ,შთამოვჭამეთ,,შთამოგჭამეთ,შთამოვჭამეთ,
შთამომჭამეთ,,შთამოჭამეთ,შთამოგვჭამეთ,,შთამოჭამეთ,
შთამომჭამეს,შთამოგჭამეს,შთამოჭამეს,შთამოგვჭამეს,შთამოგჭამეს,შთამოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,შთამოგჭამო,შთამოვჭამო,,შთამოგჭამოთ,შთამოვჭამო,
შთამომჭამო,,შთამოჭამო,შთამოგვჭამო,,შთამოჭამო,
შთამომჭამოს,შთამოგჭამოს,შთამოჭამოს,შთამოგვჭამოს,შთამოგჭამოთ,შთამოჭამოს,
,შთამოგჭამოთ,შთამოვჭამოთ,,შთამოგჭამოთ,შთამოვჭამოთ,
შთამომჭამოთ,,შთამოჭამოთ,შთამოგვჭამოთ,,შთამოჭამოთ,
შთამომჭამონ,შთამოგჭამონ,შთამოჭამონ,შთამოგვჭამონ,შთამოგჭამონ,შთამოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,შთამომიჭამიხარ,შთამომიჭამია,,შთამომიჭამიხართ,შთამომიჭამია,
შთამოგიჭამივარ,,შთამოგიჭამია,შთამოგიჭამივართ,,შთამოგიჭამია,
შთამოვუჭამივარ,შთამოუჭამიხარ,შთამოუჭამია,შთამოვუჭამივართ,შთამოუჭამიხართ,შთამოუჭამია,
,შთამოგვიჭამიხარ,შთამოგვიჭამია,,შთამოგვიჭამიხართ,შთამოგვიჭამია,
შთამოგიჭამივართ,,შთამოგიჭამიათ,შთამოგიჭამივართ,,შთამოგიჭამიათ,
შთამოვუჭამივარ,შთამოუჭამიხარ,შთამოუჭამიათ,შთამოვუჭამივართ,შთამოუჭამიხართ,შთამოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,შთამომეჭამე,შთამომეჭამა,,შთამომეჭამეთ,შთამომეჭამა,
შთამოგეჭამე,,შთამოგეჭამა,შთამოგეჭამეთ,,შთამოგეჭამა,
